Ticker,RS,AnchorDate
FBK,42,2026-09-25
RYZ,42,2026-09-25
TFIN,42,2026-09-25
WPC,42,2026-09-25
ULH,41,2026-09-25
AYI,40,2026-09-25
ALH,38,2026-09-25
NLY,38,2026-09-25
SR,38,2026-09-25
AAON,37,2026-09-25
AKR,37,2026-09-25
ROP,37,2026-09-25
BLBD,36,2026-09-25
JEF,35,2026-09-25
APC,33,2026-09-25
MNDY,32,2026-09-25
OMCL,32,2026-09-25
ANIP,31,2026-09-25
HSY,31,2026-09-25
TRN,31,2026-09-25
CRI,30,2026-09-25
BHF,29,2026-09-25
TSN,29,2026-09-25
RDDT,27,2026-09-25
PRVA,26,2026-09-25
AMTM,24,2026-09-25
AS,23,2026-09-25
MGM,22,2026-09-25
AD,21,2026-09-25
JBTM,21,2026-09-25
ULS,21,2026-09-25
AAP,20,2026-09-25
COO,19,2026-09-25
NKE,16,2026-09-25
OXM,16,2026-09-25
CAR,15,2026-09-25
CSGP,13,2026-09-25
PODD,12,2026-09-25
UPST,12,2026-09-25
