code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source
COHR,2026-03-27,False,,False,,,,,,,,,,,,,,,243.48,,,1.068695286332375,109.3,2025-10-13,114.3,2,0,113.6,2024-12-02,-59.9,2,45,,,,5,5.0,-16.8,-11.9,False,False,,300.2,-18.894070619586945,Electronic Technology,Semiconductors,
AEIS,2026-03-27,False,,True,,,,,,,,,,,,,,,310.76,,,1.045083210799954,135.2,2025-06-23,135.9,5,0,131.75,2025-02-17,-43.2,1,18,,,,8,5.0,-19.4,-10.5,False,False,,360.0,-13.677777777777775,Electronic Technology,Electronic Production Equipment,
AMAT,2026-03-27,False,,True,,,,,,,,,,,,,,,337.17,,,1.0339167605931838,26.0,2025-12-01,33.8,1,0,251.96,2024-07-08,-51.3,4,73,,,,3,6.0,-15.9,-10.5,False,False,,395.95,-14.845308751104936,Producer Manufacturing,Industrial Machinery,
AZN,2026-03-27,False,,True,,,,,,,,,,,,,,,188.42,,,1.029911504541771,6.8,2025-11-10,10.9,2,0,169.92,2024-08-26,-29.2,5,63,,,,5,5.0,-13.1,-10.2,True,False,,210.52,-10.497814934448046,Unknown,Unknown,
CIEN,2026-03-27,False,,False,,,,,,,,,,,,,,,401.61,,,1.0213632146197664,244.2,2025-09-01,295.9,6,0,101.44,2025-01-20,-51.5,2,32,,,,4,4.0,-23.9,9.8,True,False,,446.89,-10.13224730918122,Electronic Technology,Telecommunications Equipment,
FE,2026-03-27,False,,False,,,,,,,,,,,,,,,50.03,,,1.018305438787935,-0.1,2026-02-09,5.8,0,0,47.27,2025-11-24,-8.1,1,11,,,,2,3.0,-6.9,-3.3,True,False,,52.29,-4.322050105182629,Unknown,Unknown,
TER,2026-03-27,False,,False,,,,,,,,,,,,,,,295.61,,,1.0148587494672303,62.7,2025-11-24,84.6,1,0,160.12,2024-07-08,-59.1,3,72,,,,2,6.0,-19.6,-9.6,False,False,,344.92,-14.296068653600836,Electronic Technology,Electronic Production Equipment,
KO,2026-03-27,False,,False,,,,,,,,,,,,,,,75.71,,,1.0088829644129105,4.6,2026-01-19,6.1,1,0,71.36,2024-08-26,-18.0,5,73,,,,2,5.0,-9.0,-7.0,True,False,,81.44,-7.035854616895875,Consumer Non-Durables,Beverages: Non-Alcoholic,
IVT,2026-03-27,False,,False,,,,,,,,,,,,,,,30.44,,,1.0074764454478318,0.1,2026-02-02,1.2,0,0,30.07,2024-12-02,-18.3,5,61,,,,3,3.0,-3.4,-3.2,False,False,,32.63,-6.711615078148947,Finance,Real Estate Investment Trusts,
WLK,2026-03-27,False,,False,,,,,,,,,,,,,,,113.29,,,1.0058526370712877,18.7,2026-02-02,26.7,1,0,89.41,2025-08-18,-37.9,1,24,,,,3,3.0,-9.4,-2.7,True,False,,116.46,-2.7219646230465244,Unknown,Unknown,
