code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type,pool_path,_source_row_order,pit_eps_state,pit_eps_yoy_growth,observation_start_date,observation_start_open,review_opportunity_1w,opportunity_type_1w,first_zone_date_1w,first_zone_close_1w,forward_1w_censored,forward_1w_sessions,forward_1w_return_pct,mfe_1w_pct,mae_1w_pct,stop_8_within_1w,forward_2w_censored,forward_2w_sessions,forward_2w_return_pct,mfe_2w_pct,mae_2w_pct,stop_8_within_2w,forward_3w_censored,forward_3w_sessions,forward_3w_return_pct,mfe_3w_pct,mae_3w_pct,stop_8_within_3w,forward_4w_censored,forward_4w_sessions,forward_4w_return_pct,mfe_4w_pct,mae_4w_pct,stop_8_within_4w,winner_return_top5_1w,winner_mfe_top5_1w,big_winner_any_1w,loser_return_bottom5_1w,severe_loser_1w,big_loser_any_1w,winner_return_top10pct_1w,loser_return_bottom10pct_1w,winner_return_top5_2w,winner_mfe_top5_2w,big_winner_any_2w,loser_return_bottom5_2w,severe_loser_2w,big_loser_any_2w,winner_return_top10pct_2w,loser_return_bottom10pct_2w,winner_return_top5_3w,winner_mfe_top5_3w,big_winner_any_3w,loser_return_bottom5_3w,severe_loser_3w,big_loser_any_3w,winner_return_top10pct_3w,loser_return_bottom10pct_3w,winner_return_top5_4w,winner_mfe_top5_4w,big_winner_any_4w,loser_return_bottom5_4w,severe_loser_4w,big_loser_any_4w,winner_return_top10pct_4w,loser_return_bottom10pct_4w
RKLB,2026-01-02,True,pivot,False,pivot,73.97,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 73.97, ""resistance_date"": ""2026-01-02""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,75.99,2.73,UNCONFIRMED,0.322364199989851,19.6,2025-12-05,42.2,1,0,53.44,2025-07-11,-29.7,2,21,29.7,3.5,7.0,2,3.0,-16.3,-4.8,True,False,70.0,79.83,-4.810221721157459,Electronic Technology,Aerospace & Defense,SEC,resolved,,LOSS_NARROWING,backtest/ibd_skill_replay_pools/2026-01-02/breakout_follow_pool.csv,244,VERIFIED,70.0,,,False,,,,True,0,,,,False,True,0,,,,False,True,0,,,,False,True,0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
SHEL,2026-01-02,True,pivot,,pivot,75.18,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 75.18, ""resistance_date"": ""2026-01-02""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,75.44,0.35,UNCONFIRMED,0.334297431317091,2.7,2025-12-26,2.8,1,0,73.38,2024-08-23,-22.6,4,70,22.6,2.7,10.0,0,,,,True,False,,76.74,-1.6940317956737003,Energy Minerals,Integrated Oil,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,backtest/ibd_skill_replay_pools/2026-01-02/breakout_follow_pool.csv,247,UNKNOWN,,,,False,,,,True,0,,,,False,True,0,,,,False,True,0,,,,False,True,0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TSM,2026-01-02,True,pivot,True,pivot,307.13,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 307.13, ""resistance_date"": ""2026-01-02""}, {""box_type"": ""S_BOX"", ""price"": 313.13, ""resistance_date"": ""2026-01-02""}], ""selected_pivot"": {""box_type"": ""M_BOX"", ""price"": 307.13, ""resistance_date"": ""2026-01-02""}}",1.0,2026-01-02,311.98,307.13,1.6033198470253651,0.0406342591085209,0.7997977755308429,1.2618806875631987,pivot,,319.61,4.06,ACTIONABLE,0.3748019805691249,43.5,2025-06-20,43.7,3,2,222.43,2025-01-17,-40.2,1,22,40.2,4.033333333333333,4.0,5,5.0,-12.2,2.1,True,False,,321.59,-0.6156907864050432,Electronic Technology,Semiconductors,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,backtest/ibd_skill_replay_pools/2026-01-02/breakout_follow_pool.csv,241,UNKNOWN,,2026-01-05,330.3999938964844,True,CURRENT_ACTIONABLE,2026-01-05,322.25,False,5,-2.049028189689661,0.8111358127388169,-4.3159744284119395,False,False,10,3.631961326173516,6.334743662961051,-4.3159744284119395,False,False,15,0.6991518163639743,6.334743662961051,-4.3159744284119395,False,False,20,3.3171887583363313,6.334743662961051,-4.3159744284119395,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False
WES,2026-01-02,True,ceiling_breakout,,ceiling,39.51,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,39.72,0.53,UNCONFIRMED,0.1565310854927387,0.0,2026-01-02,0.5,0,0,39.51,2024-11-29,-20.8,7,57,20.8,1.8666666666666667,14.0,0,,,,True,False,,40.57,-2.095144195218146,Industrial Services,Oil & Gas Pipelines,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,backtest/ibd_skill_replay_pools/2026-01-02/breakout_follow_pool.csv,251,UNKNOWN,,2026-01-05,40.0,True,UNCONFIRMED_TO_ZONE,2026-01-05,39.93000030517578,False,5,3.1000041961669833,3.750000000000009,-1.9999980926513672,False,False,10,4.025001525878902,6.999998092651372,-1.9999980926513672,False,False,15,1.5499973297119052,6.999998092651372,-1.9999980926513672,False,False,20,0.2999973297119096,6.999998092651372,-1.9999980926513672,False,True,True,True,True,False,True,False,False,True,True,True,True,False,True,False,False,True,True,True,True,False,True,False,False,False,True,True,True,False,True,False,False
ZION,2026-01-02,True,ceiling_breakout,,ceiling,58.72,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,59.25,0.9,UNCONFIRMED,0.1938956958078581,0.0,2026-01-02,0.9,0,0,58.72,2025-09-12,-22.0,1,16,22.0,2.666666666666667,11.0,0,,,,True,False,8.0291970803,60.77,-2.5012341615928912,Finance,Major Banks,SEC,resolved,,GROWTH,backtest/ibd_skill_replay_pools/2026-01-02/breakout_follow_pool.csv,248,VERIFIED,8.0291970803,2026-01-05,59.099998474121094,True,UNCONFIRMED_TO_ZONE,2026-01-05,60.310001373291016,False,5,1.9120153930461514,4.1793591953893205,0.0,False,False,10,0.879865433484528,4.1793591953893205,-1.8612495812546648,False,False,15,0.13536689191238072,5.346869592214665,-1.8612495812546648,False,False,20,3.1979750476191615,5.346869592214665,-2.250419713529783,False,True,True,True,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,True,False,True,False,False
AMAT,2026-01-09,True,pivot,True,pivot,273.59,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 273.59, ""resistance_date"": ""2026-01-05""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,301.18,10.08,UNCONFIRMED,1.3524917787012174,12.4,2025-12-01,19.4,0,0,252.28,2024-07-08,-51.3,4,73,51.3,4.0375,6.0,1,5.0,-9.7,10.1,True,True,12.9186602871,302.78,-0.5284364885395187,Producer Manufacturing,Industrial Machinery,SEC,resolved,,GROWTH,backtest/ibd_skill_replay_pools/2026-01-09/breakout_follow_pool.csv,258,VERIFIED,12.9186602871,2026-01-12,301.7200012207031,False,,,,False,5,8.38194632195519,9.704361215973556,-1.5643647095342939,False,False,10,5.879620231539939,10.377170035768035,-1.5643647095342939,False,False,15,8.842633092880469,14.211853609083903,-1.5643647095342939,False,False,20,9.56184740381607,14.211853609083903,-4.7162968741734534,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AMZN,2026-01-09,True,ceiling_breakout,,ceiling,241.77,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,247.38,2.32,UNCONFIRMED,1.2638604554038873,0.0,2026-01-05,2.3,0,0,241.77,2024-12-09,-33.3,5,56,33.3,2.9125,21.0,0,,,,True,False,36.3636363636,258.6,-4.338747099767993,Retail Trade,Internet Retail,SEC,resolved,,GROWTH,backtest/ibd_skill_replay_pools/2026-01-09/breakout_follow_pool.csv,273,VERIFIED,36.3636363636,2026-01-12,246.72999572753906,True,UNCONFIRMED_TO_ZONE,2026-01-12,246.47000122070312,False,5,-3.0843435099618732,0.8957187014697832,-4.259714947039517,False,False,10,-3.368053217076361,0.8957187014697832,-8.045228058386,True,False,15,-1.527981631319375,0.8957187014697832,-8.045228058386,True,False,20,-15.405502032598385,0.8957187014697832,-18.814087858294435,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,True
ASML,2026-01-09,True,10_wk_ema_touch_confirm,,ma10_touch_confirm,1172.77,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-01-05"", ""ma10_prior_week"": 1058.073, ""pending_high"": 1172.77, ""touch_date"": ""2025-12-29""}",1.0,2026-01-05,1211.22,1172.77,2.5036482688412733,0.0472556426238734,0.6370120120120161,2.080330330330343,ma10_touch_confirm,,1273.88,8.62,EXTENDED,1.8867671154428935,9.5,2025-12-29,16.3,1,0,1095.01,2024-07-08,-47.6,3,77,47.6,3.85,9.0,0,,,,True,True,,1282.0,-0.6333853354134056,Electronic Technology,Semiconductors,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,backtest/ibd_skill_replay_pools/2026-01-09/breakout_follow_pool.csv,261,UNKNOWN,,2026-01-12,1256.06005859375,False,,,,False,5,8.161225014198736,9.498744562980011,-0.5127193904862049,False,False,10,12.522483771061466,13.047934408615113,-0.5127193904862049,False,False,15,14.754864211045593,18.901956180408174,-0.5127193904862049,False,False,20,13.807455340534624,18.901956180408174,-0.5127193904862049,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
AU,2026-01-09,True,pivot,False,pivot,88.28,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 88.28, ""resistance_date"": ""2026-01-05""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,92.25,4.5,UNCONFIRMED,1.0662702845875636,207.8,2025-03-03,208.4,6,1,29.91,2024-08-12,-28.6,2,29,28.6,2.8249999999999997,24.0,9,3.0,-9.5,0.7,True,False,,93.85,-1.7048481619605704,Unknown,Unknown,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,backtest/ibd_skill_replay_pools/2026-01-09/breakout_follow_pool.csv,276,UNKNOWN,,,,False,,,,True,0,,,,False,True,0,,,,False,True,0,,,,False,True,0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
AZN,2026-01-09,True,pivot,True,pivot,94.02,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 94.02, ""resistance_date"": ""2026-01-05""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,94.65,0.67,UNCONFIRMED,1.4702966823592054,6.2,2025-11-10,10.3,0,0,85.85,2024-08-26,-29.2,5,63,29.2,2.575,27.0,2,3.0,-2.1,1.7,True,True,,96.51,-1.927261423686666,Unknown,Unknown,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,backtest/ibd_skill_replay_pools/2026-01-09/breakout_follow_pool.csv,279,UNKNOWN,,,,False,,,,True,0,,,,False,True,0,,,,False,True,0,,,,False,True,0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BTU,2026-01-09,True,ceiling_breakout,,ceiling,32.51,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,33.8,3.97,UNCONFIRMED,1.564666412092717,0.0,2026-01-05,4.0,0,0,32.51,2025-09-29,-24.5,1,14,24.5,2.3875,30.0,0,,,,True,True,-178.3783783784,35.9,-5.84958217270195,Unknown,Unknown,SEC,resolved,,PROFIT_TO_LOSS,backtest/ibd_skill_replay_pools/2026-01-09/breakout_follow_pool.csv,282,VERIFIED,-178.3783783784,,,False,,,,True,0,,,,False,True,0,,,,False,True,0,,,,False,True,0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CASY,2026-01-09,True,ceiling_breakout,False,ceiling_pullback,569.73,ceiling_breakout,"{""abandon_line"": 519.4686, ""atr_zone_width"": 8.764607703153988, ""ceiling"": 530.07, ""confirm_close"": 593.8, ""confirm_date"": ""2026-01-05"", ""max_zone_width"": 26.503500000000003, ""pending_high"": 569.73, ""touch_atr14"": 29.215359010513293, ""touch_date"": ""2025-12-08"", ""touch_high"": 569.73, ""touch_low"": 529.84, ""zone_cap_applied"": false, ""zone_pct"": 1.6534811823257283, ""zone_upper"": 538.834607703154, ""zone_width"": 8.764607703153988}",0.0,,,,,,,,,daily_volume_not_confirmed,593.8,4.22,UNCONFIRMED,1.3256946440086474,11.3,2025-11-03,12.0,3,1,530.07,2025-07-21,-7.7,2,15,7.7,1.2125,40.0,1,7.0,-7.7,3.5,True,True,14.0206185567,603.46,-1.600768899347116,Retail Trade,Specialty Stores,SEC,resolved,,GROWTH,backtest/ibd_skill_replay_pools/2026-01-09/breakout_follow_pool.csv,292,VERIFIED,14.0206185567,,,False,,,,True,0,,,,False,True,0,,,,False,True,0,,,,False,True,0,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CAT,2026-01-09,True,pivot,True,pivot,607.0,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 607.0, ""resistance_date"": ""2026-01-05""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,617.62,1.75,UNCONFIRMED,1.2671547660652231,50.3,2025-07-14,53.1,2,0,403.5,2025-01-20,-34.5,1,25,34.5,3.2125,17.0,7,6.0,-8.2,1.7,True,False,-3.557312253,627.5,-1.5745019920318737,Producer Manufacturing,Trucks/Construction/Farm Machinery,SEC,resolved,,DECLINE,backtest/ibd_skill_replay_pools/2026-01-09/breakout_follow_pool.csv,269,VERIFIED,-3.557312253,2026-01-12,614.6500244140625,True,UNCONFIRMED_TO_ZONE,2026-01-12,629.77001953125,False,5,5.245259733798746,6.675338262750752,-0.2749536116942841,False,False,10,3.460499089114988,6.691613641766492,-0.2749536116942841,False,False,15,12.407052094916349,12.483523537137353,-0.2749536116942841,False,False,20,20.738626151465688,20.963144955337533,-0.2749536116942841,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
