snapshot_date,code,selection_source,ibd_entry_status,ibd_candidate_rule,ibd_candidate_price,current_vs_ibd_candidate_pct,_evidence_family_count,review_reason,pit_eps_yoy_growth,volume_ratio,dist_to_52w_high_pct,pullback_v_is_dry,sector,industry
2026-08-07,IVZ,SUPPLEMENTAL,UNCONFIRMED,three_weeks_tight,31.02,1.81,2,unconfirmed_near_buy_point|eps|rs_near_high,2633.3333333333,1.0149270778133987,-2.980030721966198,False,Finance,Investment Managers
2026-08-07,JCI,SUPPLEMENTAL,UNCONFIRMED,pivot,149.38,1.89,2,unconfirmed_near_buy_point|eps|rs_near_high,38.8888888889,0.8878041274542054,-3.087991850248306,False,Producer Manufacturing,Industrial Machinery
2026-08-07,JHX,ACTIONABLE_BASELINE,ACTIONABLE,ceiling,29.83,1.34,2,weekend_actionable,20.0,1.30624125924083,-1.6590761223161945,,Non-Energy Minerals,Construction Materials
2026-08-07,JXN,ACTIONABLE_BASELINE,ACTIONABLE,pivot,126.69,2.58,2,weekend_actionable,291.452991453,1.1443516809156535,-5.819262265381553,,Finance,Life/Health Insurance
2026-08-07,KEYS,SUPPLEMENTAL,UNCONFIRMED,pivot,329.73,3.41,2,unconfirmed_near_buy_point|eps|supply_contraction,35.5704697987,0.6963782209713011,-9.064966929805829,True,Electronic Technology,Electronic Equipment/Instruments
2026-08-07,LQDT,ACTIONABLE_BASELINE,ACTIONABLE,pivot,41.28,1.89,3,weekend_actionable,39.1304347826,1.497247827480254,-4.016430853491548,False,Retail Trade,Internet Retail
2026-08-07,LYV,SUPPLEMENTAL,UNCONFIRMED,ceiling,175.25,3.09,2,unconfirmed_near_buy_point|eps|rs_near_high,156.0975609756,0.9021080744581508,-3.9042553191489415,,Consumer Services,Movies/Entertainment
2026-08-07,MBWM,ACTIONABLE_BASELINE,ACTIONABLE,ma10_touch_confirm,60.4,0.5,2,weekend_actionable,7.9136690647,1.2175004422091755,-2.708767430677994,False,Finance,Regional Banks
2026-08-07,MD,SUPPLEMENTAL,UNCONFIRMED,ceiling_pullback,26.82,0.97,3,unconfirmed_near_buy_point|volume|rs_near_high|supply_contraction,6.5217391304,1.4334198016346853,-3.0780243378668692,True,Health Services,Medical/Nursing Services
2026-08-07,MET,SUPPLEMENTAL,UNCONFIRMED,three_weeks_tight,97.2,0.59,1,unconfirmed_near_buy_point|rs_near_high,5.8252427184,1.1111172243883878,-3.130882790052525,False,Finance,Multi-Line Insurance
2026-08-07,MTRN,ACTIONABLE_BASELINE,ACTIONABLE,pivot,287.18,1.0,3,weekend_actionable,52.0661157025,1.3547687560117867,-4.770503644362723,False,Electronic Technology,Electronic Equipment/Instruments
2026-08-07,MTUS,ACTIONABLE_BASELINE,ACTIONABLE,ceiling,21.54,0.6,3,weekend_actionable,133.3333333333,1.3603753316803435,-4.0301151461470175,,Non-Energy Minerals,Steel
2026-08-07,NAVN,SUPPLEMENTAL,UNCONFIRMED,ceiling_pullback,27.94,4.08,2,unconfirmed_near_buy_point|eps|rs_near_high,93.984962406,0.514950539498727,-1.1556764106050443,False,Technology Services,Packaged Software
2026-08-07,NDSN,SUPPLEMENTAL,UNCONFIRMED,ceiling,299.02,3.71,1,unconfirmed_near_buy_point|rs_near_high,6.0913705584,0.8296259552804625,-1.764445007602633,,Producer Manufacturing,Industrial Machinery
2026-08-07,NEO,SUPPLEMENTAL,UNCONFIRMED,ceiling_pullback,16.17,2.47,1,unconfirmed_near_buy_point|rs_near_high,,0.7012798318085076,-0.1807228915662762,False,Health Services,Medical/Nursing Services
2026-08-07,NET,ACTIONABLE_BASELINE,ACTIONABLE,ma10_touch_confirm,293.8,2.2,1,weekend_actionable,-220.0,1.5109827411627932,-7.532411541896355,False,Technology Services,Information Technology Services
2026-08-07,NEU,ACTIONABLE_BASELINE,ACTIONABLE,ma10_touch_confirm,876.33,1.53,2,weekend_actionable,22.8040540541,1.2971938831867165,-1.2497641430902262,,Process Industries,Chemicals: Specialty
2026-08-07,NKSH,SUPPLEMENTAL,UNCONFIRMED,ma10_touch_confirm,41.32,1.91,3,unconfirmed_near_buy_point|volume|eps|rs_near_high,52.9411764706,1.5572928117474425,-0.8943280771946394,,Finance,Major Banks
2026-08-07,NLY,SUPPLEMENTAL,UNCONFIRMED,ceiling,22.83,0.92,2,unconfirmed_near_buy_point|eps|rs_near_high,3433.3333333333,0.989461167487244,-1.873935264054516,,Finance,Real Estate Investment Trusts
2026-08-07,NREF,SUPPLEMENTAL,UNCONFIRMED,three_weeks_tight,17.44,4.19,1,unconfirmed_near_buy_point|rs_near_high,-40.0,0.8676870632771467,-1.4107433532284164,False,Finance,Real Estate Investment Trusts
2026-08-07,NTB,SUPPLEMENTAL,UNCONFIRMED,ma10_touch_confirm,62.26,0.1,2,unconfirmed_near_buy_point|eps|rs_near_high,25.3968253968,0.8881508844763277,-0.3517748640869844,False,Finance,Regional Banks
2026-08-07,NUE,SUPPLEMENTAL,UNCONFIRMED,pivot,268.14,1.67,2,unconfirmed_near_buy_point|eps|rs_near_high,382.0895522388,1.0106100183364164,-2.670379493770314,False,Non-Energy Minerals,Steel
2026-08-07,NVT,SUPPLEMENTAL,UNCONFIRMED,pivot,163.28,0.86,1,unconfirmed_near_buy_point|eps,97.0149253731,1.0036686232657417,-10.688720173535792,False,Electronic Technology,Electronic Components
2026-08-07,PH,ACTIONABLE_BASELINE,ACTIONABLE,ceiling,1026.68,4.6,2,weekend_actionable,-4.2062415197,1.4064397316914474,-2.3701292797789097,,Producer Manufacturing,Industrial Machinery
2026-08-07,PKG,SUPPLEMENTAL,UNCONFIRMED,ceiling,246.42,3.9,1,unconfirmed_near_buy_point|rs_near_high,-19.4756554307,0.782959713342456,-1.0702832193500988,,Process Industries,Containers/Packaging
2026-08-07,PTGX,SUPPLEMENTAL,UNCONFIRMED,pivot,141.08,3.4,3,unconfirmed_near_buy_point|eps|rs_near_high|supply_contraction,516.3636363636,0.739706490709655,-1.4391891891891828,True,Health Technology,Pharmaceuticals: Major
2026-08-07,RGA,SUPPLEMENTAL,UNCONFIRMED,pivot,244.3,0.83,2,unconfirmed_near_buy_point|eps|rs_near_high,159.6296296296,1.0536057717897953,-0.7214251168789265,False,Finance,Life/Health Insurance
2026-08-07,RHI,SUPPLEMENTAL,UNCONFIRMED,pivot,42.09,1.54,1,unconfirmed_near_buy_point|rs_near_high,-36.5853658537,0.7146171661818653,-3.259393390674503,False,Commercial Services,Personnel Services
2026-08-07,ROIV,SUPPLEMENTAL,UNCONFIRMED,ma10_touch_confirm,35.58,2.14,1,unconfirmed_near_buy_point|rs_near_high,21.2121212121,1.2377175360926704,-1.7837837837837769,False,Health Technology,Pharmaceuticals: Major
2026-08-07,ROKU,SUPPLEMENTAL,UNCONFIRMED,pivot,148.88,2.84,3,unconfirmed_near_buy_point|eps|rs_near_high|supply_contraction,1442.8571428571,0.7380050144271412,-0.2735621702598778,True,Technology Services,Packaged Software
2026-08-07,RS,SUPPLEMENTAL,UNCONFIRMED,pivot,417.25,1.59,2,unconfirmed_near_buy_point|eps|rs_near_high,36.3636363636,0.8809334719118366,-0.209525154789647,False,Non-Energy Minerals,Steel
2026-08-07,SAFT,SUPPLEMENTAL,UNCONFIRMED,ma10_touch_confirm,103.42,0.08,1,unconfirmed_near_buy_point|rs_near_high,21.0256410256,0.9159087566853092,-0.240963855421683,,Finance,Property/Casualty Insurance
