snapshot_date,code,ibd_entry_status,ibd_candidate_rule,ibd_candidate_price,current_vs_ibd_candidate_pct,review_opportunity_1w,opportunity_type_1w,opportunity_delay_sessions,opportunity_anchor_date,opportunity_anchor_price,forward_1w_return_pct,mfe_1w_pct,mae_1w_pct,big_winner_any_1w,big_loser_any_1w,opp_forward_1w_return_pct,opp_mfe_1w_pct,opp_mae_1w_pct,opp_big_winner_any_1w,opp_big_loser_any_1w,forward_2w_return_pct,mfe_2w_pct,mae_2w_pct,big_winner_any_2w,big_loser_any_2w,opp_forward_2w_return_pct,opp_mfe_2w_pct,opp_mae_2w_pct,opp_big_winner_any_2w,opp_big_loser_any_2w,forward_3w_return_pct,mfe_3w_pct,mae_3w_pct,big_winner_any_3w,big_loser_any_3w,opp_forward_3w_return_pct,opp_mfe_3w_pct,opp_mae_3w_pct,opp_big_winner_any_3w,opp_big_loser_any_3w,forward_4w_return_pct,mfe_4w_pct,mae_4w_pct,big_winner_any_4w,big_loser_any_4w,opp_forward_4w_return_pct,opp_mfe_4w_pct,opp_mae_4w_pct,opp_big_winner_any_4w,opp_big_loser_any_4w
2025-10-24,OPEN,UNCONFIRMED,ma10_touch_confirm,7.89,1.01,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-24,PANW,UNCONFIRMED,pivot,209.02,3.87,True,UNCONFIRMED_TO_ZONE,3,2025-10-29,217.16000366210938,0.20474644923684782,1.7380260434539885,-1.7243702633899405,False,True,-1.8327550742358811,1.8926139901648487,-2.214955552348341,False,True,-3.4123482547434025,1.7380260434539885,-5.659942473551216,False,True,-3.278693247332487,1.8926139901648487,-4.517405320114854,False,True,-6.615402761855482,1.7380260434539885,-9.73201694483058,False,True,-7.9480610953022275,1.8926139901648487,-8.638796025632178,False,True,-16.78420333796695,1.7380260434539885,-18.080891509305264,False,True,-14.648184298287536,1.8926139901648487,-17.088782457423857,False,True
2025-10-24,RIOT,UNCONFIRMED,ceiling,20.65,3.73,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-24,ROST,UNCONFIRMED,ceiling,156.59,0.1,True,UNCONFIRMED_TO_ZONE,1,2025-10-27,160.72999572753906,-0.34489436730901213,1.5551487480750747,-1.304321700089539,False,True,0.29241661991943335,0.4417387748026469,-2.0780168149524547,False,True,1.009594656065338,3.5116360824286597,-1.304321700089539,False,False,0.7403735911394316,2.7001877135843566,-2.0780168149524547,False,True,0.6960560618641587,3.5116360824286597,-1.304321700089539,False,False,-0.8212481182835796,2.7001877135843566,-2.0780168149524547,False,True,9.111430782011265,9.650717546774823,-1.304321700089539,True,False,8.336968525768151,9.500407315598913,-2.0780168149524547,True,False
2025-10-24,RTX,EXTENDED,pivot,168.28,6.16,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-24,SEDG,UNCONFIRMED,pivot,39.6,0.25,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-24,SHEL,UNCONFIRMED,ceiling,72.67,4.36,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-24,SHOP,UNCONFIRMED,pivot,162.6,6.37,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-24,VEEV,UNCONFIRMED,pivot,291.26,0.6,True,UNCONFIRMED_TO_ZONE,1,2025-10-27,295.69000244140625,-1.3082035462282482,0.9320138354077967,-3.9483474523417494,False,True,-1.0044307200720026,0.716965436667949,-4.152997625183586,False,True,-0.06778696152857089,0.9320138354077967,-3.9483474523417494,False,True,0.020290695694269445,0.716965436667949,-4.152997625183586,False,True,-0.5761581444782782,2.4096847854574666,-3.9483474523417494,False,True,-6.317424505917435,2.1914880221938438,-6.337715201611694,False,True,-17.284620220290037,2.4096847854574666,-19.596011842963446,False,True,-20.274610725170472,2.1914880221938438,-20.693970690987985,False,True
2025-10-24,WELL,UNCONFIRMED,ma10_touch_confirm,175.66,1.3,True,UNCONFIRMED_TO_ZONE,1,2025-10-27,182.61000061035156,1.5196497657447017,6.280489448350246,-1.9177918094709256,True,False,-0.15880471231780602,3.7894957263107543,-4.216634862551826,False,True,6.68423599313257,6.9253578858966325,-1.9177918094709256,True,False,4.627346213240835,5.207816918596975,-4.216634862551826,True,False,8.686146657385718,9.252509297696122,-1.9177918094709256,True,False,8.028039873561198,8.115651944524217,-4.216634862551826,True,False,12.112370673999017,12.94790338182439,-1.9177918094709256,True,False,10.782543330373384,11.264438966473357,-4.216634862551826,True,False
