code,rows,symbol_found_count,symbol_found_rate,complete_1w_count,complete_1w_rate,complete_2w_count,complete_2w_rate,complete_3w_count,complete_3w_rate,complete_4w_count,complete_4w_rate
FRST,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
FRT,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
FSBC,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
FSEA,3,3,1.0,3,1.0,3,1.0,3,1.0,2,0.6666666666666666
FSTR,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
FTAI,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FTDR,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
FTH,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FTK,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
FTNT,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
FULT,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
FUNC,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
FUSB,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
FUTU,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FVCB,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
FVR,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
FXNC,5,5,1.0,5,1.0,5,1.0,5,1.0,4,0.8
GABC,4,4,1.0,4,1.0,4,1.0,4,1.0,3,0.75
GAIN,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GATX,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GCT,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GD,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
GE,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
GEF,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
GEV,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GFF,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
