snapshot_date,code,ibd_entry_status,ibd_candidate_rule,signal_source,price_cache_symbol_found,price_path_state,price_path_available_sessions,price_cache_first_date,price_cache_last_date,price_path_first_forward_date,price_path_last_forward_date
2026-05-29,LSTR,EXTENDED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-05-29,MAR,ACTIONABLE,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-05-29,MEC,ACTIONABLE,ceiling_pullback,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-05-29,MNST,ACTIONABLE,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-05-29,MPTI,UNCONFIRMED,ma10_touch_confirm,10_wk_ema_touch_confirm,False,MISSING_SYMBOL,0,,,,
2026-05-29,MRCY,EXTENDED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-05-29,MSCI,ACTIONABLE,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-05-29,NBIX,ACTIONABLE,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-05-29,NXT,EXTENDED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-05-29,NYAX,UNCONFIRMED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-05-29,PL,UNCONFIRMED,ma10_touch_confirm,10_wk_ema_touch_confirm,False,MISSING_SYMBOL,0,,,,
2026-05-29,SANM,ACTIONABLE,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-05-29,SEDG,EXTENDED,ma10_touch_confirm,10_wk_ema_touch_confirm,False,MISSING_SYMBOL,0,,,,
2026-05-29,SHEN,ACTIONABLE,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-05-29,SILA,UNCONFIRMED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-05-29,SPIR,EXTENDED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-05-29,UBCP,ACTIONABLE,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-05-29,UE,ACTIONABLE,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-05-29,UMAC,EXTENDED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-05-29,VELO,ACTIONABLE,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-05-29,VICR,EXTENDED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-05-29,VLGEA,UNCONFIRMED,ma10_touch_confirm,10_wk_ema_touch_confirm,False,MISSING_SYMBOL,0,,,,
2026-05-29,VVX,EXTENDED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-05-29,WLKP,ACTIONABLE,ceiling_pullback,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-05-29,WULF,UNCONFIRMED,ma10_touch_confirm,10_wk_ema_touch_confirm,False,MISSING_SYMBOL,0,,,,
2026-06-05,AFL,UNCONFIRMED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-05,AVA,UNCONFIRMED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-05,AVNS,ACTIONABLE,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-05,CNC,UNCONFIRMED,three_weeks_tight,three_weeks_tight_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-05,IGIC,EXTENDED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-05,JLHL,UNCONFIRMED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-05,MAR,UNCONFIRMED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-05,MEC,EXTENDED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-05,NBIX,ACTIONABLE,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-05,ODFL,UNCONFIRMED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-05,OVLY,ACTIONABLE,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-05,PRA,ACTIONABLE,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-05,R,UNCONFIRMED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-05,TBN,UNCONFIRMED,ceiling_pullback,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-05,TNL,EXTENDED,ceiling_pullback,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-05,UNFI,UNCONFIRMED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-05,UTI,EXTENDED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-05,VMI,UNCONFIRMED,ceiling_pullback,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2026-06-05,WLKP,ACTIONABLE,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-05,XOMA,UNCONFIRMED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-05,XPO,UNCONFIRMED,ma10_touch_confirm,10_wk_ema_touch_confirm,False,MISSING_SYMBOL,0,,,,
2026-06-12,AEIS,UNCONFIRMED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-12,ALGM,UNCONFIRMED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2026-06-12,ASRT,UNCONFIRMED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
