audit_rule,horizon,snapshot_date,code,ibd_entry_status,ibd_candidate_rule,current_vs_ibd_candidate_pct,review_opportunity_1w,forward_1w_return_pct,forward_2w_return_pct,forward_3w_return_pct,forward_4w_return_pct,mfe_1w_pct,mfe_2w_pct,mfe_3w_pct,mfe_4w_pct,mae_1w_pct,mae_2w_pct,mae_3w_pct,mae_4w_pct
B0_ACTIONABLE_ONLY,1w,2026-05-29,SXI,UNCONFIRMED,ceiling_pullback,0.76,True,6.462137823294256,11.120883924702273,17.517035680799697,30.133417362378378,9.401800897249446,13.261488052371838,17.74063213735124,30.565934276132054,-0.8833676407190127,-0.8833676407190127,-0.8833676407190127,-0.8833676407190127
B0_ACTIONABLE_ONLY,1w,2026-05-29,TWST,EXTENDED,ceiling,9.8,False,3.514279015400845,13.907574458472173,27.36652410755085,47.091366188674336,20.38282741675923,20.38282741675923,34.155817855201235,55.869596344918904,-4.306865485006195,-4.306865485006195,-4.306865485006195,-4.306865485006195
B0_ACTIONABLE_ONLY,1w,2026-06-05,ALNT,EXTENDED,ma10_touch_confirm,6.84,False,5.289241797477651,13.828071178612245,14.991936297807683,-4.897441875758501,10.221252444518525,15.245452342746368,20.59230582847771,20.59230582847771,-4.736115082006764,-4.736115082006764,-4.736115082006764,-8.112469479783947
B0_ACTIONABLE_ONLY,1w,2026-06-05,MAC,UNCONFIRMED,pivot,4.88,True,7.838984540535487,1.8644090124807722,9.067793877362496,8.00847186058704,8.432202283694345,8.983046176343912,10.042368193119366,10.042368193119366,-1.1864435683033303,-3.135592199817072,-3.135592199817072,-3.135592199817072
B0_ACTIONABLE_ONLY,1w,2026-06-05,MRX,UNCONFIRMED,ma10_touch_confirm,0.27,False,11.258754915387215,17.256248270833787,5.835877321141281,20.68594135723083,14.40115039600176,19.62651174250705,20.93733189969942,22.66115863366569,-0.20649643850839672,-0.20649643850839672,-0.20649643850839672,-0.20649643850839672
B0_ACTIONABLE_ONLY,1w,2026-06-05,ODC,EXTENDED,pivot,8.19,False,12.226702517083643,11.73953995188115,20.817485599699758,19.78373713400936,17.668719665089895,17.668719665089895,22.065112745693515,26.94865932615478,-0.20200307859109534,-0.20200307859109534,-0.20200307859109534,-0.20200307859109534
B0_ACTIONABLE_ONLY,1w,2026-06-12,NPO,UNCONFIRMED,pivot,2.43,False,13.083432818148877,8.663947860163956,-5.644683860847676,-3.1096772240754134,13.891489886378094,13.891489886378094,13.891489886378094,13.891489886378094,0.0,0.0,-6.05017239583473,-8.08925946797212
B0_ACTIONABLE_ONLY,1w,2026-06-12,SYRE,UNCONFIRMED,pivot,6.43,False,22.986392141901323,10.530837316933583,15.520416463741494,21.30684972225243,24.68432292700875,25.119526713777418,25.119526713777418,28.83412618739878,-0.9562324165931946,-0.9562324165931946,-0.9562324165931946,-0.9562324165931946
B0_ACTIONABLE_ONLY,1w,2026-06-12,TGTX,EXTENDED,ceiling,6.54,False,11.020411277303888,13.714288205516588,18.48979872100207,12.020406917649872,17.095916125239153,17.095916125239153,19.387755102040828,21.020406606246024,-1.9795943279655615,-1.9795943279655615,-1.9795943279655615,-1.9795943279655615
B0_ACTIONABLE_ONLY,1w,2026-06-18,BCAX,UNCONFIRMED,pivot,1.8,False,14.243198623594978,24.234688540192263,19.685370198359387,15.43366960083703,18.962580772401584,27.12584624402352,31.76020054408091,31.76020054408091,-1.0204071702683226,-1.0204071702683226,-1.0204071702683226,-1.0204071702683226
B0_ACTIONABLE_ONLY,1w,2026-06-18,CHRN,UNCONFIRMED,ma10_touch_confirm,4.62,True,-7.259073095378654,-23.863160105172334,-17.730496961809184,20.52565797760724,17.647065376544614,17.647065376544614,17.647065376544614,25.156449142182467,-17.438458563068593,-34.33458397160286,-34.33458397160286,-34.33458397160286
B0_ACTIONABLE_ONLY,1w,2026-06-18,FLXS,UNCONFIRMED,ceiling,1.73,True,12.6371078031152,12.142735321077502,10.458823253469273,12.915174644528339,15.711413010232667,19.24918652601615,19.24918652601615,19.24918652601615,-1.4676417864498026,-1.4676417864498026,-1.4676417864498026,-1.4676417864498026
B0_ACTIONABLE_ONLY,1w,2026-06-18,LTH,UNCONFIRMED,pivot,4.5,False,12.202460130150584,12.530785025053316,13.461018020087545,16.30642738407886,14.336530199304631,14.336530199304631,15.731874473391727,20.273597816928547,-0.7934361739556306,-0.7934361739556306,-0.7934361739556306,-0.7934361739556306
B0_ACTIONABLE_ONLY,1w,2026-06-18,RLAY,EXTENDED,ma10_touch_confirm,5.44,False,14.993805252843062,17.100373811984106,16.047089532413583,18.835198454078505,17.348210968365898,23.4820387785027,28.810419465450753,28.810419465450753,0.0,0.0,0.0,0.0
B0_ACTIONABLE_ONLY,1w,2026-06-18,RVMD,UNCONFIRMED,pivot,3.07,True,12.173480541660675,17.046572770094272,13.325522824071578,11.132325807093268,13.596593808270963,19.326018791096367,19.409184451978987,19.409184451978987,-0.1047396624340835,-0.1047396624340835,-0.1047396624340835,-0.1047396624340835
B0_ACTIONABLE_ONLY,1w,2026-06-26,BUUU,EXTENDED,ma10_touch_confirm,10.0,False,3.6697260380452956,-14.968607489921727,5.746019249946865,10.989865172272918,32.54467395664986,32.54467395664986,32.54467395664986,32.54467395664986,-1.2554241092561758,-22.50120740423378,-22.50120740423378,-22.50120740423378
B0_ACTIONABLE_ONLY,1w,2026-06-26,GLW,EXTENDED,ma10_touch_confirm,5.98,False,-14.147197755929042,-19.29924833145238,-32.52533705515989,-36.817979521077106,19.779641291346838,19.779641291346838,19.779641291346838,19.779641291346838,-14.869982874379339,-21.37505566532828,-35.24019110003027,-39.925076586480344
B0_ACTIONABLE_ONLY,1w,2026-06-26,ILMN,EXTENDED,pivot,6.76,False,9.54958143057234,7.136819271474759,4.109585270429972,6.809855049675151,9.978012858189956,10.863072517483442,10.863072517483442,12.261119609242876,-1.4713346971824137,-1.4713346971824137,-1.4713346971824137,-1.4713346971824137
B0_ACTIONABLE_ONLY,1w,2026-06-26,INTG,UNCONFIRMED,ceiling,8.85,False,0.6234664445518012,-5.14362364983203,-14.05032597356961,-28.523717249643187,13.449122547426139,13.449122547426139,13.449122547426139,13.449122547426139,-5.254955730060096,-12.936988183102416,-17.635266523835657,-31.262522947854677
B0_ACTIONABLE_ONLY,1w,2026-06-26,MBX,EXTENDED,ceiling,16.53,False,9.622879458389066,14.06859091883874,14.258575676718333,16.462432206409815,13.289641815606078,26.43679143907547,26.43679143907547,26.64577902121541,-0.9784352732424173,-0.9784352732424173,-0.9784352732424173,-0.9784352732424173
B0_ACTIONABLE_ONLY,1w,2026-07-02,BLZE,EXTENDED,ma10_touch_confirm,6.62,True,14.471547196551061,-14.016258425828887,-24.487807111042304,-10.764225905503688,18.692686499618905,18.692686499618905,18.692686499618905,18.692686499618905,-5.541464952918574,-18.04877800670096,-25.040652887607973,-28.585368830983228
B0_ACTIONABLE_ONLY,1w,2026-07-02,CRWD,EXTENDED,pivot,6.08,True,-1.2294875724724097,7.160576073854119,-3.2874233064865255,0.7123667050008331,10.54825923307332,14.769672473477069,14.769672473477069,14.769672473477069,-2.2215142088066853,-4.490525435865056,-4.490525435865056,-8.11038761157955
B0_ACTIONABLE_ONLY,1w,2026-07-02,DINO,UNCONFIRMED,ma10_touch_confirm,5.65,False,7.460424026301826,21.940804510972622,21.54163963823754,25.905023123943472,8.451478679544543,22.14727598066073,28.91947927729419,29.6902948957829,-0.7432909899320328,-0.7432909899320328,-0.7432909899320328,-0.7432909899320328
B0_ACTIONABLE_ONLY,1w,2026-07-02,DK,UNCONFIRMED,pivot,9.47,False,5.955333018196662,20.729148190250513,20.633711584709282,29.547630344107677,9.887383786072878,22.33250063857406,31.570912594428147,31.570912594428147,-1.8324090392380143,-1.8324090392380143,-1.8324090392380143,-1.8324090392380143
B0_ACTIONABLE_ONLY,1w,2026-07-02,KFRC,UNCONFIRMED,ceiling_pullback,0.93,True,7.138653206174772,14.846047157556864,8.099621724786243,11.335553224227057,7.981956385271105,19.04294717560917,19.04294717560917,20.964891694097343,-1.7846633015436875,-1.7846633015436875,-1.7846633015436875,-1.7846633015436875
B0_ACTIONABLE_ONLY,1w,2026-07-02,MPC,UNCONFIRMED,ma10_touch_confirm,3.76,True,6.4610543038180035,17.289516354992784,16.028816967462678,18.741563209530575,7.740509430140419,17.495875283268326,22.662474449886048,22.662474449886048,-1.8572647056499747,-1.8572647056499747,-1.8572647056499747,-1.8572647056499747
B0_ACTIONABLE_ONLY,1w,2026-07-02,SIF,EXTENDED,ma10_touch_confirm,7.17,False,-10.159117698350828,-8.200735251374303,6.038349769137663,5.181560366805482,11.13830892183909,11.13830892183909,11.13830892183909,13.504689657415758,-17.584656979576895,-17.584656979576895,-17.584656979576895,-17.584656979576895
B0_ACTIONABLE_ONLY,1w,2026-07-02,XENE,UNCONFIRMED,pivot,1.62,True,13.392562607982672,12.306685599147226,7.634089310361958,3.1095745765171268,19.545911683794092,19.545911683794092,19.545911683794092,19.545911683794092,-1.9035829284323125,-1.9035829284323125,-1.9035829284323125,-1.9035829284323125
B0_ACTIONABLE_ONLY,1w,2026-07-10,DINO,UNCONFIRMED,pivot,5.2,False,11.433957657724058,11.069186228626183,15.056605309060544,2.402520329697322,11.622638822351616,17.811325361143872,18.51572480591588,18.51572480591588,-0.13836554761202935,-0.13836554761202935,-0.13836554761202935,-0.13836554761202935
B0_ACTIONABLE_ONLY,1w,2026-07-10,GPRE,UNCONFIRMED,pivot,3.68,True,11.737365283105516,-1.5107398917166726,-2.0917996638810443,-14.875070320323758,14.177807459961201,14.177807459961201,14.177807459961201,14.177807459961201,-5.171408698396851,-5.171408698396851,-5.752468470561222,-16.269607123842235
B0_ACTIONABLE_ONLY,1w,2026-07-10,PBF,UNCONFIRMED,ceiling,3.36,False,14.277909623701056,12.238210233795588,31.633580368154757,12.383899573769575,15.825894465229261,24.43999639580232,36.11363699046159,36.11363699046159,-0.1821134117628409,-0.1821134117628409,-0.1821134117628409,-0.1821134117628409
B0_ACTIONABLE_ONLY,1w,2026-07-10,TRAX,EXTENDED,ceiling,44.96,False,2.411667453817934,-0.39259503714943467,23.49972266958207,27.117223850308967,11.245087881917692,20.302865141465265,34.60459956643387,39.0353394369203,-6.730234257286671,-6.730234257286671,-6.730234257286671,-6.730234257286671
B0_ACTIONABLE_ONLY,1w,2026-07-10,TRNO,UNCONFIRMED,ma10_touch_confirm,3.07,True,7.782880839242168,4.365308647574784,2.886275350153489,-1.263637652398908,13.354398525655654,13.354398525655654,13.354398525655654,13.354398525655654,-0.48821990360494727,-0.48821990360494727,-0.48821990360494727,-2.627802767222176
