audit_rule,clock,horizon,snapshot_date,code,ibd_entry_status,ibd_candidate_rule,current_vs_ibd_candidate_pct,review_opportunity_1w,opportunity_type_1w,opportunity_delay_sessions,forward_1w_return_pct,forward_2w_return_pct,forward_3w_return_pct,forward_4w_return_pct,opp_forward_1w_return_pct,opp_forward_2w_return_pct,opp_forward_3w_return_pct,opp_forward_4w_return_pct,opp_mfe_4w_pct,opp_mae_4w_pct
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,2w,2026-07-02,MPC,UNCONFIRMED,ma10_touch_confirm,3.76,True,UNCONFIRMED_TO_ZONE,1,6.4610543038180035,17.289516354992784,16.028816967462678,18.741563209530575,10.368421004862128,17.219974350666156,16.119564832639455,14.141793347691877,21.53612598851136,-2.7584606043113746
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,2w,2026-07-02,VLO,UNCONFIRMED,ma10_touch_confirm,2.72,True,UNCONFIRMED_TO_ZONE,1,4.879870463071723,15.70077653739581,13.02918001756046,16.91513962849356,9.422166517683861,15.90336973571227,12.80333841884358,13.768866607073548,18.466995249183604,-3.410772777038573
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,2w,2026-07-02,XENE,UNCONFIRMED,pivot,1.62,True,UNCONFIRMED_TO_ZONE,1,13.392562607982672,12.306685599147226,7.634089310361958,3.1095745765171268,11.8599276455152,9.084902406384598,8.655430764001814,2.8410924677814364,20.019825839602,-0.4459868742658357
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,2w,2026-07-10,DINO,UNCONFIRMED,pivot,5.2,False,,,11.433957657724058,11.069186228626183,15.056605309060544,2.402520329697322,,,,,,
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,2w,2026-07-10,GPRE,UNCONFIRMED,pivot,3.68,True,UNCONFIRMED_TO_ZONE,3,11.737365283105516,-1.5107398917166726,-2.0917996638810443,-14.875070320323758,5.963029056072866,-2.385209347714079,-1.6696522301875127,-9.898633009982582,17.173518677116718,-14.072752211876061
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,2w,2026-07-10,OII,UNCONFIRMED,pivot,7.76,False,,,-0.3300315787163943,24.3045776009456,14.992929950212886,13.083458961157701,,,,,,
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,2w,2026-07-10,PAG,UNCONFIRMED,ceiling,5.5,True,UNCONFIRMED_TO_ZONE,1,3.63589900250203,11.148045365147773,11.127585869214496,10.66734864986445,1.1800014309556683,11.634404091459238,12.565986246715388,11.92940839775134,17.482661508066187,-1.4594800260857244
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,2w,2026-07-10,PBF,UNCONFIRMED,ceiling,3.36,False,,,14.277909623701056,12.238210233795588,31.633580368154757,12.383899573769575,,,,,,
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,2w,2026-07-10,TRAX,EXTENDED,ceiling,44.96,False,,,2.411667453817934,-0.39259503714943467,23.49972266958207,27.117223850308967,,,,,,
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,2w,2026-07-17,CDNA,EXTENDED,ceiling,19.92,False,,,-5.496182924541115,11.221373875380136,18.80407005880944,15.318067619926845,,,,,,
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,2w,2026-07-17,GEF,UNCONFIRMED,ceiling,0.65,True,UNCONFIRMED_TO_ZONE,3,3.0811671783772976,13.478440882593045,16.271147513204397,14.527340132067446,13.554681795649447,17.34374891345705,14.60936607482568,14.036456186117485,17.929682416531143,-1.015633304292629
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,2w,2026-07-17,PARR,UNCONFIRMED,ceiling,14.23,False,,,2.1380530795236385,13.540982698683202,-12.511543021701533,6.005019471218587,,,,,,
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,2w,2026-07-17,PLSE,UNCONFIRMED,pivot,9.05,False,,,5.478017108105404,22.575021825365926,47.976273807417954,55.4082384949808,,,,,,
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,2w,2026-07-24,HALO,UNCONFIRMED,ceiling,0.7,True,UNCONFIRMED_TO_ZONE,1,0.15774450629921777,25.130443106623403,19.718479890653672,31.258334379470387,0.9695548031240842,25.94501536412801,26.411384089904,33.3333270909882,33.89788166330157,-0.3313748911842218
