snapshot_date,pick_count,eligible_count,eligible_mature_count,eligible_entry_coverage,primary_valid,b0_return,random_mean,random_median,random_p25,random_p75,b0_percentile,oracle,edge_vs_random_mean,oracle_capture_ratio,oracle_codes,distribution_method,distribution_theoretical_combinations_before_constraints,distribution_evaluated_portfolios,distribution_mc_percentile_se_max_pp,unconstrained_random_mean,unconstrained_random_median,unconstrained_random_p25,unconstrained_random_p75,unconstrained_b0_percentile,unconstrained_oracle,unconstrained_edge_vs_random_mean,unconstrained_oracle_capture_ratio,unconstrained_oracle_codes,unconstrained_distribution_method,unconstrained_distribution_theoretical_combinations_before_constraints,unconstrained_distribution_evaluated_portfolios,unconstrained_distribution_mc_percentile_se_max_pp
2026-05-08,3,20,20,1.0,True,9.374600000000001,1.638558,0.926267,-2.663192,5.932808,89.3908,21.941767,7.736042,0.381026,"[""FTNT"", ""VVX"", ""CORZ""]",exact,1140.0,952.0,0.0,1.293365,0.564317,-2.774358,5.2282,90.614,21.941767,8.081235,0.391373,"[""FTNT"", ""VVX"", ""CORZ""]",exact,1140.0,1140.0,0.0
2026-05-15,3,14,14,1.0,True,6.202166666666666,-0.90764,0.503767,-6.93645,5.801075,77.6471,13.511167,7.109806,0.493093,"[""ALKS"", ""DCO"", ""JBHT""]",exact,364.0,340.0,0.0,-1.540593,0.422083,-7.862958,5.576408,78.2967,13.511167,7.74276,0.514409,"[""ALKS"", ""DCO"", ""JBHT""]",exact,364.0,364.0,0.0
2026-05-22,3,10,10,1.0,True,-5.418666666666666,1.33092,2.256667,-1.926892,4.053467,3.3333,6.806333,-6.749587,-1.232708,"[""GS"", ""PFIS"", ""ROIV""]",exact,120.0,120.0,0.0,1.33092,2.256667,-1.926892,4.053467,3.3333,6.806333,-6.749587,-1.232708,"[""GS"", ""PFIS"", ""ROIV""]",exact,120.0,120.0,0.0
2026-05-29,3,18,18,1.0,True,3.9257333333333335,4.906309,5.277417,-0.194225,10.430117,43.2292,24.308467,-0.980575,-0.050539,"[""ATLC"", ""GHM"", ""PKOH""]",exact,816.0,768.0,0.0,4.675872,5.00855,-0.489908,10.137667,44.8529,24.308467,-0.750139,-0.038209,"[""ATLC"", ""GHM"", ""PKOH""]",exact,816.0,816.0,0.0
2026-06-05,3,14,14,1.0,True,7.676833333333334,12.545952,12.66205,7.660583,16.844433,25.0,27.291867,-4.869119,-0.330201,"[""PTRN"", ""MYE"", ""TWIN""]",exact,364.0,224.0,0.0,11.237686,9.844133,6.866792,15.596217,31.044,27.291867,-3.560852,-0.221802,"[""PTRN"", ""MYE"", ""TWIN""]",exact,364.0,364.0,0.0
2026-06-12,3,31,31,1.0,True,3.7727333333333335,2.042472,2.102167,-0.996483,5.207683,64.6598,16.540833,1.730262,0.119342,"[""BDL"", ""KRYS"", ""CTRN""]",exact,4495.0,3571.0,0.0,2.116419,2.225433,-0.604433,4.991033,65.2503,16.540833,1.656314,0.114827,"[""BDL"", ""KRYS"", ""CTRN""]",exact,4495.0,4495.0,0.0
2026-06-18,3,11,11,1.0,True,-16.656766666666666,-18.169775,-17.916867,-21.872833,-15.058833,60.396,-8.985467,1.513008,0.164738,"[""GEV"", ""LION"", ""AXGN""]",exact,165.0,101.0,0.0,-18.984745,-18.9648,-22.3907,-15.8209,68.4848,-8.985467,2.327979,0.232815,"[""GEV"", ""LION"", ""AXGN""]",exact,165.0,165.0,0.0
2026-06-26,3,78,78,1.0,True,1.8036666666666668,1.587377,1.441317,-1.319783,4.431733,53.3478,20.0551,0.21629,0.011712,"[""KRT"", ""ETON"", ""VLO""]",exact,76076.0,41848.0,0.0,1.580876,1.44765,-0.732592,3.8671,54.2615,20.0551,0.222791,0.01206,"[""KRT"", ""ETON"", ""VLO""]",exact,76076.0,76076.0,0.0
2026-07-02,3,16,16,1.0,True,-0.07440000000000009,-5.687257,-5.4862,-8.72025,-2.397817,91.1157,4.0935,5.612857,0.573867,"[""MPB"", ""PACS"", ""NTST""]",exact,560.0,484.0,0.0,-4.745488,-4.522817,-8.0062,-1.191808,82.8571,6.548833,4.671088,0.413578,"[""MPB"", ""TCBK"", ""SBFG""]",exact,560.0,560.0,0.0
2026-07-10,3,5,5,1.0,True,-3.917966666666667,-4.7458,-4.6896,-7.760083,-2.89095,71.4286,1.592367,0.827833,0.130611,"[""RAPP"", ""BSVN"", ""PNTG""]",exact,10.0,7.0,0.0,-3.1156,-3.580267,-6.7031,0.728292,50.0,3.0394,-0.802367,-0.13036,"[""RAPP"", ""PHVS"", ""BSVN""]",exact,10.0,10.0,0.0
2026-07-17,3,36,36,1.0,True,6.938633333333333,1.582718,1.8888,-1.414708,4.631892,88.9368,14.151033,5.355915,0.426144,"[""ORKA"", ""CZFS"", ""OSBC""]",exact,7140.0,3480.0,0.0,2.215892,2.508967,-0.255883,4.995867,88.7395,14.373633,4.722742,0.388456,"[""ORKA"", ""CZFS"", ""CHMG""]",exact,7140.0,7140.0,0.0
2026-07-24,3,18,18,1.0,True,14.597166666666666,12.291243,11.01595,5.537892,19.4423,65.5612,40.7746,2.305923,0.080957,"[""PLSE"", ""LBRX"", ""IMAX""]",exact,816.0,392.0,0.0,9.01555,6.906367,0.64125,13.153958,77.0833,41.9566,5.581617,0.169443,"[""PLSE"", ""LBRX"", ""BLFS""]",exact,816.0,816.0,0.0
2026-07-31,3,21,0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,3,21,0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
