snapshot_date,code,reasons,reason_count,exclusive_reason,next_open_w4_return_pct,next_open_w4_stop8,is_top20_winner,is_big_winner
2026-01-16,ASTS,non_actionable,1,non_actionable,-26.587091,True,False,False
2026-01-23,ALM,non_actionable|eps_unknown,2,,30.548523,True,True,True
2026-01-23,COHR,non_actionable,1,non_actionable,26.803546,True,True,True
2026-01-23,BKR,clear_geometry_failure,1,clear_geometry_failure,14.859219,False,True,False
2026-01-23,KO,non_actionable,1,non_actionable,10.570236,False,False,False
2026-01-23,PAC,non_actionable|eps_unknown,2,,0.15426,False,False,False
2026-01-23,BILI,non_actionable|eps_unknown,2,,-8.99939,True,False,False
2026-01-23,NU,eps_unknown,1,eps_unknown,-10.304709,True,False,False
2026-01-23,BIDU,non_actionable|eps_unknown,2,,-15.227848,True,False,False
2026-01-23,GH,non_actionable,1,non_actionable,-17.284275,True,False,False
2026-01-23,ROKU,non_actionable,1,non_actionable,-20.538404,True,False,False
2026-01-23,CVNA,non_actionable,1,non_actionable,-31.500211,True,False,False
2026-01-23,LMND,non_actionable,1,non_actionable,-45.394595,True,False,False
2026-01-30,ALM,clear_geometry_failure|eps_unknown,2,,81.27734,False,True,True
2026-01-30,CIEN,non_actionable,1,non_actionable,42.673335,False,True,True
2026-01-30,GSK,non_actionable|eps_unknown,2,,12.630336,False,True,False
2026-01-30,SHEL,clear_geometry_failure|eps_unknown,2,,11.795703,False,False,False
2026-01-30,LMT,non_actionable|clear_geometry_failure,2,,9.720273,False,False,False
2026-01-30,JNJ,non_actionable,1,non_actionable,9.445994,False,False,False
2026-01-30,CAH,non_actionable,1,non_actionable,6.501908,False,False,False
2026-01-30,PFG,clear_geometry_failure,1,clear_geometry_failure,1.322723,False,False,False
2026-01-30,MDT,non_actionable,1,non_actionable,-4.609298,False,False,False
2026-01-30,SCHW,non_actionable,1,non_actionable,-7.633142,True,False,False
2026-01-30,GOOG,non_actionable,1,non_actionable,-8.970278,True,False,False
2026-01-30,IBM,clear_geometry_failure,1,clear_geometry_failure,-21.714172,True,False,False
2026-02-13,SHEL,non_actionable|eps_unknown,2,,19.132384,False,True,False
2026-02-13,VRT,non_actionable,1,non_actionable,14.444729,False,True,False
2026-02-13,MTZ,non_actionable,1,non_actionable,13.260223,False,True,False
2026-02-13,WLK,non_actionable,1,non_actionable,12.468271,False,True,False
2026-02-13,NYAX,clear_geometry_failure|eps_unknown,2,,8.869534,True,True,False
2026-02-13,ROST,non_actionable,1,non_actionable,5.807825,False,True,False
2026-02-13,NATL,clear_geometry_failure,1,clear_geometry_failure,3.755314,False,False,False
2026-02-13,ADC,non_actionable,1,non_actionable,2.622651,False,False,False
2026-02-13,FE,non_actionable,1,non_actionable,2.136752,False,False,False
2026-02-13,AEIS,non_actionable|clear_geometry_failure,2,,1.59619,True,False,False
2026-02-13,WELL,non_actionable,1,non_actionable,0.901073,False,False,False
2026-02-13,AMAT,non_actionable|clear_geometry_failure,2,,0.543245,True,False,False
2026-02-13,OR,non_actionable|eps_unknown,2,,-2.749816,False,False,False
2026-02-13,HWM,non_actionable|clear_geometry_failure,2,,-2.810172,False,False,False
2026-02-13,LSCC,non_actionable|clear_geometry_failure,2,,-3.979996,True,False,False
2026-02-13,TSM,non_actionable|eps_unknown,2,,-4.122108,True,False,False
2026-02-13,WES,non_actionable|eps_unknown,2,,-5.014327,True,False,False
2026-02-13,AU,non_actionable|eps_unknown,2,,-6.614594,True,False,False
2026-02-13,AZN,non_actionable|eps_unknown,2,,-7.118233,True,False,False
2026-02-13,PFIS,non_actionable,1,non_actionable,-7.946188,True,False,False
2026-02-13,NEM,non_actionable,1,non_actionable,-8.57473,True,False,False
2026-02-13,GNRC,non_actionable,1,non_actionable,-8.715576,True,False,False
2026-02-13,DG,non_actionable,1,non_actionable,-14.866373,True,False,False
2026-02-13,MAS,clear_geometry_failure,1,clear_geometry_failure,-18.662768,True,False,False
2026-02-13,SN,non_actionable|eps_unknown,2,,-20.165327,True,False,False
2026-02-13,AEO,non_actionable,1,non_actionable,-31.941709,True,False,False
2026-02-20,AXTI,non_actionable,1,non_actionable,114.371257,True,True,True
2026-02-20,AAOI,non_actionable,1,non_actionable,89.548694,False,True,True
2026-02-20,SHEL,non_actionable|eps_unknown,2,,13.342661,False,True,False
2026-02-20,MRNA,non_actionable,1,non_actionable,5.319367,False,False,False
2026-02-20,COHR,non_actionable,1,non_actionable,2.768152,False,False,False
2026-02-20,FN,non_actionable,1,non_actionable,1.1944,True,False,False
2026-02-20,TTMI,non_actionable,1,non_actionable,-4.32978,True,False,False
2026-02-20,RTX,clear_geometry_failure,1,clear_geometry_failure,-4.485058,False,False,False
