snapshot_date,code,current_b0_raw_rank,current_b0_lane,current_b0_eligible,current_b0_reject_reasons,current_b0_selected,current_b0_pick_order,w4_return_pct,w4_stop8,snapshot_w4_return_pct,snapshot_w4_stop8,snapshot_price_valid
2025-11-14,ALL,1,fresh_demand_alpha,True,,True,1.0,-3.269,False,-2.865805,False,True
2025-11-14,AU,17,incomplete_evidence,False,non_actionable|eps_unknown,False,,6.2226,False,5.522604,False,True
2025-11-14,AZN,13,incomplete_evidence,False,non_actionable|eps_unknown,False,,0.5599,False,0.822182,False,True
2025-11-14,CASY,15,incomplete_evidence,False,non_actionable,False,,0.1208,False,0.350152,False,True
2025-11-14,COLL,12,incomplete_evidence,False,non_actionable,False,,8.2832,False,5.763375,False,True
2025-11-14,EA,6,constructive_pullback,False,non_actionable|eps_unknown,False,,,,,,False
2025-11-14,FE,9,constructive_pullback,False,non_actionable,False,,-4.0848,False,-3.654709,False,True
2025-11-14,GSK,10,constructive_pullback,False,non_actionable|eps_unknown,False,,2.5447,False,3.45953,False,True
2025-11-14,JNJ,4,constructive_pullback,False,non_actionable,False,,8.1056,False,8.672622,False,True
2025-11-14,LH,2,fresh_demand_alpha,True,,True,2.0,-0.3111,False,-0.747791,False,True
2025-11-14,LLY,18,tail_risk,False,non_actionable|clear_geometry_failure,False,,2.3706,False,0.217572,False,True
2025-11-14,LYFT,3,constructive_pullback,True,,True,3.0,-11.1644,True,-11.970614,True,True
2025-11-14,MDT,14,incomplete_evidence,False,non_actionable,False,,4.2241,False,4.168448,False,True
2025-11-14,MNST,7,constructive_pullback,False,non_actionable,False,,3.2956,False,3.730192,False,True
2025-11-14,MS,8,constructive_pullback,False,non_actionable,False,,9.2902,False,8.883375,False,True
2025-11-14,NTRA,5,constructive_pullback,False,non_actionable,False,,13.5451,False,13.545134,False,True
2025-11-14,SHEL,11,constructive_pullback,False,non_actionable|eps_unknown,False,,-4.0349,False,-4.529428,False,True
2025-11-21,ABBV,4,constructive_pullback,False,non_actionable,False,,-3.8907,False,-4.003119,False,True
2025-11-21,BTSG,2,constructive_pullback,False,non_actionable,False,,7.0531,False,8.383926,False,True
2025-11-21,FE,3,constructive_pullback,False,non_actionable,False,,-5.6264,False,-5.667838,False,True
2025-11-21,GOOG,7,tail_risk,False,clear_geometry_failure,False,,-0.7055,False,3.059587,False,True
2025-11-21,MDT,8,tail_risk,False,clear_geometry_failure,False,,-2.8563,False,-2.541515,False,True
2025-11-21,MNPR,6,incomplete_evidence,False,non_actionable,False,,-26.1567,True,-25.043687,True,True
2025-11-21,ROST,5,incomplete_evidence,False,non_actionable,False,,5.4566,False,5.072296,False,True
2025-11-21,WMT,1,fresh_demand_alpha,True,,True,1.0,8.7672,False,8.808885,False,True
2025-11-28,AAPL,9,constructive_pullback,False,non_actionable,False,,-1.6591,False,-1.952605,False,True
2025-11-28,APP,33,incomplete_evidence,False,non_actionable,False,,21.4408,False,19.141589,False,True
2025-11-28,AU,34,incomplete_evidence,False,non_actionable|eps_unknown,False,,5.7997,True,6.503082,True,True
2025-11-28,AVGO,25,incomplete_evidence,False,non_actionable,False,,-10.6482,True,-12.445409,True,True
2025-11-28,BIDU,26,incomplete_evidence,False,non_actionable|eps_unknown,False,,5.6463,False,6.767046,False,True
2025-11-28,BKR,12,constructive_pullback,False,non_actionable,False,,-9.8651,True,-9.846959,True,True
2025-11-28,BTSG,3,constructive_pullback,False,non_actionable,False,,5.3292,False,4.397124,False,True
2025-11-28,C,6,constructive_pullback,False,non_actionable,False,,16.7963,False,16.235548,False,True
2025-11-28,CASY,8,constructive_pullback,False,non_actionable,False,,-0.6269,False,-0.291684,False,True
2025-11-28,CEG,27,incomplete_evidence,False,non_actionable,False,,0.3159,False,-1.069607,True,True
2025-11-28,CHRW,2,constructive_pullback,False,non_actionable,False,,4.2062,False,4.040468,False,True
