code,eligible_rank,rank_bucket,w4_return_pct,w4_stop8,selected,snapshot_date
ILMN,3,rank_1_3,9.7606,False,True,2026-05-29
VELO,4,rank_4_6,-26.825,True,False,2026-05-29
AVGO,5,rank_4_6,-18.7725,True,False,2026-05-29
FUSB,6,rank_4_6,5.1475,False,False,2026-05-29
NVRI,7,rank_7_10,20.8882,False,False,2026-05-29
TMP,8,rank_7_10,10.126,False,False,2026-05-29
CTS,9,rank_7_10,2.8807,False,False,2026-05-29
CSTM,10,rank_7_10,-6.4744,True,False,2026-05-29
GHM,11,rank_11_plus,22.4436,True,False,2026-05-29
SBLK,12,rank_11_plus,-8.2914,True,False,2026-05-29
ATLC,13,rank_11_plus,29.4373,True,False,2026-05-29
DIOD,14,rank_11_plus,0.5406,False,False,2026-05-29
SHEN,15,rank_11_plus,-2.4005,True,False,2026-05-29
PKOH,16,rank_11_plus,21.0445,False,False,2026-05-29
RVMD,17,rank_11_plus,13.8356,True,False,2026-05-29
WEYS,18,rank_11_plus,8.8083,False,False,2026-05-29
TWIN,1,rank_1_3,14.1071,False,True,2026-06-05
AMG,2,rank_1_3,2.228,False,True,2026-06-05
TBBB,3,rank_1_3,6.6954,False,True,2026-06-05
FCCO,4,rank_4_6,4.8305,False,False,2026-06-05
MYE,5,rank_4_6,32.5767,False,False,2026-06-05
PTRN,6,rank_4_6,35.1918,True,False,2026-06-05
FSBC,7,rank_7_10,13.1105,False,False,2026-06-05
MCRI,8,rank_7_10,6.2556,False,False,2026-06-05
BFH,9,rank_7_10,11.6317,False,False,2026-06-05
TMP,10,rank_7_10,7.6112,False,False,2026-06-05
NBIX,11,rank_11_plus,6.3339,False,False,2026-06-05
FRST,12,rank_11_plus,4.8699,False,False,2026-06-05
ATLO,13,rank_11_plus,-1.1052,False,False,2026-06-05
CBK,14,rank_11_plus,12.9905,False,False,2026-06-05
MCS,1,rank_1_3,-2.4204,False,True,2026-06-12
CWBC,2,rank_1_3,4.1877,False,True,2026-06-12
FDSB,3,rank_1_3,9.5509,False,True,2026-06-12
AD,4,rank_4_6,-14.3599,True,False,2026-06-12
WTS,5,rank_4_6,4.3041,False,False,2026-06-12
EXPD,6,rank_4_6,3.8894,False,False,2026-06-12
LYTS,7,rank_7_10,-6.9696,False,False,2026-06-12
RNST,8,rank_7_10,-0.6542,False,False,2026-06-12
FNLC,9,rank_7_10,9.421,False,False,2026-06-12
FUNC,10,rank_7_10,5.5237,False,False,2026-06-12
LARK,11,rank_11_plus,1.443,False,False,2026-06-12
SMBK,12,rank_11_plus,2.1572,False,False,2026-06-12
CTRN,13,rank_11_plus,12.0777,False,False,2026-06-12
BDL,14,rank_11_plus,22.5102,False,False,2026-06-12
SLAB,15,rank_11_plus,-0.5097,False,False,2026-06-12
CZWI,16,rank_11_plus,6.1546,False,False,2026-06-12
WBS,17,rank_11_plus,3.0299,False,False,2026-06-12
SFNC,18,rank_11_plus,2.4194,False,False,2026-06-12
GABC,19,rank_11_plus,2.0997,False,False,2026-06-12
CVS,20,rank_11_plus,3.2622,False,False,2026-06-12
OFG,21,rank_11_plus,3.0056,False,False,2026-06-12
SENEA,22,rank_11_plus,1.3596,True,False,2026-06-12
CASY,23,rank_11_plus,-8.9735,True,False,2026-06-12
RSI,24,rank_11_plus,11.3333,False,False,2026-06-12
CRDO,25,rank_11_plus,-1.981,True,False,2026-06-12
KRYS,26,rank_11_plus,15.0346,False,False,2026-06-12
CCNE,27,rank_11_plus,2.1884,False,False,2026-06-12
PSTL,28,rank_11_plus,1.0575,False,False,2026-06-12
AMKR,29,rank_11_plus,-19.4721,True,False,2026-06-12
PRM,30,rank_11_plus,-4.4011,True,False,2026-06-12
FCBC,31,rank_11_plus,-0.6592,False,False,2026-06-12
TER,1,rank_1_3,-29.3287,True,True,2026-06-18
ADI,2,rank_1_3,-14.2524,True,True,2026-06-18
TXN,3,rank_1_3,-13.4097,True,False,2026-06-18
GEV,4,rank_4_6,-6.3892,True,True,2026-06-18
AXGN,5,rank_4_6,-11.1086,True,False,2026-06-18
LION,6,rank_4_6,-9.4586,True,False,2026-06-18
QCOM,7,rank_7_10,-22.9444,True,False,2026-06-18
GLW,8,rank_7_10,-22.8801,True,False,2026-06-18
MTSI,9,rank_7_10,-33.1834,True,False,2026-06-18
NVT,10,rank_7_10,-14.1922,True,False,2026-06-18
INTC,11,rank_11_plus,-31.6849,True,False,2026-06-18
EGBN,1,rank_1_3,-1.8301,True,True,2026-06-26
ADPT,2,rank_1_3,5.0472,False,True,2026-06-26
WTBA,3,rank_1_3,2.155,False,False,2026-06-26
SBFG,4,rank_4_6,3.663,False,False,2026-06-26
BWB,5,rank_4_6,-0.24,False,False,2026-06-26
QCRH,6,rank_4_6,2.1939,False,True,2026-06-26
BCML,7,rank_7_10,-1.5834,False,False,2026-06-26
FBNC,8,rank_7_10,-0.3969,False,False,2026-06-26
JMSB,9,rank_7_10,6.0534,False,False,2026-06-26
WMB,10,rank_7_10,-4.6515,False,False,2026-06-26
UBSI,11,rank_11_plus,4.3213,False,False,2026-06-26
WSBC,12,rank_11_plus,6.9484,False,False,2026-06-26
TCBK,13,rank_11_plus,8.2309,False,False,2026-06-26
NWFL,14,rank_11_plus,1.8414,False,False,2026-06-26
BSVN,15,rank_11_plus,0.0405,False,False,2026-06-26
EBMT,16,rank_11_plus,-1.7766,False,False,2026-06-26
BIOA,17,rank_11_plus,-8.7212,True,False,2026-06-26
HFWA,18,rank_11_plus,2.6424,False,False,2026-06-26
CHCO,19,rank_11_plus,5.8449,False,False,2026-06-26
MBWM,20,rank_11_plus,2.8662,False,False,2026-06-26
BCAL,21,rank_11_plus,1.1063,False,False,2026-06-26
KRT,22,rank_11_plus,25.4569,False,False,2026-06-26
ORRF,23,rank_11_plus,3.781,True,False,2026-06-26
CBU,24,rank_11_plus,0.8096,False,False,2026-06-26
CNP,25,rank_11_plus,-0.5612,False,False,2026-06-26
EQBK,26,rank_11_plus,2.4023,False,False,2026-06-26
NTRA,27,rank_11_plus,-1.1358,False,False,2026-06-26
BFST,28,rank_11_plus,2.0731,False,False,2026-06-26
ETON,29,rank_11_plus,19.4335,False,False,2026-06-26
ELVN,30,rank_11_plus,5.0804,False,False,2026-06-26
HG,31,rank_11_plus,7.3634,False,False,2026-06-26
MO,32,rank_11_plus,-1.2314,False,False,2026-06-26
DNTH,33,rank_11_plus,8.1416,True,False,2026-06-26
RBB,34,rank_11_plus,-2.4645,False,False,2026-06-26
LINC,35,rank_11_plus,-18.8664,True,False,2026-06-26
