code,snapshot_date,signal,signal_source,bf_watch_active,bf_watch_s_resistance,bf_watch_s_distance_pct,bf_watch_s_side,bf_watch_m_resistance,bf_watch_m_distance_pct,bf_watch_m_side,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type
SUN,2026-09-14,True,pivot,,,,,,,,False,pivot,78.11,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 78.0, ""resistance_date"": ""2026-09-14""}, {""box_type"": ""M_BOX"", ""price"": 78.11, ""resistance_date"": ""2026-09-14""}], ""selected_pivot"": {""box_type"": ""M_BOX"", ""price"": 78.11, ""resistance_date"": ""2026-09-14""}}",1.0,2026-09-14,78.11,78.11,2.153789894788785,0.0130584720703874,0.7988824434508714,0.5698305763812823,pivot,,79.12999725341797,1.31,ACTIONABLE,0.4481347200132006,19.0,2026-06-22,21.9,3,1,64.88999938964844,2024-03-04,-26.1,8,120,26.1,1,7.0,-9.7,1.3,True,False,185.46174946662603,79.48999786376953,-0.4528879356224591,Distribution Services,Wholesale Distributors,TV_DIRECT,resolved,,
TBBB,2026-09-14,True,pivot,,,,,,,,True,pivot,51.03,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 51.03, ""resistance_date"": ""2026-09-14""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,51.45000076293945,0.82,UNCONFIRMED,0.1487950992901488,30.5,2026-06-01,30.6,2,0,39.38999938964844,2026-02-02,-23.6,2,17,23.6,3,5.0,-5.7,0.8,True,False,-46.43696162881753,52.220001220703125,-1.4745316732363456,Retail Trade,Food Retail,TV_DIRECT,resolved,,
TRV,2026-09-14,True,10_wk_ema_touch_confirm,,,,,,,,True,ma10_touch_confirm,376.57,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-09-14"", ""ma10_prior_week"": 370.222, ""pending_high"": 376.57, ""touch_date"": ""2026-08-17""}",0.0,,,,,,,,,daily_volume_not_confirmed,378.0499877929687,0.39,UNCONFIRMED,0.1656398110033812,15.5,2026-06-22,22.0,2,0,309.80999755859375,2025-12-15,-13.5,2,27,13.5,2,9.0,-7.8,-2.8,False,False,57.155321526427784,398.7000122070313,-5.1793387965435205,Finance,Property/Casualty Insurance,TV_DIRECT,resolved,,
AAMI,2026-09-14,False,,False,98.5199966430664,-9.74421315593571,BOTTOM,,,,True,,,,,,,,,,,,,,,88.91999816894531,,,0.2381501025416503,43.6,2026-04-06,58.0,1,0,56.29499816894531,2026-01-26,-18.6,1,10,18.6,5,4.0,-11.1,-9.7,False,False,,98.5199966430664,-9.74421315593571,Finance,Investment Managers,,,,
AAPL,2026-09-14,False,,False,,,,,,,True,,,,,,,,,,,,,,,333.0799865722656,,,0.1798486468720772,13.6,2026-05-04,18.6,1,1,280.9100036621094,2025-11-24,-13.3,2,23,13.3,2,10.0,-10.4,-0.6,False,False,,344.57000732421875,-3.334596891116448,Electronic Technology,Telecommunications Equipment,,,,
ABNB,2026-09-14,False,,False,,,,,,,True,,,,,,,,,,,,,,,170.64999389648438,,,0.1360118502737879,-4.2,2026-08-03,4.1,1,0,163.92999267578125,2025-02-10,-39.1,7,77,39.1,1,4.0,-14.3,-11.8,True,False,,193.4530029296875,-11.787363694473695,Consumer Services,Hotels/Resorts/Cruise lines,,,,
ACA,2026-09-14,False,,False,145.6699981689453,-0.356974173815705,LEFT,,,,False,,,,,,,,,,,,,,,145.14999389648438,,,0.2146508006894965,6.9,2026-06-15,10.8,1,0,131.0,2026-02-09,-23.8,2,18,23.8,4,3.0,-0.5,-0.4,False,False,,146.9199981689453,-1.2047401950179617,Non-Energy Minerals,Construction Materials,,,,
ACHC,2026-09-14,False,,False,32.869998931884766,-14.81593882000628,LEFT,,,,True,,,,,,,,,,,,,,,28.0,,,0.1115586657509327,-12.3,2026-06-29,1.8,1,0,27.5,2025-09-29,-58.4,2,39,58.4,2,9.0,-25.7,-21.9,False,False,,35.83000183105469,-21.853199639717136,Health Services,Medical/Nursing Services,,,,
ACNB,2026-09-14,False,,False,67.5999984741211,-3.8609477355990407,RIGHT,,,,False,,,,,,,,,,,,,,,64.98999786376953,,,0.2061326733868533,19.4,2026-05-18,20.6,2,0,53.88999938964844,2025-12-08,-17.2,2,23,17.2,6,3.0,-5.8,-3.9,False,False,,67.5999984741211,-3.8609477355990407,Finance,Regional Banks,,,,
ACU,2026-09-14,False,,False,64.16999816894531,-5.625676949763935,LEFT,,,,False,,,,,,,,,,,,,,,60.560001373291016,,,1.0374621187697466,12.3,2026-07-20,21.2,1,0,49.97999954223633,2024-02-05,-34.3,10,128,34.3,2,3.0,-6.7,-5.6,False,False,,64.16999816894531,-5.625676949763935,Distribution Services,Wholesale Distributors,,,,
