snapshot_date,segment,control_codes,challenger_codes,production_codes,control_vs_production_order_changed,control_vs_production_membership_changed,pairwise_opportunity_count,pairwise_opportunities_json,target_selection_swap,swap_count,swap_pairs_json,membership_changed_vs_control,control_w4_capital_return,challenger_w4_capital_return,production_w4_capital_return,portfolio_spread_vs_control_w4,portfolio_spread_vs_production_w4,mean_swap_pair_delta_w4,w4_mature_vs_control,w4_mature_vs_production
2026-06-05,confirmation,"[""TWIN"", ""AMG"", ""TBBB""]","[""TWIN"", ""AMG"", ""TBBB""]","[""TWIN"", ""AMG"", ""TBBB""]",False,False,0,[],False,0,[],False,7.6768,7.6768,7.6768,0.0,0.0,,True,True
2026-06-12,confirmation,"[""MCS"", ""CWBC"", ""FDSB""]","[""MCS"", ""FCBC"", ""FDSB""]","[""MCS"", ""CWBC"", ""FDSB""]",False,False,1,"[{""fresh_code"": ""CWBC"", ""fresh_strength"": [0, 1.1, -1.6403327529502805, ""CWBC""], ""standard_code"": ""FCBC"", ""standard_strength"": [0, 0.71, -1.8196222750389737, ""FCBC""]}]",True,1,"[{""fresh_code"": ""CWBC"", ""fresh_w4"": 4.1877, ""pair_delta_w4"": -4.8469, ""slot"": 2, ""standard_code"": ""FCBC"", ""standard_w4"": -0.6592}]",True,3.7727,2.1571,3.7727,-1.6156,-1.6156,-4.8469,True,True
2026-06-18,confirmation,"[""TER"", ""ADI"", ""GEV""]","[""TER"", ""ADI"", ""GEV""]","[""TER"", ""ADI"", ""GEV""]",False,False,0,[],False,0,[],False,-16.6568,-16.6568,-16.6568,0.0,0.0,,True,True
2026-06-26,confirmation,"[""EGBN"", ""ADPT"", ""QCRH""]","[""EGBN"", ""ADPT"", ""QCRH""]","[""EGBN"", ""ADPT"", ""QCRH""]",False,False,0,[],False,0,[],False,1.8037,1.8037,1.8037,0.0,0.0,,True,True
2026-07-02,confirmation,"[""BMRC"", ""BSET"", ""PACS""]","[""BMRC"", ""BSET"", ""TRIN""]","[""BMRC"", ""BSET"", ""PACS""]",False,False,1,"[{""fresh_code"": ""PACS"", ""fresh_strength"": [0, 4.36, -1.5933043881206037, ""PACS""], ""standard_code"": ""TRIN"", ""standard_strength"": [0, 2.77, -1.7593372990770166, ""TRIN""]}]",True,1,"[{""fresh_code"": ""PACS"", ""fresh_w4"": 3.7664, ""pair_delta_w4"": -4.7345, ""slot"": 3, ""standard_code"": ""TRIN"", ""standard_w4"": -0.9681}]",True,-0.0744,-1.6526,-0.0744,-1.5782,-1.5782,-4.7345,True,True
2026-07-10,confirmation,"[""RAPP"", ""BSVN"", ""LASR""]","[""RAPP"", ""BSVN"", ""LASR""]","[""BSVN"", ""RAPP"", ""LASR""]",True,False,0,[],False,0,[],False,-3.918,-3.918,-3.918,0.0,0.0,,True,True
2026-07-17,confirmation,"[""CZFS"", ""BIIB"", ""IRM""]","[""CZFS"", ""BIIB"", ""IRM""]","[""CZFS"", ""BIIB"", ""IRM""]",False,False,0,[],False,0,[],False,6.9386,6.9386,6.9386,0.0,0.0,,True,True
2026-07-24,confirmation,"[""BLFS"", ""IMAX"", ""PKG""]","[""BLFS"", ""IMAX"", ""NWFL""]","[""BLFS"", ""IMAX"", ""PKG""]",False,False,1,"[{""fresh_code"": ""PKG"", ""fresh_strength"": [0, 3.23, -1.8609151130028176, ""PKG""], ""standard_code"": ""NWFL"", ""standard_strength"": [0, 2.67, -1.9000390037332144, ""NWFL""]}]",True,1,"[{""fresh_code"": ""PKG"", ""fresh_w4"": -1.0723, ""pair_delta_w4"": 3.5298, ""slot"": 3, ""standard_code"": ""NWFL"", ""standard_w4"": 2.4575}]",True,14.5972,15.7738,14.5972,1.1766,1.1766,3.5298,True,True
2026-07-31,post_track_d_shadow,"[""SHOO"", ""NBBK"", ""GSAT""]","[""SHOO"", ""NBBK"", ""GSAT""]","[""SHOO"", ""NBBK"", ""GSAT""]",False,False,0,[],False,0,[],False,,,,,,,False,False
2026-08-07,post_track_d_shadow,"[""CFFI"", ""MTUS"", ""SWK""]","[""CFFI"", ""MTUS"", ""SNA""]","[""CFFI"", ""MTUS"", ""SWK""]",False,False,1,"[{""fresh_code"": ""SWK"", ""fresh_strength"": [0, 1.14, -1.5289629710359054, ""SWK""], ""standard_code"": ""SNA"", ""standard_strength"": [0, 0.97, -1.5524732064681304, ""SNA""]}]",True,1,"[{""fresh_code"": ""SWK"", ""fresh_w4"": null, ""pair_delta_w4"": null, ""slot"": 3, ""standard_code"": ""SNA"", ""standard_w4"": null}]",True,,,,,,,False,False
