snapshot_date,horizon,rank1_code,rank2_code,rank3_code,rank1_return_pct,rank2_return_pct,rank3_return_pct,raw_portfolio_return_pct,stop_capped_portfolio_return_pct,worst_pick_return_pct,best_pick_return_pct,loss_concentration,gain_concentration,one_pick_ruins_portfolio,is_left10_raw,is_right10_raw
2026-05-01,W2,RBB,IRM,BEN,-5.3964,-1.3814,6.9223,0.048166666666666615,0.048166666666666615,-5.3964,6.9223,0.7961875534834312,1,false,false,false
2026-05-08,W2,FTNT,KRYS,CTS,19.4737,-2.8958,0.5976,5.7251666666666665,2.8592999999999997,-2.8958,19.4737,1,0.9702261437973624,false,false,false
2026-05-15,W2,HLIO,CVS,AIZ,7.2795,-4.9311,-2.2389,0.0364999999999999,0.0364999999999999,-4.9311,7.2795,0.6877405857740586,1,false,false,false
2026-05-22,W2,CMPR,PDLB,CLBK,-7.5938,1.0638,-0.7576,-2.4292,-2.5646,-7.5938,1.0638,0.9092846708336326,1,true,false,false
2026-05-29,W2,BWA,NBIX,ILMN,5.3145,0.251,0.0746,1.8800333333333334,1.8800333333333334,0.0746,5.3145,,0.9422705271183134,false,false,false
2026-06-05,W2,TWIN,AMG,TBBB,9.1546,4.6903,6.7715,6.872133333333333,6.872133333333333,4.6903,9.1546,,0.4440445470596225,false,false,false
2026-06-12,W2,MCS,CWBC,FDSB,11.5643,3.7999,2.0873,5.817166666666666,5.817166666666666,2.0873,11.5643,,0.6626536400882446,false,false,false
2026-06-18,W2,TER,ADI,GEV,-19.0841,-13.8412,-1.4982,-11.474499999999999,-8,-19.0841,-1.4982,0.5543916220024112,,false,true,false
2026-06-26,W2,EGBN,ADPT,QCRH,-7.2514,-0.6604,-1.5306,-3.147466666666667,-3.397,-7.2514,-0.6604,0.7679615352029144,,false,false,false
2026-07-02,W2,BMRC,BSET,PACS,1.9559,6.1042,4.037,4.032366666666667,4.032366666666667,1.9559,6.1042,,0.5046002760992303,false,false,false
2026-07-10,W2,BSVN,RAPP,LASR,-3.9627,-1.07,-1.0038,-2.012166666666667,-4.344233333333333,-3.9627,-1.0038,0.6564565559512963,,false,false,false
2026-07-17,W2,CZFS,BIIB,IRM,6.4397,-0.5537,-1.0836,1.6008000000000002,1.6008000000000002,-1.0836,6.4397,0.6618212911500642,1,false,false,false
2026-07-24,W2,BLFS,IMAX,PKG,16.0362,10.9357,0.1996,9.057166666666667,9.057166666666667,0.1996,16.0362,,0.590184568389673,false,false,true
2026-07-31,W2,SHOO,NBBK,GSAT,-0.2539,-0.8628,-0.8782,-0.6649666666666666,-0.6649666666666666,-0.8782,-0.2539,0.4402225675472455,,false,false,false
2026-08-07,W2,CFFI,MTUS,SWK,-1.5759,-10.1376,-2.4005,-4.704666666666667,-3.9921333333333338,-10.1376,-1.5759,0.7182655519342497,,false,false,false
2025-11-14,W4,ALL,LH,LYFT,-3.269,-0.3111,-11.1644,-4.914833333333333,-3.8600333333333334,-11.1644,-0.3111,0.7571908169147819,,false,false,false
2025-11-28,W4,MNST,ROST,WFC,2.6557,3.4522,10.9901,5.699333333333333,5.699333333333333,2.6557,10.9901,,0.6427710843373494,false,false,false
2025-12-19,W4,SCHW,PLTR,MU,4.2808,-12.3462,30.9376,7.624066666666667,9.072799999999999,-12.3462,30.9376,1,0.8784499011880152,false,false,false
