snapshot_date,status,row_count,column_count,signal_rows,valid_ibd_entry_rows,invalid_ibd_entry_rows,missing_field_count,abnormal_empty_total,non_eps_abnormal_empty_total,signal_eps_missing,signal_eps_supplement_available,signal_eps_unresolved,normal_empty_total,repairable_fallback_total,optional_gap_total,missing_fields,abnormal_empty_fields,non_eps_abnormal_empty_fields,normal_empty_fields,repairable_fallback_fields,optional_gap_fields,signal_eps_missing_codes,output_pool_path
2026-03-13,passed_except_eps,102,47,10,3,7,0,10,0,10,3,7,1899,68,133,,eps_yoy_growth_signal=10,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=99; ibd_entry_close_position_invalid_or_non_signal=99; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=99; ibd_entry_date_invalid_or_non_signal=99; ibd_entry_price_invalid_or_non_signal=99; ibd_entry_rule_invalid_or_non_signal=99; ibd_entry_volume_ratio_invalid_or_non_signal=99; ibd_trigger_price_invalid_or_non_signal=99; ...+12,industry=34; sector=34,ibd_candidate_extra=95; pullback_v_is_dry=11; pullback_duration_weeks=9; pullback_pct=9; pullback_pct_off_peak=9,APEI;BTU;DOCN;EQIX;KR;MU;NFG;NYAX;SNDK;WLK,backtest/ibd_skill_replay_pools/2026-03-13/breakout_follow_pool.csv
2026-03-20,passed_except_eps,90,47,8,5,3,0,8,0,8,4,4,1669,62,114,,eps_yoy_growth_signal=8,-,ibd_entry_reject_reason_valid_or_non_signal=87; ibd_entry_breakout_range_ratio_invalid_or_non_signal=85; ibd_entry_close_position_invalid_or_non_signal=85; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=85; ibd_entry_date_invalid_or_non_signal=85; ibd_entry_price_invalid_or_non_signal=85; ibd_entry_rule_invalid_or_non_signal=85; ibd_entry_volume_ratio_invalid_or_non_signal=85; ...+12,industry=31; sector=31,ibd_candidate_extra=84; pullback_v_is_dry=9; pullback_duration_weeks=7; pullback_pct=7; pullback_pct_off_peak=7,BTU;CIEN;DOCN;LMND;MTZ;SEDG;STX;WDC,backtest/ibd_skill_replay_pools/2026-03-20/breakout_follow_pool.csv
2026-03-27,passed_except_eps,92,47,10,4,6,0,10,0,10,8,2,1692,62,128,,eps_yoy_growth_signal=10,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=88; ibd_entry_close_position_invalid_or_non_signal=88; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=88; ibd_entry_date_invalid_or_non_signal=88; ibd_entry_price_invalid_or_non_signal=88; ibd_entry_rule_invalid_or_non_signal=88; ibd_entry_volume_ratio_invalid_or_non_signal=88; ibd_trigger_price_invalid_or_non_signal=88; ...+12,industry=31; sector=31,ibd_candidate_extra=87; pullback_v_is_dry=11; pullback_duration_weeks=10; pullback_pct=10; pullback_pct_off_peak=10,BKR;CASY;DELL;EQIX;FCX;GEV;NEM;NFG;PFIS;TIGO,backtest/ibd_skill_replay_pools/2026-03-27/breakout_follow_pool.csv
2026-04-02,passed_except_eps,141,47,45,10,35,0,45,0,45,33,12,2210,80,234,,eps_yoy_growth_signal=45,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=131; ibd_entry_close_position_invalid_or_non_signal=131; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=131; ibd_entry_date_invalid_or_non_signal=131; ibd_entry_price_invalid_or_non_signal=131; ibd_entry_rule_invalid_or_non_signal=131; ibd_entry_volume_ratio_invalid_or_non_signal=131; ibd_trigger_price_invalid_or_non_signal=131; ...+12,industry=40; sector=40,ibd_candidate_extra=114; pullback_v_is_dry=36; pullback_duration_weeks=28; pullback_pct=28; pullback_pct_off_peak=28,AA;AD;ADC;AROW;BBT;BMY;BTSG;BVFL;CLST;D;ECO;ELA;EQIX;FBNC;FCX;FN;FRO;GEV;HG;HON;INSW;INVA;LITE;MRVL;MSGS;NVST;NVT;PAHC;PFG;PFIS;PL;ROST;RSI;SATS;SMTC;SSRM;STX;TCBI;TDW;TKO;TMP;UI;VIK;VVX;XPO,backtest/ibd_skill_replay_pools/2026-04-02/breakout_follow_pool.csv
2026-04-10,passed_except_eps,148,47,69,20,49,0,69,0,69,49,20,1992,78,250,,eps_yoy_growth_signal=69,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=128; ibd_entry_close_position_invalid_or_non_signal=128; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=128; ibd_entry_date_invalid_or_non_signal=128; ibd_entry_price_invalid_or_non_signal=128; ibd_entry_rule_invalid_or_non_signal=128; ibd_entry_volume_ratio_invalid_or_non_signal=128; ibd_trigger_price_invalid_or_non_signal=128; ...+12,industry=39; sector=39,ibd_candidate_extra=96; pullback_v_is_dry=40; pullback_duration_weeks=38; pullback_pct=38; pullback_pct_off_peak=38,AA;AAOI;ACLS;ADC;AEHR;AEIS;AMAT;AROW;ASML;AU;BBT;BVFL;BWFG;C;CAT;CMC;COHR;CTRI;D;DAN;DBD;EWBC;FBNC;FE;FN;FRAF;GEF;GEV;GLW;GNRC;GSK;HLIO;HLT;HON;HUT;INTC;INVA;IVT;KEYS;LSCC;MKSI;MRVL;MTB;MYE;NBIS;NHC;NVT;OPY;PAHC;PFG;PFIS;SMTC;SNDK;SPIR;SSRM;STX;TCBI;TER;TTMI;UI;VALE;VRT;VTR;WDC;WMT;WULF;WWD;XPO;ZION,backtest/ibd_skill_replay_pools/2026-04-10/breakout_follow_pool.csv
2026-04-17,passed_except_eps,254,47,96,26,70,0,96,0,96,75,21,3746,96,550,,eps_yoy_growth_signal=96,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=228; ibd_entry_close_position_invalid_or_non_signal=228; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=228; ibd_entry_date_invalid_or_non_signal=228; ibd_entry_price_invalid_or_non_signal=228; ibd_entry_rule_invalid_or_non_signal=228; ibd_entry_volume_ratio_invalid_or_non_signal=228; ibd_trigger_price_invalid_or_non_signal=228; ...+12,industry=48; sector=48,ibd_candidate_extra=182; pullback_v_is_dry=95; pullback_duration_weeks=91; pullback_pct=91; pullback_pct_off_peak=91,ACLX;AD;ADI;ALB;ALL;ALNT;AMAL;AMKR;AMLX;ANRO;APEI;ARMK;AROW;AXTI;BFH;BMY;BOKF;BTSG;BURL;CAC;CAMT;CASH;CASS;CATY;CMI;CNA;CPF;CRUS;CSWC;CSX;CVEO;DG;DLX;EBAY;ENLT;ESEA;ESP;EZPW;FBP;FCFS;FCX;FDX;FIGS;FLEX;FRO;GATX;GCT;GHM;GNRC;GRMN;GSAT;HUT;IBKR;INVA;IVT;JAZZ;JBHT;LGND;LIND;MAR;MKSI;MSGS;MSM;MU;NATL;NBIS;NYAX;OPLN;OR;OSIS;OVBC;OVLY;PL;RPRX;RRBI;RSI;SATS;SHEN;SILC;SLAB;SMTC;STT;SXI;TPR;TRVI;TXN;ULS;UTMD;UVE;VALE;VICR;VIK;WCC;WELL;WULF;XPO,backtest/ibd_skill_replay_pools/2026-04-17/breakout_follow_pool.csv
2026-04-24,passed_except_eps,380,47,80,50,30,0,80,0,80,58,22,6290,138,816,,eps_yoy_growth_signal=80,-,ibd_entry_reject_reason_valid_or_non_signal=350; ibd_entry_breakout_range_ratio_invalid_or_non_signal=330; ibd_entry_close_position_invalid_or_non_signal=330; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=330; ibd_entry_date_invalid_or_non_signal=330; ibd_entry_price_invalid_or_non_signal=330; ibd_entry_rule_invalid_or_non_signal=330; ibd_entry_volume_ratio_invalid_or_non_signal=330; ...+12,industry=69; sector=69,ibd_candidate_extra=336; pullback_v_is_dry=159; pullback_duration_weeks=107; pullback_pct=107; pullback_pct_off_peak=107,ALSN;AMPX;ANET;ARM;ASYS;AZZ;BATRA;BKR;CAMT;CHMG;COHU;CSV;CVGW;CVLG;DGII;DHIL;DOCN;ECO;ENTG;ERAS;ETN;EWBC;FAF;FPS;GL;GOOG;HCSG;HXL;IESC;INBX;KALU;LASR;LBRT;LPTH;LSBK;MCHP;MCRI;MSBI;NCSM;NEE;NHC;NPO;NSC;NUE;NVTS;NYAX;OBK;PAC;PFG;POET;PRA;PUMP;Q;R;REPX;RMBS;RNGR;RSI;SANM;SCI;SEDG;SEI;SLB;SRBK;STLD;STRL;TDW;TRT;TSM;TWST;TXN;UNP;UVE;VECO;VMI;VPG;VSH;WLAC;WSFS;WTTR,backtest/ibd_skill_replay_pools/2026-04-24/breakout_follow_pool.csv
2026-05-01,passed_except_eps,451,47,105,58,47,0,105,0,105,80,25,7354,152,823,,eps_yoy_growth_signal=105,-,ibd_entry_reject_reason_valid_or_non_signal=404; ibd_entry_breakout_range_ratio_invalid_or_non_signal=393; ibd_entry_close_position_invalid_or_non_signal=393; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=393; ibd_entry_date_invalid_or_non_signal=393; ibd_entry_price_invalid_or_non_signal=393; ibd_entry_rule_invalid_or_non_signal=393; ibd_entry_volume_ratio_invalid_or_non_signal=393; ...+12,industry=76; sector=76,ibd_candidate_extra=381; pullback_v_is_dry=142; pullback_duration_weeks=100; pullback_pct=100; pullback_pct_off_peak=100,AAPL;ACHC;AEE;AEP;AIT;AKR;ALL;ALRS;ANAB;AROW;ATLO;AXSM;BAND;BEN;BOH;BWFG;CARE;CATY;CBOE;CE;CHEF;CNC;CNOB;COCO;CTO;DINO;DTM;EBAY;ECG;ECO;ESEA;ESOA;ESP;ET;ETON;ETR;FANG;FDX;FRO;FVR;GNRC;GPRE;GTX;GVA;HAL;HR;INDV;INSW;IRM;JAZZ;JCI;KALV;KEN;KNSA;KO;KRG;KRP;LAMR;LNT;MDU;MO;MPC;MRAM;MSBI;MSGE;MSGS;MTX;MUSA;MYFW;NHC;NPKI;NVEC;NVGS;OSW;PCB;PFIS;PHVS;PR;RBB;REPX;REX;RGCO;ROKU;RS;SBSI;SHIP;SIF;SNDA;STNG;SUN;TEN;THR;TPC;TRMK;TVTX;TWLO;VCTR;VLO;VMI;VTR;WCC;WELL;WERN;WILC;XOMA,backtest/ibd_skill_replay_pools/2026-05-01/breakout_follow_pool.csv
2026-05-08,passed_except_eps,513,47,128,83,45,0,128,0,128,101,27,8143,152,948,,eps_yoy_growth_signal=128,-,ibd_entry_reject_reason_valid_or_non_signal=468; ibd_entry_breakout_range_ratio_invalid_or_non_signal=430; ibd_entry_close_position_invalid_or_non_signal=430; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=430; ibd_entry_date_invalid_or_non_signal=430; ibd_entry_price_invalid_or_non_signal=430; ibd_entry_rule_invalid_or_non_signal=430; ibd_entry_volume_ratio_invalid_or_non_signal=430; ...+12,industry=76; sector=76,ibd_candidate_extra=433; pullback_v_is_dry=146; pullback_duration_weeks=123; pullback_pct=123; pullback_pct_off_peak=123,AAON;AAPL;AD;AKAM;AKR;AMAT;AMN;APLD;ASML;ASRT;ASYS;AXTI;BELFA;BKSY;BLBD;BTSG;BVFL;CALY;CCSI;CECO;CELC;CGNX;CHEF;CNO;COCO;CON;CORZ;CPF;CTS;CYTK;CZWI;DCOM;DVA;EBAY;EGP;ESCA;ESEA;FEIM;FFIV;FISI;FRAF;FRO;FSEA;FSTR;FTNT;GLW;GTX;GWW;HCSG;HFBL;HR;HST;HWBK;HXL;HZO;IBKR;IRM;JAZZ;JLHL;KNSA;KRYS;LIFE;LINC;LIND;LIVN;LRCX;MANU;MATX;MCFT;MCRI;MDV;MEC;MITK;MKSI;MLI;MNST;MOD;MPTI;MRNA;MRX;MXL;NBIS;NHC;NMM;NPO;NVDA;NVEC;NWPX;OCS;ODC;OPLN;ORN;OSBC;OSS;PBT;PCB;PDFS;PEBK;PFIS;PL;PRA;QUIK;RBC;RFIL;RIOT;RKLB;ROAD;ROK;RPRX;SMBC;SMTC;SNDA;SNEX;SSRM;SYRE;TKR;TRS;TSAT;TSN;TWLO;UFCS;ULS;VTRS;VVX;WFCF;WLFC;WSR;WT,backtest/ibd_skill_replay_pools/2026-05-08/breakout_follow_pool.csv
2026-05-15,passed_except_eps,515,47,66,39,27,0,66,0,66,46,20,9235,158,823,,eps_yoy_growth_signal=66,-,ibd_entry_reject_reason_valid_or_non_signal=488; ibd_entry_breakout_range_ratio_invalid_or_non_signal=476; ibd_entry_close_position_invalid_or_non_signal=476; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=476; ibd_entry_date_invalid_or_non_signal=476; ibd_entry_price_invalid_or_non_signal=476; ibd_entry_rule_invalid_or_non_signal=476; ibd_entry_volume_ratio_invalid_or_non_signal=476; ...+12,industry=79; sector=79,ibd_candidate_extra=463; pullback_v_is_dry=132; pullback_duration_weeks=76; pullback_pct=76; pullback_pct_off_peak=76,AIZ;AKAM;ALKS;ALL;ARMK;BUUU;BW;CAEP;CAPL;COHR;CON;CVEO;CVLG;CVS;DCO;DVA;DY;ELMD;ETON;FCX;FTNT;GL;HG;HLIO;JBHT;KNX;KRYS;LITE;LQDA;MO;MPC;MSGS;NGS;NPO;NXT;ORA;PAA;PL;PLGO;PM;PNRG;POET;PRM;PUMP;RKLB;SATS;SDRL;SEDG;STRZ;SUN;TFSL;TH;TRGP;TRT;TSEM;UNP;USAC;UTI;VAL;VIK;VIRT;VLGEA;WBI;WCC;WES;WMB,backtest/ibd_skill_replay_pools/2026-05-15/breakout_follow_pool.csv
2026-05-22,passed_except_eps,554,47,87,29,58,0,87,0,87,74,13,9833,162,886,,eps_yoy_growth_signal=87,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=525; ibd_entry_close_position_invalid_or_non_signal=525; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=525; ibd_entry_date_invalid_or_non_signal=525; ibd_entry_price_invalid_or_non_signal=525; ibd_entry_rule_invalid_or_non_signal=525; ibd_entry_volume_ratio_invalid_or_non_signal=525; ibd_trigger_price_invalid_or_non_signal=525; ...+12,industry=81; sector=81,ibd_candidate_extra=505; pullback_v_is_dry=114; pullback_duration_weeks=89; pullback_pct=89; pullback_pct_off_peak=89,ACMR;ACNB;AKR;ALAB;ALGM;ALRS;ARCB;ARM;ATRO;BE;BK;BKR;BKSY;BNL;BNY;BSRR;BURL;CEVA;CLBK;CMP;CMPR;CPBI;CRDO;CTBI;CTS;CYD;DAL;DCOM;ELMD;ENPH;FDX;FEIM;FISI;FRO;FSBC;GL;GS;HLT;IVT;KLAC;KRG;KRP;LIN;LIVN;LPG;LPTH;LQDA;LXFR;MANU;MCY;MOV;NMM;NOV;NTAP;NXPI;OBK;OSS;OUST;OVBC;PCB;PDLB;PFG;PFIS;PKBK;PLPC;PSMT;QCOM;R;RBCAA;ROIV;ROST;RXO;SBRA;SIRI;SKYT;SLB;SNDR;STBA;TFSL;TIGO;TMP;TRS;UNM;VOYG;VRSN;WBI;XHR,backtest/ibd_skill_replay_pools/2026-05-22/breakout_follow_pool.csv
2026-05-29,passed_except_eps,570,47,112,63,49,0,112,0,112,88,24,9615,166,911,,eps_yoy_growth_signal=112,-,ibd_entry_reject_reason_valid_or_non_signal=521; ibd_entry_breakout_range_ratio_invalid_or_non_signal=507; ibd_entry_close_position_invalid_or_non_signal=507; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=507; ibd_entry_date_invalid_or_non_signal=507; ibd_entry_price_invalid_or_non_signal=507; ibd_entry_rule_invalid_or_non_signal=507; ibd_entry_volume_ratio_invalid_or_non_signal=507; ...+12,industry=83; sector=83,ibd_candidate_extra=486; pullback_v_is_dry=131; pullback_duration_weeks=98; pullback_pct=98; pullback_pct_off_peak=98,AA;ALGM;ALM;ALNT;AMAT;ARCB;ARM;ASTC;ATI;ATLC;AVGO;BFH;BJRI;BUSE;BUUU;BWA;CATY;CBL;CC;CENX;CLFD;CNOB;COHU;CRDO;CSTM;CTS;CURB;DAL;DCOM;DIOD;DY;ELA;ENLT;FDX;FEIM;FISI;FLEX;FUSB;GH;GHM;H;HLIO;HLT;ILMN;INGM;ITRN;JBHT;KLAC;KRG;LEA;LIND;LLY;LRCX;LSCC;LSTR;MAR;MEC;MITK;MKSI;MNST;MOD;MOG-A;MOV;MPTI;MRCY;MSCI;MSGE;NBIX;NTB;NVEC;NVRI;NWPX;NXT;NYAX;PDFS;PDLB;PFIS;PKOH;PL;PRAX;RHP;ROKU;RS;RVMD;SANM;SBLK;SEDG;SHBI;SHEN;SILA;SNDK;SNX;SPIR;SXI;THFF;TKR;TMP;TVTX;TWST;UBCP;UE;UMAC;VELO;VICR;VIK;VLGEA;VVX;WDC;WEYS;WLKP;WULF;XHR,backtest/ibd_skill_replay_pools/2026-05-29/breakout_follow_pool.csv
