variant,snapshot_date,code,pick_order,entry_date,entry_fill_price,shares,position_cost,stop_price,profit_target,power_trigger_date,minimum_hold_until,exit_date,exit_fill_price,exit_reason,censored,mtm_price,return_pct,holding_days,high_water_pct,entry_fee,exit_fee,net_pnl,capacity,cost_bps_per_side
R2_BALANCED_SOFT,2025-10-31,VTR,2,2025-11-03,71.73,464.24136763,33300.0333,65.9916,88.9452,,,2026-05-13,88.9452,profit_target,False,88.9452,24.0,191,25.372926,33.300033,41.292041,7917.415917,3,10
R2_BALANCED_SOFT,2025-10-10,ALM,3,2025-10-13,8.2,4054.90339193,33250.207814,7.544,10.168,2025-10-14,2025-11-28,2025-10-17,7.544,stop_loss,False,7.544,-8.0,4,30.243902,83.12552,76.475478,-2819.617623,3,25
R2_BALANCED_SOFT,2025-10-24,AAPL,2,2025-10-27,263.91,125.99070825,33250.207814,242.7972,327.2484,,,2026-01-20,242.7972,stop_loss,False,242.7972,-8.0,85,9.067485,83.12552,76.475478,-2819.617623,3,25
R2_BALANCED_SOFT,2025-10-31,VTR,2,2025-11-03,71.73,463.54674214,33250.207814,65.9916,88.9452,,,2026-05-13,88.9452,profit_target,False,88.9452,24.0,191,25.372926,83.12552,103.075644,7793.848712,3,25
R2_BALANCED_SOFT,2025-10-10,ALM,3,2025-10-13,8.2,2032.5203252,16666.666667,7.544,10.168,2025-10-14,2025-11-28,2025-10-17,7.544,stop_loss,False,7.544,-8.0,4,30.243902,0.0,0.0,-1333.333333,6,0
R2_BALANCED_SOFT,2025-10-24,AAPL,2,2025-10-27,263.91,63.15284251,16666.666667,242.7972,327.2484,,,2026-01-20,242.7972,stop_loss,False,242.7972,-8.0,85,9.067485,0.0,0.0,-1333.333333,6,0
R2_BALANCED_SOFT,2025-10-31,VTR,2,2025-11-03,71.73,232.3528045,16666.666667,65.9916,88.9452,,,2026-05-13,88.9452,profit_target,False,88.9452,24.0,191,25.372926,0.0,0.0,4000.0,6,0
R2_BALANCED_SOFT,2025-10-31,AMZN,3,2025-11-03,255.36,65.267335,16666.666667,234.9312,316.6464,,,2025-11-14,234.9312,stop_loss,False,234.9312,-8.0,11,1.268797,0.0,0.0,-1333.333333,6,0
R2_BALANCED_SOFT,2025-11-07,EXPE,2,2025-11-10,260.74,63.92063614,16666.666667,239.8808,323.3176,,,2025-11-18,239.8808,stop_loss,False,239.8808,-8.0,8,6.600445,0.0,0.0,-1333.333333,6,0
R2_BALANCED_SOFT,2025-11-14,ALL,1,2025-11-17,211.99,78.62006069,16666.666667,195.0308,262.8676,,,2026-01-13,195.0308,stop_loss,False,195.0308,-8.0,57,0.382093,0.0,0.0,-1333.333333,6,0
R2_BALANCED_SOFT,2025-10-10,ALM,3,2025-10-13,8.2,2030.48983537,16650.01665,7.544,10.168,2025-10-14,2025-11-28,2025-10-17,7.544,stop_loss,False,7.544,-8.0,4,30.243902,16.650017,15.318015,-1363.969364,6,10
R2_BALANCED_SOFT,2025-10-24,AAPL,2,2025-10-27,263.91,63.08975276,16650.01665,242.7972,327.2484,,,2026-01-20,242.7972,stop_loss,False,242.7972,-8.0,85,9.067485,16.650017,15.318015,-1363.969364,6,10
R2_BALANCED_SOFT,2025-10-31,VTR,2,2025-11-03,71.73,232.12068381,16650.01665,65.9916,88.9452,,,2026-05-13,88.9452,profit_target,False,88.9452,24.0,191,25.372926,16.650017,20.646021,3958.707959,6,10
R2_BALANCED_SOFT,2025-10-31,AMZN,3,2025-11-03,255.36,65.20213287,16650.01665,234.9312,316.6464,,,2025-11-14,234.9312,stop_loss,False,234.9312,-8.0,11,1.268797,16.650017,15.318015,-1363.969364,6,10
R2_BALANCED_SOFT,2025-11-07,EXPE,2,2025-11-10,260.74,63.85677936,16650.01665,239.8808,323.3176,,,2025-11-18,239.8808,stop_loss,False,239.8808,-8.0,8,6.600445,16.650017,15.318015,-1363.969364,6,10
R2_BALANCED_SOFT,2025-11-14,ALL,1,2025-11-17,211.99,78.54151918,16650.01665,195.0308,262.8676,,,2026-01-13,195.0308,stop_loss,False,195.0308,-8.0,57,0.382093,16.650017,15.318015,-1363.969364,6,10
R2_BALANCED_SOFT,2025-10-10,ALM,3,2025-10-13,8.2,2027.45169596,16625.103907,7.544,10.168,2025-10-14,2025-11-28,2025-10-17,7.544,stop_loss,False,7.544,-8.0,4,30.243902,41.56276,38.237739,-1409.808811,6,25
R2_BALANCED_SOFT,2025-10-24,AAPL,2,2025-10-27,263.91,62.99535412,16625.103907,242.7972,327.2484,,,2026-01-20,242.7972,stop_loss,False,242.7972,-8.0,85,9.067485,41.56276,38.237739,-1409.808811,6,25
R2_BALANCED_SOFT,2025-10-31,VTR,2,2025-11-03,71.73,231.77337107,16625.103907,65.9916,88.9452,,,2026-05-13,88.9452,profit_target,False,88.9452,24.0,191,25.372926,41.56276,51.537822,3896.924356,6,25
R2_BALANCED_SOFT,2025-10-31,AMZN,3,2025-11-03,255.36,65.10457357,16625.103907,234.9312,316.6464,,,2025-11-14,234.9312,stop_loss,False,234.9312,-8.0,11,1.268797,41.56276,38.237739,-1409.808811,6,25
R2_BALANCED_SOFT,2025-11-07,EXPE,2,2025-11-10,260.74,63.76123306,16625.103907,239.8808,323.3176,,,2025-11-18,239.8808,stop_loss,False,239.8808,-8.0,8,6.600445,41.56276,38.237739,-1409.808811,6,25
R2_BALANCED_SOFT,2025-11-14,ALL,1,2025-11-17,211.99,78.42400069,16625.103907,195.0308,262.8676,,,2026-01-13,195.0308,stop_loss,False,195.0308,-8.0,57,0.382093,41.56276,38.237739,-1409.808811,6,25
