model,segment,horizon,weeks,median_spread_pct,mean_spread_pct,beat_b0_pct,stop_delta_pct
f1_ridge_w1,train_oof,W3,8,-1.0005500000000005,-5.778720833333334,0.0,20.833333333333332
f1_ridge_w1,train_oof,W4,8,-1.5592333333333341,-7.674358333333334,12.5,16.666666666666664
f1_ridge_w2,contaminated_validation,W1,11,-0.15840000000000004,-0.24731212121212146,36.36363636363637,6.06060606060606
f1_ridge_w2,contaminated_validation,W2,11,-1.4455000000000005,-1.7548454545454546,45.45454545454545,6.06060606060606
f1_ridge_w2,contaminated_validation,W3,10,-0.8658000000000001,-2.069486666666667,30.0,10.0
f1_ridge_w2,contaminated_validation,W4,9,-2.8759000000000015,-2.779485185185185,22.22222222222222,18.51851851851852
f1_ridge_w2,train_oof,W1,8,0.0,-1.9682624999999998,37.5,12.5
f1_ridge_w2,train_oof,W2,8,-0.7026833333333333,-3.5798958333333335,25.0,16.666666666666664
f1_ridge_w2,train_oof,W3,8,-0.6490166666666668,-4.532829166666668,12.5,20.833333333333332
f1_ridge_w2,train_oof,W4,8,-1.0710833333333336,-4.5546625,25.0,16.666666666666664
f1_ridge_w4,contaminated_validation,W1,11,1.2703999999999995,0.001324242424242339,63.63636363636363,3.03030303030303
f1_ridge_w4,contaminated_validation,W2,11,0.03393333333333337,0.05816666666666662,54.54545454545454,6.06060606060606
f1_ridge_w4,contaminated_validation,W3,10,0.6227666666666666,0.9161866666666663,50.0,10.0
f1_ridge_w4,contaminated_validation,W4,9,-2.871666666666668,-1.2999962962962963,22.22222222222222,14.814814814814817
f1_ridge_w4,train_oof,W1,8,-3.313850000000001,-3.883566666666667,12.5,20.833333333333332
f1_ridge_w4,train_oof,W2,8,-3.048583333333333,-4.952029166666667,25.0,25.0
f1_ridge_w4,train_oof,W3,8,-4.6824666666666666,-6.7539625,0.0,29.166666666666664
f1_ridge_w4,train_oof,W4,8,-3.092816666666667,-5.8416041666666665,12.5,24.999999999999996
