segment,factor,horizon,weeks_ic,mean_ic,median_ic,ic_positive_pct,weeks_quintile,mean_q5_minus_q1_pct,median_q5_minus_q1_pct
contaminated_validation,volume_ratio,W1,11,0.14141005109211344,0.15454545454545454,72.72727272727273,10,2.4857630357142853,1.8256437499999998
contaminated_validation,ibd_entry_close_position,W1,11,-0.05560810563839089,-0.09999999999999999,36.36363636363637,10,-1.3037154523809522,-2.0080937499999996
contaminated_validation,ibd_entry_breakout_range_ratio,W1,11,-0.017970731929604956,-0.0032499146423197057,45.45454545454545,10,0.08152049404761912,0.7235630952380956
contaminated_validation,ibd_entry_close_vs_trigger_pct,W1,11,-0.10057729986176574,-0.02496782496782497,45.45454545454545,10,-0.39534181547619046,0.6223741071428572
contaminated_validation,dist_to_52w_high_pct,W1,11,-0.1534557446108111,-0.15322060601361395,27.27272727272727,10,-2.403234119047619,-2.554709166666667
contaminated_validation,eps_yoy_growth,W1,11,-0.017749048804666503,-0.009138297206644181,45.45454545454545,10,-0.444952988095238,0.12452916666666669
contaminated_validation,base_depth_pct,W1,11,-0.005078259921209831,0.03621900871504239,54.54545454545454,10,-0.4931113988095238,-0.4894618750000001
contaminated_validation,base_duration_weeks,W1,11,-0.05493878928609051,-0.02758268158598333,36.36363636363637,10,1.0677759583333333,1.0986767857142858
contaminated_validation,base_mbox_count,W1,11,-0.0264371437058344,-0.0020900284740887594,45.45454545454545,10,0.4897279880952382,0.4164011904761906
contaminated_validation,pullback_pct,W1,9,0.0670618274404181,-0.05454545454545456,44.44444444444444,8,0.03690833333333332,-0.17558333333333354
contaminated_validation,pullback_duration_weeks,W1,9,-0.022805824590983865,-0.07694837640638656,44.44444444444444,6,-2.1175722222222224,-2.2678
contaminated_validation,C_continuous,W1,11,-0.008136935057547291,-0.07252747252747253,45.45454545454545,10,-1.1008535357142857,0.20413500000000007
contaminated_validation,pullback_v_is_dry,W1,8,0.15385404146956044,0.18375342643909645,75.0,0,,
contaminated_validation,trigger_pos,W1,11,-0.04080134206086261,0.023376623376623374,54.54545454545454,10,-0.39075651190476224,-0.05774553571428559
contaminated_validation,eps_known,W1,0,,,,0,,
contaminated_validation,rule_ceiling,W1,9,0.10728064259244435,0.10545270177151371,88.88888888888889,0,,
contaminated_validation,rule_pivot,W1,11,-0.19040457212401635,-0.21432896865909662,18.181818181818183,0,,
contaminated_validation,rule_ma10_touch_confirm,W1,11,0.05484367397408038,0.014366570530687184,54.54545454545454,0,,
contaminated_validation,rule_ceiling_pullback,W1,6,0.18976417155811065,0.23280766939789857,83.33333333333334,0,,
contaminated_validation,rule_three_weeks_tight,W1,3,0.021298934946263337,0.028005601680560196,66.66666666666666,0,,
contaminated_validation,current_vs_ibd_candidate_pct,W2,11,-0.056503224148805174,-0.014720710119830975,45.45454545454545,10,-0.3716195238095237,-0.0912345238095239
contaminated_validation,ibd_entry_volume_ratio,W2,11,0.06576889224672222,0.07379032258064516,81.81818181818183,10,2.2060127440476194,2.9777199999999997
contaminated_validation,volume_ratio,W2,11,0.024560790918122487,0.022580645161290325,81.81818181818183,10,2.8236429226190474,2.2089848214285714
contaminated_validation,ibd_entry_close_position,W2,11,-0.0320202539729249,-0.11208791208791209,36.36363636363637,10,-2.7292084999999995,-2.736452083333333
contaminated_validation,ibd_entry_breakout_range_ratio,W2,11,0.03550941779227746,0.025974025974025972,54.54545454545454,10,2.0346599107142858,2.448119345238095
contaminated_validation,ibd_entry_close_vs_trigger_pct,W2,11,0.0202220095874858,0.05324675324675325,54.54545454545454,10,1.3128108869047619,1.4414993750000002
contaminated_validation,dist_to_52w_high_pct,W2,11,-0.2462468162499978,-0.25405405405405407,9.090909090909092,10,-4.955557642857142,-3.72004125
contaminated_validation,eps_yoy_growth,W2,11,0.008128393782932675,0.035008687890242494,63.63636363636363,10,-1.199253744047619,-1.2733952380952385
contaminated_validation,base_depth_pct,W2,11,-0.07679075524315315,-0.049999999999999996,27.27272727272727,10,-1.0292675654761907,-1.0233500000000002
contaminated_validation,base_duration_weeks,W2,11,0.042405725389059463,0.009297525622357646,54.54545454545454,10,1.5065954583333336,0.3629499999999999
contaminated_validation,base_mbox_count,W2,11,0.047529678305739995,0.036654613353382784,54.54545454545454,10,0.5493778095238098,1.53414125
contaminated_validation,pullback_pct,W2,9,0.040314621456322065,0.06363636363636364,55.55555555555556,8,-0.9177845833333327,2.8263000000000007
contaminated_validation,pullback_duration_weeks,W2,9,-0.03980699992980303,-0.008549819600709618,44.44444444444444,6,-2.502883888888889,-0.7869433333333336
contaminated_validation,C_continuous,W2,11,0.05297088132492172,0.014517592573022205,54.54545454545454,10,-0.5094388511904757,-1.4508874999999992
contaminated_validation,pullback_v_is_dry,W2,8,0.03918792859670189,0.06338656910463875,50.0,0,,
contaminated_validation,trigger_pos,W2,11,-0.0713513749721915,-0.1455108359133127,36.36363636363637,10,-3.9565196845238098,-2.5375529761904767
contaminated_validation,eps_known,W2,0,,,,0,,
contaminated_validation,rule_ceiling,W2,9,0.13445337803762816,0.08367596467078565,88.88888888888889,0,,
contaminated_validation,rule_pivot,W2,11,-0.15543337530016682,-0.06464956738809233,27.27272727272727,0,,
contaminated_validation,rule_ma10_touch_confirm,W2,11,0.04007410719019678,-0.0019256435470857388,45.45454545454545,0,,
contaminated_validation,rule_ceiling_pullback,W2,6,0.10318504202610318,0.1367948637296345,66.66666666666666,0,,
contaminated_validation,rule_three_weeks_tight,W2,3,-0.08687978430929229,-0.028005601680560196,33.33333333333333,0,,
contaminated_validation,current_vs_ibd_candidate_pct,W4,9,-0.0768542319848774,-0.03206291656237158,44.44444444444444,8,-2.047281547619048,-1.9869366071428574
contaminated_validation,ibd_entry_volume_ratio,W4,9,0.06684080498823865,0.059340659340659345,55.55555555555556,8,3.7487241443452386,2.9713714285714294
contaminated_validation,volume_ratio,W4,9,0.18722136568894643,0.1252747252747253,77.77777777777779,8,4.584006101190477,2.385532142857144
contaminated_validation,ibd_entry_close_position,W4,9,-0.17389668172374212,-0.10080834524409384,22.22222222222222,8,-5.852406324404763,-3.3930970238095237
contaminated_validation,ibd_entry_breakout_range_ratio,W4,9,0.06140216940967106,0.07419354838709677,66.66666666666666,8,5.742674479166666,2.327567857142857
contaminated_validation,ibd_entry_close_vs_trigger_pct,W4,9,-0.039964023064315464,0.007574703777235423,55.55555555555556,8,3.8671553199404753,1.980965624999999
contaminated_validation,dist_to_52w_high_pct,W4,9,-0.10670872065286265,-0.0766206274687283,44.44444444444444,8,-7.531179017857144,-6.459551190476192
contaminated_validation,eps_yoy_growth,W4,9,-0.05912901214196125,-0.16048387096774194,33.33333333333333,8,-3.3589988839285723,-2.9432226190476194
contaminated_validation,base_depth_pct,W4,9,0.19966466841123237,0.16165776466964918,66.66666666666666,8,0.27295301339285727,0.6592227678571432
contaminated_validation,base_duration_weeks,W4,9,-0.16707657829455835,0.0030019420296829536,55.55555555555556,8,-2.251147544642857,0.8392651785714291
contaminated_validation,base_mbox_count,W4,9,-0.14160048765403968,0.016771234470501856,55.55555555555556,8,-0.9964757812500006,-1.4047178571428574
contaminated_validation,pullback_pct,W4,7,0.07097914744765547,0.16027714458056436,57.14285714285714,6,-5.836709999999999,-2.002005
contaminated_validation,pullback_duration_weeks,W4,7,0.05531463320412394,0.11969747440993465,57.14285714285714,4,-2.316530833333333,-1.5500933333333333
contaminated_validation,C_continuous,W4,9,-0.19457508610320995,-0.17853457172342618,22.22222222222222,8,-1.7941552455357144,-2.497582440476191
contaminated_validation,pullback_v_is_dry,W4,6,0.10753373366163906,0.1479915711002201,66.66666666666666,0,,
contaminated_validation,trigger_pos,W4,9,-0.14173618400416285,-0.15766129032258067,11.11111111111111,8,-7.7945793154761915,-1.9818172619047627
contaminated_validation,eps_known,W4,0,,,,0,,
contaminated_validation,rule_ceiling,W4,7,0.15828280362279631,0.1608300982325321,85.71428571428571,0,,
contaminated_validation,rule_pivot,W4,9,-0.16903134894554486,-0.1085562308792827,11.11111111111111,0,,
contaminated_validation,rule_ma10_touch_confirm,W4,9,0.04903058383079764,0.06454972243679029,55.55555555555556,0,,
contaminated_validation,rule_ceiling_pullback,W4,5,0.06029310631210526,0.03872372420083729,60.0,0,,
contaminated_validation,rule_three_weeks_tight,W4,3,-0.047208207310454775,-0.011597947774365458,33.33333333333333,0,,
contaminated_validation,current_vs_ibd_candidate_pct,W3,10,-0.017905131319583618,-0.007745868794877809,50.0,9,-0.3050133664021169,-1.7442660714285716
contaminated_validation,ibd_entry_volume_ratio,W3,10,0.0312228429303368,0.04512350394703336,50.0,9,2.263067539682539,2.439874999999999
contaminated_validation,volume_ratio,W3,10,0.07094029178691902,0.10773661822048919,80.0,9,3.1346920568783068,1.4521666666666668
