policy,panel,quarter,horizon,role,snapshot_date,rule_available,n,flagged_n,retained_n,known_n,unknown_n,coverage,known_coverage,baseline_gross,baseline_net,veto_cash_net,random_cash_net,cash_delta,cash_delta_gross,incremental_vs_random,avoided_gross_loss,foregone_gross_gain,saved_cost,flagged_mean,retained_mean,known_retained_mean,known_matched_return_spread,stop_lift,matched,stop_capture,winner_loss,break_even_cost_bps
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-26,True,72,12,60,42,30,0.16666666666666666,0.5833333333333334,0.0447992778490697,0.0427992778490697,0.028014224251510948,0.03566606487422475,-0.014785053597558752,-0.015118386930892076,-0.007651840622713804,0.00436639259632458,0.019484779527216656,0.0003333333333333333,0.09071032158535246,0.03561706910181314,0.04246598142733694,-0.04824434015801552,-0.016666666666666677,1,0.1,0.6666666666666666,907.1032158535246
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-03,True,62,12,50,35,27,0.1935483870967742,0.5645161290322581,0.04030812774036911,0.038308127740369104,0.029357815313698753,0.03089365140352347,-0.00895031242667035,-0.009337409200863914,-0.0015358360898247159,0.00031405859635164193,0.009651467797215556,0.0003870967741935484,0.04824328087113022,0.03840369098898645,0.03303277113940372,-0.015210509731726503,-0.09057971014492754,1,0.08333333333333333,0.6666666666666666,482.43280871130224
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-10,True,102,17,85,54,48,0.16666666666666666,0.5294117647058824,0.014455424662682593,0.01245542466268259,0.005710274759894214,0.010379520552235493,-0.006745149902788377,-0.007078483236121711,-0.004669245792341279,0.0024389813409902883,0.009517464577111999,0.0003333333333333333,0.04247089941673027,0.008852329711873058,0.018686794693630535,-0.023784104723099733,0.18124006359300476,1,0.23529411764705882,0.6666666666666666,424.7089941673027
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-17,True,73,12,61,37,36,0.1643835616438356,0.5068493150684932,-0.008633235796637155,-0.010633235796637157,-0.010082717252880026,-0.008885306624587213,0.0005505185437571312,0.00022175142046945896,-0.001197410628292813,0.009066960828999335,0.008845209408529875,0.00032876712328767124,-0.0013489878078558754,-0.010066202614102328,-0.011308092585015798,-0.009959104777159923,0.2566666666666667,1,0.2631578947368421,1.0,-13.489878078558753
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-24,True,46,12,34,24,22,0.2608695652173913,0.5217391304347826,-0.004485113038411856,-0.006485113038411859,-0.0018318070151602112,-0.0047933444196957215,0.004653306023251647,0.004131566892816863,0.0029615374045355103,0.010743302066405122,0.006611735173588259,0.0005217391304347826,-0.015837673089131307,-0.0004783271381579336,-0.00040121042774519944,0.015436462661386107,0.08333333333333337,1,0.3333333333333333,0.0,-158.37673089131306
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-31,True,39,4,35,22,17,0.10256410256410256,0.5641025641025641,-0.04682481939938459,-0.04882481939938459,-0.04219243542624077,-0.043817145614832326,0.006632383973143821,0.006427255768015619,0.0016247101885915535,0.00790185729845967,0.0014746015304440512,0.00020512820512820512,-0.06266574373815229,-0.04501442804638257,-0.043410626105129774,0.01925511763302251,0.16666666666666669,1,0.11764705882352941,,-626.6574373815229
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-07,True,21,1,20,13,8,0.047619047619047616,0.6190476190476191,-0.01600329581979811,-0.01800329581979811,-0.011466831496794663,-0.01714599601885534,0.006536464323003447,0.006441226227765358,0.005679164522060678,0.006441226227765358,0.0,9.523809523809524e-05,-0.1352657507830725,-0.010040173071634394,0.019052050677728576,0.1543178014608011,0.9166666666666666,1,0.16666666666666666,0.0,-1352.657507830725
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-14,True,29,3,26,15,14,0.10344827586206896,0.5172413793103449,0.02030308695208952,0.018303086952089518,0.02219003105987809,0.016409664163942326,0.003886944107788573,0.003680047556064438,0.005780366895935765,0.005826785484557607,0.0021467379284931688,0.00020689655172413793,-0.035573793041956236,0.026750419259094792,-0.004197028546569017,0.03137676449538722,0.5,1,0.3333333333333333,0.0,-355.73793041956236
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-21,True,40,4,36,18,22,0.1,0.45,0.02017318557717352,0.01817318557717352,0.016732514336029992,0.01635586701945617,-0.0014406712411435263,-0.001640671241143525,0.0003766473165738235,0.0015488306510688225,0.0031895018922123474,0.0002,0.01640671241143525,0.02059168259558888,0.015352476064329601,-0.0010542363471056498,-0.21428571428571427,1,0.0,0.0,164.0671241143525
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-28,True,44,6,38,18,26,0.13636363636363635,0.4090909090909091,0.04925762637060995,0.047257626370609956,0.04321173593609231,0.04081340459279951,-0.0040458904345176475,-0.004318617707244925,0.0023983313432928005,0.0021841806218441343,0.0065027983290890596,0.00027272727272727274,0.03166986318646278,0.05203464161021215,0.048363080845310075,0.016693217658847292,0.3333333333333333,1,0.5,0.0,316.6986318646278
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-05,True,37,4,33,18,19,0.10810810810810811,0.4864864864864865,-0.043273890013289046,-0.04527389001328905,-0.03636905050999617,-0.0403794154172578,0.008904839503292877,0.008688623287076666,0.004010364907261629,0.008771974980419829,8.335169334316216e-05,0.00021621621621621624,-0.08036976540545916,-0.03877742026878357,-0.0870561929849313,-0.006686427579472132,-0.0357142857142857,1,0.16666666666666666,,-803.6976540545916
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-12,True,5,0,5,1,4,0.0,0.2,0.04883817843751426,0.046838178437514255,0.046838178437514255,0.046838178437514255,0.0,-0.0,0.0,-0.0,0.0,0.0,,0.04883817843751426,0.0231596136838143,,,0,0.0,,
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-19,True,9,1,8,3,6,0.1111111111111111,0.3333333333333333,0.05789742239659806,0.055897422396598055,0.027086684919292833,0.04968659768586493,-0.028810737477305223,-0.029032959699527443,-0.0225999127665721,-0.0,0.029032959699527443,0.0002222222222222222,0.261296637295747,0.032472520534204435,0.08076884078032151,-0.18052779651542547,0.0,1,0.0,1.0,2612.96637295747
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-04-26,True,72,12,60,42,30,0.16666666666666666,0.5833333333333334,0.05420956368840104,0.05220956368840104,0.03784935672419141,0.0435079697403342,-0.01436020696420963,-0.014693540297542952,-0.005658613016142788,0.004260784087295062,0.01895432438483802,0.0003333333333333333,0.08816124178525771,0.04741922806902969,0.053031931231637866,-0.03512931055361984,-0.016666666666666677,1,0.1,0.6666666666666666,881.6124178525771
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-03,True,62,12,50,35,27,0.1935483870967742,0.5645161290322581,0.06385673886474448,0.06185673886474449,0.040134775034247845,0.04988446682640685,-0.021721963830496648,-0.022109060604690197,-0.009749691792159003,0.0011868883285775776,0.023295948933267776,0.0003870967741935484,0.11423014645756602,0.05176712104246732,0.03962671684087277,-0.07460342961669325,-0.09057971014492754,1,0.08333333333333333,0.6666666666666666,1142.3014645756602
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-10,True,102,17,85,54,48,0.16666666666666666,0.5294117647058824,0.0012715384683190183,-0.0007284615316809819,-0.005104555235159842,-0.0006070512764008183,-0.00437609370347886,-0.004709427036812194,-0.004497503958759024,0.0050337809367428975,0.009743207973555093,0.0003333333333333333,0.028256562220873166,-0.004125466282191811,0.004303298542223848,-0.02395326367864932,0.18124006359300476,1,0.23529411764705882,0.6666666666666666,282.56562220873167
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,2024-05-17,True,73,12,61,37,36,0.1643835616438356,0.5068493150684932,-0.003642996845703097,-0.005642996845703098,-0.00956458478085279,-0.004715380925861492,-0.003921587935149692,-0.004250355058437365,-0.004849203854991297,0.0096338730670995,0.013884228125536868,0.00032876712328767124,0.025856326605493973,-0.009446142442659896,-0.017889721320214883,-0.04374604792570885,0.2566666666666667,1,0.2631578947368421,1.0,258.56326605493973
