policy,panel,quarter,horizon,role,group,n,unique_tickers,mean,median,p10,p90,positive_return_rate,ambiguous_3w_n,stop_first_3w_n,fast_winner_3w_n,unresolved_3w_n,mae_3w_median,mfe_3w_median,mae_4w_median,mfe_4w_median
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,retained,491,270,0.01732241744716874,0.0123691828363308,-0.0714601130542327,0.1099700251930568,0.5824847250509165,1,106,16,368,-0.0389261703728328,0.0485276826008884,-0.0453315350743417,0.0543875644122449
deep_pullback,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,unknown_feature,279,178,0.022271842570626747,0.0122106514646274,-0.07615362824947612,0.12870104812849867,0.5770609318996416,1,66,11,201,-0.0427499215939252,0.0489259467259188,-0.0500000033580082,0.0528681892082405
deep_pullback,all_entries,2024Q2,w4,PRIMARY,baseline,579,313,0.018790335637321125,0.0112582829138576,-0.10093892010794756,0.1448976684681162,0.5544041450777202,1,132,31,415,-0.0400111316635625,0.051556991774383,-0.047002880373409,0.0589602409152809
deep_pullback,all_entries,2024Q2,w4,PRIMARY,flagged,88,61,0.048010736545077634,0.06183297315688005,-0.14461473341419054,0.22711505608636412,0.6136363636363636,0,26,15,47,-0.0494675962429768,0.08911726495743674,-0.052825740334230445,0.10616447046170224
deep_pullback,all_entries,2024Q2,w4,PRIMARY,retained,491,270,0.013553278040818939,0.0085515393353332,-0.0930921635302245,0.1265619252151726,0.5437881873727087,1,106,16,368,-0.0389261703728328,0.0485276826008884,-0.0453315350743417,0.0543875644122449
deep_pullback,all_entries,2024Q2,w4,PRIMARY,unknown_feature,279,178,0.015117214065471982,0.0037233954032622,-0.09781448900430019,0.14204189176594992,0.5268817204301075,1,66,11,201,-0.0427499215939252,0.0489259467259188,-0.0500000033580082,0.0528681892082405
deep_pullback,nonoverlap_w4,2024Q2,w1,PRIMARY,baseline,406,313,0.0013078306355922718,0.0021303971690057,-0.04904005140227555,0.0587729789818819,0.5221674876847291,1,98,23,284,-0.041782051305209705,0.05170436424356445,-0.048351477139454146,0.06248042952071105
deep_pullback,nonoverlap_w4,2024Q2,w1,PRIMARY,flagged,67,61,0.009514388710534413,0.005459212056543,-0.07947787351192064,0.10143490948281071,0.5671641791044776,0,24,12,31,-0.0579506897468072,0.0767793694934029,-0.066797670411665,0.0803377968296439
deep_pullback,nonoverlap_w4,2024Q2,w1,PRIMARY,retained,339,267,-0.00031411447066473125,0.000898493151753,-0.04276507600890667,0.05076015749971336,0.5132743362831859,1,74,11,253,-0.0393734238836701,0.0489259467259188,-0.0464698995224652,0.0569726573347801
deep_pullback,nonoverlap_w4,2024Q2,w1,PRIMARY,unknown_feature,200,175,0.00012102757594129848,0.00162025509984585,-0.0460411092146055,0.05876492435256784,0.52,1,46,10,143,-0.04202084974385015,0.05019875239855215,-0.04915641486391945,0.056548263519178
deep_pullback,nonoverlap_w4,2024Q2,w2,PRIMARY,baseline,406,313,0.009210819579028135,0.008068982951232099,-0.07974517725840065,0.09763844424866325,0.541871921182266,1,98,23,284,-0.041782051305209705,0.05170436424356445,-0.048351477139454146,0.06248042952071105
deep_pullback,nonoverlap_w4,2024Q2,w2,PRIMARY,flagged,67,61,0.009983242764631809,0.0128617241736712,-0.13342850739542003,0.14325018365801426,0.5522388059701493,0,24,12,31,-0.0579506897468072,0.0767793694934029,-0.066797670411665,0.0803377968296439
deep_pullback,nonoverlap_w4,2024Q2,w2,PRIMARY,retained,339,267,0.009058157769484045,0.0065127008475318,-0.07137681154101225,0.08989475993022818,0.5398230088495575,1,74,11,253,-0.0393734238836701,0.0489259467259188,-0.0464698995224652,0.0569726573347801
