policy,panel,horizon,role,total_quarters,supported_quarters,empty_quarters,no_flag_quarters,available_weeks,observed_weeks,rule_available_weeks,wholly_unknown_weeks,positive_supported_quarters,stop_positive_supported_quarters,incremental_mean,incremental_median,positive_week_fraction,block_ci_low,block_ci_high,leave_one_quarter_out_min,leave_one_quarter_out_max,without_best_week,without_worst_week,calendar_quarters_observed,independent_confirmation,baseline_net,veto_cash_net,random_cash_net,cash_delta,cash_delta_gross,avoided_gross_loss,foregone_gross_gain,saved_cost,coverage,known_coverage,known_matched_return_spread,stop_lift,break_even_cost_bps,leave_one_ticker_out_min,leave_one_ticker_out_max
deep_pullback_and_extended,all_entries,w3,DIAGNOSTIC_ONLY,9,8,1,0,104,104,104,0,7,8,0.0008742138915340136,0.0,0.40384615384615385,-9.572704849816356e-05,0.0018333321788743591,0.0006429850288384173,0.0011076787427381047,0.0007196288248577548,0.001233444215578463,8,False,0.012965969592123705,0.01367910440302761,0.012804890511493595,0.0007131348109039072,0.0006552123592808142,0.0020945829091046776,0.0014393705498238628,5.792245162309244e-05,0.028961225811546212,0.4539295027000411,0.007772643838570782,0.2489972923171533,-226.2377854944231,0.0007069683277585502,0.0012344371180168013
deep_pullback_and_extended,all_entries,w4,PRIMARY,9,8,1,0,104,104,104,0,8,8,0.0010579194909542825,0.0,0.4230769230769231,0.0003820548760312261,0.0019368054891408888,0.0009158779313991357,0.0011866879070403643,0.0008913305629061235,0.0012715557798539132,8,False,0.019221135617188315,0.019936808795382413,0.018878889304428128,0.0007156731781940974,0.0006577507265710052,0.0021322646177840622,0.0014745138912130571,5.792245162309244e-05,0.028961225811546212,0.4539295027000411,0.021572892038897423,0.2489972923171533,-227.11425643757602,0.0008902683038257553,0.0012586259707345361
deep_pullback_and_extended,nonoverlap_w4,w1,PRIMARY,9,8,1,0,104,104,104,0,5,7,0.0007443033661277322,0.0,0.3269230769230769,-0.00014391119619018745,0.0019511637185245124,0.00038067855983679944,0.0008916696205289524,0.00036194163989342314,0.0008548520254457647,8,False,0.001848784871818955,0.0026637007300952154,0.0019193973639674835,0.0008149158582762602,0.0007440207074565005,0.0019543947565679944,0.001210374049111494,7.089515081975953e-05,0.035447575409879764,0.4344232067713486,-0.00047928586582295953,0.2067332180109419,-209.89325753691207,0.00046079036012165557,0.0008461252040595403
deep_pullback_and_extended,nonoverlap_w4,w2,PRIMARY,9,8,1,0,104,104,104,0,6,7,0.0007123767659790273,0.0,0.3557692307692308,-8.72915819043589e-05,0.0015342123270544613,0.0005281299886482581,0.0008775769848835208,0.0005120752311020499,0.000981459519554142,8,False,0.011036934503257458,0.01178860131475158,0.011076224548772554,0.0007516668114941252,0.0006807716606743655,0.0021570254973062664,0.001476253836631901,7.089515081975953e-05,0.035447575409879764,0.4344232067713486,0.004767988385420323,0.2067332180109419,-192.05027503365557,0.0005584242468076054,0.0008981884231761797
deep_pullback_and_extended,nonoverlap_w4,w3,DIAGNOSTIC_ONLY,9,8,1,0,104,104,104,0,7,7,0.0010273806457598979,0.0,0.40384615384615385,-0.00027829388184748917,0.0022103915252462683,0.0007137184185092228,0.0014320481922225428,0.0008343168573636034,0.0015664948495544395,8,False,0.01589776795778853,0.01679179039835461,0.015764409752594712,0.0008940224405660803,0.0008231272897463211,0.002596623456849891,0.0017734961671035698,7.089515081975953e-05,0.035447575409879764,0.4344232067713486,0.009841923563460423,0.2067332180109419,-232.20975771361313,0.0008220019586483875,0.0015542290391756754
deep_pullback_and_extended,nonoverlap_w4,w4,PRIMARY,9,8,1,0,104,104,104,0,8,7,0.0012788210227699553,0.0,0.3942307692307692,0.000545178630104913,0.0022427445515012566,0.0011919247007863834,0.0013862943153642251,0.0010720613935915938,0.0015985685129085922,8,False,0.02161272658811269,0.02260203281918958,0.021323211796419623,0.0009893062310768923,0.0009184110802571336,0.0026308027836936016,0.0017123917034364679,7.089515081975953e-05,0.035447575409879764,0.4344232067713486,0.021252376018884113,0.2067332180109419,-259.08995739131956,0.0010735249680377964,0.0015850305794828832
extended_vs_candidate,all_entries,w1,PRIMARY,9,8,1,0,104,104,104,0,2,8,-0.0005653948510084941,-7.426640119280199e-05,0.4519230769230769,-0.0017370715085723014,0.0009370335861573557,-0.0009827285028261446,-0.00019145095557114531,-0.0008298412270566751,-0.00037705775992339155,8,False,0.0020478789013322197,0.001427827608895564,0.001993222459904058,-0.000620051292436656,-0.001009463399727982,0.004858620234010637,0.005868083633738619,0.0003894121072913265,0.19470605364566324,1.0,-0.0037172716311511637,0.09053940092916021,51.84550664074671,-0.0007625004757697347,-0.0004602487066646618
extended_vs_candidate,all_entries,w2,PRIMARY,9,8,1,0,104,104,104,0,1,8,-0.002420753256375703,-0.0016680449292742795,0.38461538461538464,-0.005791478861638044,9.60388026164772e-05,-0.0028659139244996278,-0.0014751513012911514,-0.002697260751958377,-0.0011714669759519069,8,False,0.008433800023805725,0.005026880096597868,0.00744763335297357,-0.003406919927207856,-0.0037963320344991834,0.006394151365766327,0.010190483400265508,0.0003894121072913265,0.19470605364566324,1.0,-0.01840274567141803,0.09053940092916021,194.97760667513484,-0.0026569535023903187,-0.001159230864910728
extended_vs_candidate,all_entries,w3,DIAGNOSTIC_ONLY,9,8,1,0,104,104,104,0,2,8,-0.001366990465725536,-0.001177175247149278,0.375,-0.0033421881761818784,0.0005045432757095077,-0.0017416724082738894,-0.0010478682324388286,-0.0016843639075440982,-0.0010037860048999988,8,False,0.012965969592123705,0.00965613505164057,0.011023125517366105,-0.0033098345404831355,-0.0036992466477744623,0.0070789120818636605,0.010778158729638122,0.0003894121072913265,0.19470605364566324,1.0,-0.009437565602407709,0.09053940092916021,189.99135252910804,-0.0016353207508859426,-0.0010603994587993204
extended_vs_candidate,all_entries,w4,PRIMARY,9,8,1,0,104,104,104,0,2,8,-0.0007731436764434582,-0.00019324467989508464,0.4326923076923077,-0.0025791238049278136,0.0017904418266325105,-0.0015369974072270227,-0.00037222160413572387,-0.001180130883851239,-0.00045873698896718,8,False,0.019221135617188315,0.01539536874550777,0.01616851242195123,-0.00382576687168054,-0.004215178978971867,0.008312708943690083,0.012527887922661952,0.0003894121072913265,0.19470605364566324,1.0,-0.0036242290737010284,0.09053940092916021,216.48936435447874,-0.0011314168610789801,-0.00048292603658260576
