policy,panel,horizon,code,affected_weeks,incremental_without_ticker
deep_pullback,all_entries,w1,C,12,0.0007217441506552596
deep_pullback,all_entries,w1,CAAP,13,0.0007357966740941303
deep_pullback,all_entries,w1,CAH,14,0.0007620985301146981
deep_pullback,all_entries,w1,CAKE,2,0.0007371291801988184
deep_pullback,all_entries,w1,CAMT,4,0.0007318475455237624
deep_pullback,all_entries,w1,CAPL,1,0.0007375829381513107
deep_pullback,all_entries,w1,CAR,1,0.0007322065162138753
deep_pullback,all_entries,w1,CARE,3,0.0007385459525010419
deep_pullback,all_entries,w1,CARR,6,0.000734803865396968
deep_pullback,all_entries,w1,CART,6,0.0007339162084393149
deep_pullback,all_entries,w1,CASH,6,0.0007357941526460148
deep_pullback,all_entries,w1,CASY,20,0.0007381490606634878
deep_pullback,all_entries,w1,CAT,9,0.0007390735193637118
deep_pullback,all_entries,w1,CATY,1,0.0007376126435574957
deep_pullback,all_entries,w1,CAVA,7,0.0007590115145016988
deep_pullback,all_entries,w1,CB,8,0.0007354694067433081
deep_pullback,all_entries,w1,CBAN,6,0.0007365509058793635
deep_pullback,all_entries,w1,CBFV,2,0.0007378242963078515
deep_pullback,all_entries,w1,CBK,4,0.000738362832546947
deep_pullback,all_entries,w1,CBL,8,0.0007418025849778679
deep_pullback,all_entries,w1,CBLL,1,0.0007375338677297687
deep_pullback,all_entries,w1,CBNA,6,0.0007519329797442358
deep_pullback,all_entries,w1,CBNK,10,0.0007378319338772056
deep_pullback,all_entries,w1,CBOE,20,0.0007480794118963934
deep_pullback,all_entries,w1,CCBG,10,0.0007383920157503776
deep_pullback,all_entries,w1,CCJ,12,0.0007570344985479043
deep_pullback,all_entries,w1,CCSI,3,0.0007406645257173443
deep_pullback,all_entries,w1,CDE,4,0.0007360835295538784
deep_pullback,all_entries,w1,CDNA,1,0.0007271245599177288
deep_pullback,all_entries,w1,CDNL,1,0.000737071648081452
deep_pullback,all_entries,w1,CDNS,3,0.0007382774660602819
deep_pullback,all_entries,w1,CDP,4,0.0007366590637123733
deep_pullback,all_entries,w1,CECO,11,0.0007345527704962853
deep_pullback,all_entries,w1,CEG,8,0.0007329680653029007
deep_pullback,all_entries,w1,CELC,3,0.0007390140815773932
deep_pullback,all_entries,w1,CENX,7,0.0006926680583675518
deep_pullback,all_entries,w1,CF,1,0.0007336012602656041
deep_pullback,all_entries,w1,CFBK,5,0.0007451032382727654
deep_pullback,all_entries,w1,CFFI,5,0.0007362055730650465
deep_pullback,all_entries,w1,CFG,11,0.0007399031901758046
deep_pullback,all_entries,w1,CG,4,0.0007372642198524784
deep_pullback,all_entries,w1,CGEM,2,0.0007316236424044051
deep_pullback,all_entries,w1,CGON,7,0.000716348702756839
deep_pullback,all_entries,w1,CHCI,4,0.0007275362135964153
deep_pullback,all_entries,w1,CHCO,4,0.0007377426617639928
