policy,panel,quarter,horizon,role,snapshot_date,path_label,baseline_n,flagged_n,avoided_gross_loss,foregone_gross_gain,saved_cost,cash_delta_contribution
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-10,fast_winner_3w,6,4,-0.0,0.0047391299143500374,7.843137254901961e-05,-0.004660698541801018
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-10,unresolved_3w,79,9,0.000173415699271099,0.004778334662761961,0.00017647058823529413,-0.004428448375255568
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-17,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-17,stop_first_3w,19,5,0.009066960828999335,0.0,0.000136986301369863,0.009203947130369199
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-17,fast_winner_3w,2,2,-0.0,0.0065942599799846055,5.47945205479452e-05,-0.00653946545943666
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-17,unresolved_3w,52,5,-0.0,0.00225094942854527,0.000136986301369863,-0.002113963127175407
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-24,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-24,stop_first_3w,15,5,0.009978962736221226,0.0,0.0002173913043478261,0.010196354040569053
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-24,fast_winner_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-24,unresolved_3w,30,7,0.0007643393301838957,0.006611735173588259,0.00030434782608695655,-0.005543048017317405
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-31,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-31,stop_first_3w,17,2,0.006525285476255775,0.0,0.00010256410256410256,0.006627849578819877
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-31,fast_winner_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-31,unresolved_3w,22,2,0.0013765718222038975,0.0014746015304440512,0.00010256410256410256,4.534394323948798e-06
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-07,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-07,stop_first_3w,6,1,0.006441226227765358,0.0,9.523809523809524e-05,0.0065364643230034535
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-07,fast_winner_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-07,unresolved_3w,14,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-14,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-14,stop_first_3w,6,2,0.005826785484557607,8.941078294041724e-05,0.00013793103448275863,0.005875305736099948
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-06-14,fast_winner_3w,2,0,-0.0,0.0,0.0,-0.0
