policy,panel,quarter,horizon,role,status,n,flagged_n,unknown_n,snapshot_weeks,matched_weeks,evidence_weeks,operational_cash_delta,cash_delta,cash_delta_gross,incremental_vs_random,stop_lift,avoided_gross_loss,foregone_gross_gain,saved_cost,coverage
high_pct_above_ceiling,all_entries,2024Q3,w4,PRIMARY,SUPPORTED,1014,249,0,13,12,13,-0.00205466704783259,-0.00205466704783259,-0.0024909096426682467,0.00016496396572567726,0.0908698502882878,0.007356893293859495,0.00984780293652774,0.0004362425948356589,0.21812129741782946
high_pct_above_ceiling,nonoverlap_w4,2024Q3,w1,PRIMARY,SUPPORTED,659,159,0,13,12,13,-0.0011432253168034696,-0.0011432253168034696,-0.0015728690116272202,0.00017330829450483513,0.03445869973828067,0.00358440765099884,0.00515727666262606,0.0004296436948237524,0.2148218474118762
high_pct_above_ceiling,nonoverlap_w4,2024Q3,w2,PRIMARY,SUPPORTED,659,159,0,13,12,13,-0.0021213036327757343,-0.0021213036327757343,-0.0025509473275994845,-0.0008181228836025309,0.03445869973828067,0.004670940920550527,0.007221888248150011,0.0004296436948237524,0.2148218474118762
high_pct_above_ceiling,nonoverlap_w4,2024Q3,w3,DIAGNOSTIC_ONLY,SUPPORTED,659,159,0,13,12,13,-0.0020047765923140023,-0.0020047765923140023,-0.002434420287137755,-0.0005838751362349944,0.03445869973828067,0.005822411764842476,0.008256832051980233,0.0004296436948237524,0.2148218474118762
high_pct_above_ceiling,nonoverlap_w4,2024Q3,w4,PRIMARY,SUPPORTED,659,159,0,13,12,13,-0.0037973028783055227,-0.0037973028783055227,-0.004226946573129277,-0.0014769559937425187,0.03445869973828067,0.005725594516421016,0.00995254108955029,0.0004296436948237524,0.2148218474118762
deep_pullback,all_entries,2024Q4,w1,PRIMARY,SUPPORTED,878,59,468,13,12,13,-0.0011209418838090286,-0.0011209418838090286,-0.0012682998123658155,-0.0009684150913718838,0.16797662141520167,0.0016650401965370295,0.0029333400089028455,0.00014735792855678802,0.073678964278394
deep_pullback,all_entries,2024Q4,w2,PRIMARY,SUPPORTED,878,59,468,13,12,13,0.0010939157232204312,0.0010939157232204312,0.0009465577946636416,0.0012335113053910845,0.16797662141520167,0.004358242546263329,0.0034116847515996878,0.00014735792855678802,0.073678964278394
deep_pullback,all_entries,2024Q4,w3,DIAGNOSTIC_ONLY,SUPPORTED,878,59,468,13,12,13,0.0013550364218849636,0.0013550364218849636,0.0012076784933281774,0.0018866791221985207,0.16797662141520167,0.005523228380369437,0.00431554988704126,0.00014735792855678802,0.073678964278394
deep_pullback,all_entries,2024Q4,w4,PRIMARY,SUPPORTED,878,59,468,13,12,13,-0.0003349186465781035,-0.0003349186465781035,-0.00048227657513489334,0.0006024868011747843,0.16797662141520167,0.006163674259862268,0.00664595083499716,0.00014735792855678802,0.073678964278394
deep_pullback,nonoverlap_w4,2024Q4,w1,PRIMARY,SUPPORTED,611,43,341,13,11,13,-0.0012124618154456248,-0.0012124618154456248,-0.0013725006148753878,-0.0010887539777570674,0.07812752903661994,0.002094770759659887,0.003467271374535274,0.00016003879942976407,0.08001939971488202
deep_pullback,nonoverlap_w4,2024Q4,w2,PRIMARY,SUPPORTED,611,43,341,13,11,13,-0.0009844495243648244,-0.0009844495243648244,-0.0011444883237945874,-0.0004870500439532212,0.07812752903661994,0.0034289865884295757,0.0045734749122241635,0.00016003879942976407,0.08001939971488202
