selector_id,segment,snapshot_date,horizon,picks_count,return_pct,stop_rate,worst_pick_ret,best_pick_ret,one_pick_ruined,worst_loss_conc,best_gain_conc
actionable_agent_elastic_w1_pure_rank,train_oof,2026-03-06,W4,3,-2.3429333333333333,0.6666666666666666,-7.8145,8.127,False,0.5156111851568377,1.0
actionable_agent_elastic_w1_pure_rank,train_oof,2026-03-20,W4,3,4.436966666666668,1.0,-28.177,30.6442,False,1.0,0.7386298173684375
actionable_agent_elastic_w1_pure_rank,train_oof,2026-03-27,W4,3,15.405233333333333,0.3333333333333333,5.5755,25.4609,False,,0.5509145160627232
actionable_agent_elastic_w1_pure_rank,train_oof,2026-04-02,W4,3,4.623566666666666,0.0,3.8045,5.4206,False,,0.3907949851125034
actionable_agent_elastic_w1_pure_rank,train_oof,2026-04-10,W4,3,-6.750800000000001,0.6666666666666666,-16.5237,3.6338,False,0.6917676315194548,1.0
actionable_agent_elastic_w1_pure_rank,train_oof,2026-04-17,W4,3,-1.0189000000000001,0.3333333333333333,-7.3714,7.534,False,0.69602575844845,1.0
actionable_agent_elastic_w1_pure_rank,train_oof,2026-05-01,W4,3,6.3523,0.3333333333333333,-7.5699,17.3568,False,1.0,0.6518545225111542
actionable_agent_elastic_w1_pure_rank,train_oof,2026-02-13,W3,3,-2.933133333333334,0.6666666666666666,-16.1505,7.3689,False,0.9988990802991037,1.0
actionable_agent_elastic_w1_pure_rank,train_oof,2026-02-20,W3,3,-12.279033333333333,0.6666666666666666,-19.7561,0.2717,False,0.5323831544000345,1.0
actionable_agent_elastic_w1_pure_rank,train_oof,2026-02-27,W3,3,-8.688266666666665,1.0,-15.5262,-1.4822,False,0.5956769282710782,
actionable_agent_elastic_w1_pure_rank,train_oof,2026-03-06,W3,3,-2.1901999999999995,0.6666666666666666,-10.4101,12.6835,False,0.5406692600537029,1.0
actionable_agent_elastic_w1_pure_rank,train_oof,2026-03-20,W3,3,-5.238366666666667,1.0,-20.7946,20.0014,False,0.5822127028124257,1.0
