snapshot_date,code,industry,current_vs_ibd_candidate_pct,rv_20,w1_return_pct,w2_return_pct,w4_return_pct,w3_return_pct,w1_stop8,w2_stop8,w4_stop8,w3_stop8,score,universe,feature_mode,model_type,target_horizon,model_id,segment,fold,model_pick_order,selector_id,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type,b0_eligible,is_valid_entry,entry_status,entry_date,entry_open,stop_8_hit_ever,gap_stop,profit20_hit,max_drawdown_to_asof_pct,px_vs_ma10,px_vs_ma20,px_vs_ma50,ma10_slope_5,ma20_slope_5,ma50_slope_10,mom_5,mom_10,mom_20,mom_60,atr_14_pct,vol_ratio_5_20,up_day_ratio_20,drawdown_20,rel_spy_20,rel_spy_60,trigger_pos,eps_known,is_actionable,rule_ceiling,rule_pivot,rule_ma10_touch_confirm,rule_ceiling_pullback,rule_three_weeks_tight,pick_order,is_b0,period,agent_factor_vol_confirmed_mom_20,agent_factor_prox_52w_high,agent_factor_risk_adj_mom_10,agent_factor_risk_adj_mom_20,agent_factor_risk_adj_mom_60,agent_factor_factor_198f5d40,agent_factor_factor_2aca99fe,agent_factor_factor_a0e8acc1
2026-04-02,NVST,Medical Specialties,4.58,0.028412320744700088,3.2473,8.9202,3.0125,4.8513,False,False,False,False,2.6986839364278232,signal,agent,elastic,W1,signal_agent_elastic_w1,train_oof,1.0,3.0,signal_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-10,AAOI,Semiconductors,42.65,0.10510798304846021,7.3319,9.1833,0.276,23.5508,True,True,True,True,8.070012900549411,signal,agent,elastic,W1,signal_agent_elastic_w1,train_oof,2.0,1.0,signal_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-10,CMC,Unknown,6.59,0.023582815318242002,1.4925,6.1086,8.8321,5.3085,False,False,False,False,3.1497417907042626,signal,agent,elastic,W1,signal_agent_elastic_w1,train_oof,2.0,2.0,signal_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-10,SPIR,Unknown,1.22,0.10452582223804072,-11.7833,-25.4628,-16.5237,-17.9233,True,True,True,True,3.0729572229850355,signal,agent,elastic,W1,signal_agent_elastic_w1,train_oof,2.0,3.0,signal_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,SILC,Computer Communications,24.24,0.052906709175764344,5.0877,45.1014,65.2802,54.2454,True,True,True,True,4.818714210244513,signal,agent,elastic,W1,signal_agent_elastic_w1,train_oof,2.0,1.0,signal_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,AROW,Major Banks,2.38,0.011662005144482748,-3.0063,-0.1093,-4.5641,-0.082,False,False,False,False,3.4559222585313725,signal,agent,elastic,W1,signal_agent_elastic_w1,train_oof,2.0,2.0,signal_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-17,TRVI,Biotechnology,8.79,0.032694501487550084,-5.3219,-8.8699,-6.7017,-4.7306,True,True,True,True,2.7520557027914383,signal,agent,elastic,W1,signal_agent_elastic_w1,train_oof,2.0,3.0,signal_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-24,TRT,Unknown,117.37,0.15918493807557565,-1.0556,-13.2301,-2.7445,41.0978,True,True,True,True,13.555693949731793,signal,agent,elastic,W1,signal_agent_elastic_w1,train_oof,2.0,1.0,signal_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-24,INBX,Biotechnology,42.48,0.09820578085511407,-0.2787,4.0263,-21.5486,-15.8808,False,False,True,True,7.80838373894234,signal,agent,elastic,W1,signal_agent_elastic_w1,train_oof,2.0,2.0,signal_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-24,POET,Unknown,72.97,0.1122115086680849,-23.6155,14.4201,52.4556,66.8757,True,True,True,True,5.4628480687490155,signal,agent,elastic,W1,signal_agent_elastic_w1,train_oof,2.0,3.0,signal_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
