code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry
CTRN,2026-03-13,False,,True,,,,,,,,,,,,,,,43.25,,,0.7444397399815695,23.8,2025-10-06,25.4,1,0,34.5,2025-06-02,-24.4,2,18,,,,3,10.0,-15.4,-11.8,False,False,757.4108818011257,77.91,-44.487228853805675,Retail Trade,Apparel/Footwear Retail
KGS,2026-03-13,False,,,,,,,,,,,,,,,,,53.84,,,0.7420785650150484,9.7,2026-02-02,15.7,0,0,46.53,2025-01-20,-40.6,3,54,,,,1,2.0,-8.2,-7.3,False,False,22.98611111111111,77.68,-30.690010298661175,Industrial Services,Oilfield Services/Equipment
DGX,2026-03-13,False,,False,,,,,,,,,,,,,,,198.03,,,0.7305405604057266,-3.5,2026-02-09,3.5,0,0,191.26,2025-11-17,-11.7,1,12,,,,2,3.0,-8.5,-6.5,True,False,14.537338641573166,240.13,-17.532170074542954,Health Services,Services to the Health Industry
PKBK,2026-03-13,False,,False,,,,,,,,,,,,,,,26.81,,,0.7199489656429418,15.1,2025-12-01,16.7,0,0,22.98,2024-11-25,-28.9,4,53,,,,2,6.0,-10.5,-8.0,True,False,48.84024354885474,35.7,-24.901960784313736,Finance,Regional Banks
PEBO,2026-03-13,False,,True,,,,,,,,,,,,,,,31.22,,,0.7198150268906832,1.9,2026-01-19,2.0,1,0,30.61,2025-06-30,-13.7,3,29,,,,1,6.0,-10.2,-7.9,True,False,30.94797103889543,42.29,-26.176401040435092,Finance,Regional Banks
CHRN,2026-03-13,False,,True,,,,,,,,,,,,,,,11.56,,,0.7115245700005857,47.4,2025-12-29,102.8,0,0,5.7,2025-09-29,-38.6,1,13,,,,3,3.0,-27.4,-12.9,True,False,-19.328961236678772,30.0,-61.46666666666667,Technology Services,Packaged Software
NTST,2026-03-13,False,,,,,,,,,,,,,,,,,19.82,,,0.7101516441589515,0.3,2026-02-09,4.4,0,0,18.99,2025-10-20,-12.3,1,16,,,,1,2.0,-5.8,-4.9,False,False,52.63157894736844,22.47,-11.793502447708049,Finance,Real Estate Investment Trusts
BSRR,2026-03-13,False,,False,,,,,,,,,,,,,,,32.74,,,0.6999565783760313,3.2,2025-12-01,4.8,2,0,31.24,2024-11-18,-31.1,5,54,,,,3,6.0,-16.6,-13.9,False,False,-1.2440682313710314,43.125,-24.081159420289858,Finance,Regional Banks
BFH,2026-03-13,False,,False,,,,,,,,,,,,,,,71.34,,,0.6962599643540214,-0.7,2025-12-01,5.9,0,0,67.39,2024-12-09,-44.2,3,51,,,,2,10.0,-17.4,-12.6,True,False,20.143298583992664,114.12,-37.48685594111462,Finance,Finance/Rental/Leasing
MRNA,2026-03-13,False,,False,,,,,,,,,,,,,,,52.56,,,0.6918173969868939,25.7,2026-01-12,47.7,1,0,35.59,2025-07-21,-37.4,2,25,,,,2,3.0,-11.0,-2.7,False,False,7.595353430842307,85.6,-38.59813084112149,Health Technology,Biotechnology
AUGO,2026-03-13,False,,False,,,,,,,,,,,,,,,74.61,,,0.6865911181570861,192.8,2025-08-04,210.0,2,1,24.07,2025-07-14,-5.2,1,3,,,,5,3.0,-16.2,-15.8,False,False,,,,Non-Energy Minerals,Other Metals/Minerals
EXPE,2026-03-13,False,,,,,,,,,,,,,,,,,227.89,,,0.6788402684257052,6.1,2026-02-23,11.1,1,0,205.18,2025-02-10,-37.3,3,54,,,,1,2.0,-11.1,-9.5,False,False,188.32501609787508,333.24,-31.61385187852599,Consumer Services,Other Consumer Services
D,2026-03-13,False,,False,,,,,,,,,,,,,,,62.58,,,0.6725919261587121,8.2,2025-07-28,11.0,3,2,56.36,2024-10-14,-19.3,3,41,,,,6,5.0,-8.0,-4.4,True,False,-57.51224513042488,72.99,-14.26222770242499,Utilities,Electric Utilities
STX,2026-03-13,False,,False,,,,,,,,,,,,,,,382.77,,,0.6533698522938473,229.0,2025-05-26,241.7,5,0,112.02,2024-10-14,-44.3,2,32,,,,7,6.0,-25.6,-16.5,True,False,149.16685280321644,1145.0,-66.5703056768559,Electronic Technology,Computer Peripherals
BAP,2026-03-13,False,,False,,,,,,,,,,,,,,,310.98,,,0.649907362262311,19.6,2025-12-01,20.0,1,0,259.09,2025-09-29,-15.1,1,9,,,,2,7.0,-12.9,-10.9,False,False,26.73327929328855,413.245,-24.74682089317475,Finance,Major Banks
MOD,2026-03-13,False,,False,,,,,,,,,,,,,,,188.54,,,0.6430393414596571,29.1,2026-01-19,30.9,1,0,144.02,2024-11-18,-55.0,5,61,,,,1,3.0,-25.8,-22.7,True,False,,,,Unknown,Unknown
FORM,2026-03-13,False,,False,,,,,,,,,,,,,,,89.92,,,0.6075144436472238,31.0,2026-01-05,43.9,1,0,62.48,2024-07-01,-63.9,5,79,,,,3,3.0,-24.3,-16.0,True,False,502.4744027303754,160.27,-43.89467773132839,Electronic Technology,Semiconductors
PACS,2026-03-13,False,,False,,,,,,,,,,,,,,,34.84,,,0.6070072130728967,26.7,2025-11-17,151.7,1,0,13.84,2025-06-16,-45.8,2,22,,,,2,10.0,-22.3,-18.3,True,False,53.08441558441558,49.49,-29.60193978581531,Health Services,Hospital/Nursing Management
VPG,2026-03-13,False,,False,,,,,,,,,,,,,,,41.01,,,0.6048822639879023,5.1,2025-12-01,15.6,1,0,35.47,2024-02-26,-47.6,5,92,,,,3,6.0,-28.4,-27.0,False,False,-794.6236559139787,151.78,-72.98062985900646,Electronic Technology,Electronic Components
ZIM,2026-03-13,False,,True,,,,,,,,,,,,,,,26.11,,,0.6048657894447119,32.3,2025-11-24,45.2,1,1,17.98,2024-11-11,-43.2,6,54,,,,3,4.0,-10.2,-9.9,False,False,-129.12874923485003,29.97,-12.879546212879545,Transportation,Marine Shipping
SLAB,2026-03-13,False,,False,,,,,,,,,,,,,,,203.0,,,0.5869696166542178,-1.7,2026-02-02,26.9,0,0,160.0,2025-02-17,-48.2,3,50,,,,1,5.0,-3.4,-2.4,True,False,52.21689634511684,220.895,-8.101134022952083,Electronic Technology,Semiconductors
NGL,2026-03-13,False,,False,,,,,,,,,,,,,,,11.2,,,0.5691619438971959,77.5,2025-10-20,82.1,3,1,6.15,2024-02-26,-57.1,6,86,,,,4,3.0,-11.3,-8.8,False,False,1085.8560794044663,18.8,-40.42553191489362,Industrial Services,Oil & Gas Pipelines
RFIL,2026-03-13,False,,False,,,,,,,,,,,,,,,10.21,,,0.5544570837642192,-10.0,2026-02-23,6.8,0,0,9.56,2025-07-21,-42.1,3,31,,,,1,3.0,-15.2,-11.2,True,False,,,,Unknown,Unknown
PLAB,2026-03-13,False,,True,,,,,,,,,,,,,,,33.55,,,0.5505298481411899,-7.6,2025-12-08,34.1,0,0,25.02,2025-09-15,-19.9,1,12,,,,2,5.0,-18.5,-14.1,True,False,,,,Electronic Technology,Electronic Production Equipment
SIF,2026-03-13,False,,False,,,,,,,,,,,,,,,13.0,,,0.5445121446885942,18.2,2026-02-09,73.3,1,0,7.5,2025-09-08,-34.9,3,22,,,,1,3.0,-15.2,-12.0,True,False,-101.17074927953888,28.995,-55.16468356613209,Electronic Technology,Aerospace & Defense
RVMD,2026-03-13,False,,True,,,,,,,,,,,,,,,94.86,,,0.5439120401791774,40.0,2025-11-10,55.4,0,0,61.06,2024-11-04,-52.2,2,53,,,,3,9.0,-25.7,-23.8,False,False,-132.54433366314026,208.7606,-54.56039118492666,Health Technology,Pharmaceuticals: Other
TTMI,2026-03-13,False,,False,,,,,,,,,,,,,,,90.64,,,0.5435227918325588,208.6,2025-05-12,234.7,4,1,27.08,2025-02-10,-41.8,1,13,,,,9,4.0,-22.1,-17.8,True,False,94.92424242424242,223.83,-59.5049814591431,Electronic Technology,Electronic Components
FUSB,2026-03-13,False,,True,,,,,,,,,,,,,,,14.91,,,0.5014084507042254,7.8,2025-12-29,8.0,3,0,13.8,2024-12-02,-26.8,6,56,,,,1,6.0,-13.8,-5.9,True,False,1089.0625,16.99,-12.242495585638602,Finance,Regional Banks
WT,2026-03-13,False,,False,,,,,,,,,,,,,,,15.21,,,0.4910898230965289,0.8,2026-01-12,3.8,0,0,14.65,2025-09-15,-27.4,1,17,,,,2,3.0,-13.7,-12.7,False,False,67.69230769230768,23.2865,-34.68318553668435,Miscellaneous,Investment Trusts/Mutual Funds
VAL,2026-03-13,False,,True,,,,,,,,,,,,,,,93.74,,,0.4846224089669291,-2.3,2026-02-09,14.4,0,0,81.97,2024-07-22,-66.9,5,81,,,,1,5.0,-10.6,-2.8,True,False,-55.65260484420492,114.12,-17.8583946722748,Industrial Services,Contract Drilling
FDSB,2026-03-13,False,,True,,,,,,,,,,,,,,,14.77,,,0.4428607788241283,4.3,2025-12-08,5.3,0,0,14.03,2025-09-01,-7.3,1,14,,,,2,6.0,-3.3,-2.9,False,False,-87.03094140882159,18.4899,-20.11855120903845,Finance,Savings Banks
BUUU,2026-03-13,False,,True,,,,,,,,,,,,,,,14.15,,,0.4110992131849714,23.2,2026-01-26,51.0,0,0,9.37,2025-09-29,-39.2,2,17,,,,2,4.0,-36.8,-23.5,True,False,,32.97,-57.08219593569912,Commercial Services,Miscellaneous Commercial Services
FTH,2026-03-13,False,,True,,,,,,,,,,,,,,,32.28,,,0.3823048133489607,-3.6,2026-02-16,75.9,0,0,18.35,2025-10-13,-59.4,2,18,,,,1,4.0,-23.3,-5.1,True,False,-2312.3008882037725,37.9,-14.828496042216354,Health Technology,Biotechnology
ASYS,2026-03-13,False,,False,,,,,,,,,,,,,,,12.98,,,0.3766829765766548,18.2,2025-12-08,26.6,1,0,10.25,2025-09-22,-34.1,1,11,,,,1,7.0,-45.7,-29.7,True,False,1297.2972972972973,25.7075,-49.50889818146456,Producer Manufacturing,Industrial Machinery
RCBC,2026-03-13,False,,False,,,,,,,,,,,,,,,42.3,,,0.2238805970149253,14.9,2025-08-18,16.4,2,1,36.35,2025-03-17,-14.7,2,22,,,,5,4.0,-7.2,-6.6,False,False,,50.0,-15.400000000000002,Finance,Regional Banks
