snapshot_date,code,current_lane,entry_status,setup_route,fresh_demand,follow_through,geometry_failure,quality_state,composition_group,actionable_pullback_context_branch,non_actionable_pullback_context_branch,b0_eligible,industry
2026-04-10,AU,incomplete_evidence,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,False,False,Unknown
2026-04-10,BBT,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Regional Banks
2026-04-10,BVFL,constructive_pullback,ACTIONABLE,pullback,True,True,False,confirmed,confirmed_pullback,True,False,True,Savings Banks
2026-04-10,BWFG,tail_risk,ACTIONABLE,pullback,True,True,True,failure,failure,False,False,False,Regional Banks
2026-04-10,C,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Major Banks
2026-04-10,CAT,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Trucks/Construction/Farm Machinery
2026-04-10,CMC,incomplete_evidence,UNCONFIRMED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Unknown
2026-04-10,COHR,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Semiconductors
2026-04-10,CTRI,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Unknown
2026-04-10,D,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Electric Utilities
2026-04-10,DAN,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Unknown
2026-04-10,DBD,constructive_pullback,ACTIONABLE,pullback,True,True,False,confirmed,confirmed_pullback,True,False,True,Unknown
2026-04-10,EWBC,incomplete_evidence,UNCONFIRMED,non_pullback,False,False,False,incomplete,incomplete,False,False,False,Regional Banks
2026-04-10,FBNC,incomplete_evidence,EXTENDED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Regional Banks
2026-04-10,FE,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Unknown
2026-04-10,FN,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Unknown
2026-04-10,FRAF,fresh_demand_alpha,ACTIONABLE,non_pullback,True,True,False,confirmed,confirmed_non_pullback,False,False,True,Regional Banks
2026-04-10,GEF,incomplete_evidence,UNCONFIRMED,non_pullback,False,False,False,incomplete,incomplete,False,False,False,Containers/Packaging
2026-04-10,GEV,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Electrical Products
2026-04-10,GLW,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Electronic Components
2026-04-10,GNRC,incomplete_evidence,UNCONFIRMED,non_pullback,False,False,False,incomplete,incomplete,False,False,False,Electrical Products
2026-04-10,GSK,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Unknown
2026-04-10,HLIO,fresh_demand_alpha,ACTIONABLE,non_pullback,True,True,False,confirmed,confirmed_non_pullback,False,False,True,Industrial Machinery
2026-04-10,HLT,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Hotels/Resorts/Cruise lines
2026-04-10,HON,incomplete_evidence,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,False,False,Industrial Machinery
2026-04-10,HUT,tail_risk,EXTENDED,non_pullback,False,True,True,failure,failure,False,False,False,Data Processing Services
2026-04-10,INTC,incomplete_evidence,EXTENDED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Semiconductors
2026-04-10,INVA,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Unknown
2026-04-10,IVT,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Real Estate Investment Trusts
2026-04-10,KEYS,constructive_pullback,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,True,False,Electronic Equipment/Instruments
2026-04-10,LSCC,incomplete_evidence,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,False,False,Semiconductors
2026-04-10,MKSI,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Industrial Machinery
