policy_id,role,mode,industry_policy,segment,support_weeks,challenger_mean,b0_mean,mean_spread,challenger_median,b0_median,median_spread,challenger_cvar10,b0_cvar10,cvar_delta,stop_delta_pct,one_pick_ruins_delta_pct,slot_coverage_pct,full_top3_rate_pct,jaccard_vs_b0,ci_low,ci_high,lowo_sign_stability,lowo_edge_concentration,lowo_fragile
TRACK_F__CONFIRMED_ONLY_TOP3,primary,confirmed_only,distinct_1,retrospective_track_d_40,40,2.4482,3.4724,-1.0242,0.2096,2.9582,-2.7486,-9.9898,-9.97,-0.0198,-0.83,2.5,71.67,52.5,0.6525,-3.3752,0.7783,0.0,0.0,False
TRACK_F__FCS_MAX1,primary,fcs_max1,distinct_1,retrospective_track_d_40,40,2.0152,3.4724,-1.4572,0.6348,2.9582,-2.3234,-8.4096,-9.97,1.5604,-1.67,0.0,63.33,27.5,0.58,-3.8178,0.1366,0.0,0.0,False
TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,secondary,parity_fallback,pure_top3,retrospective_track_d_40,40,2.3513,3.4724,-1.1211,1.0101,2.9582,-1.9481,-12.1497,-9.97,-2.1796,1.67,5.0,77.5,60.0,0.6767,-3.5872,0.649,0.0,0.0,False
TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,secondary,confirmed_only,pure_top3,retrospective_track_d_40,40,2.2944,3.4724,-1.178,0.4375,2.9582,-2.5208,-11.2551,-9.97,-1.2851,0.83,5.0,73.33,55.0,0.6142,-3.6369,0.6938,0.0,0.0,False
TRACK_F__FCS_MAX1_NO_IND,secondary,fcs_max1,pure_top3,retrospective_track_d_40,40,2.3198,3.4724,-1.1526,0.6348,2.9582,-2.3234,-9.0819,-9.97,0.8881,0.0,2.5,64.17,27.5,0.5675,-4.0473,0.3737,0.0,0.0,False
TRACK_F__CONFIRMED_PARITY_FALLBACK,primary,parity_fallback,distinct_1,post_track_d_current_panel,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
TRACK_F__CONFIRMED_ONLY_TOP3,primary,confirmed_only,distinct_1,post_track_d_current_panel,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
TRACK_F__FCS_MAX1,primary,fcs_max1,distinct_1,post_track_d_current_panel,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,secondary,parity_fallback,pure_top3,post_track_d_current_panel,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,secondary,confirmed_only,pure_top3,post_track_d_current_panel,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
TRACK_F__FCS_MAX1_NO_IND,secondary,fcs_max1,pure_top3,post_track_d_current_panel,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
TRACK_F__CONFIRMED_PARITY_FALLBACK,primary,parity_fallback,distinct_1,retrospective_current_panel,40,2.5051,3.4724,-0.9673,0.4375,2.9582,-2.5208,-11.0015,-9.97,-1.0315,-0.0,2.5,75.83,57.5,0.715,-3.3501,0.7171,0.0,0.0,False
TRACK_F__CONFIRMED_ONLY_TOP3,primary,confirmed_only,distinct_1,retrospective_current_panel,40,2.4482,3.4724,-1.0242,0.2096,2.9582,-2.7486,-9.9898,-9.97,-0.0198,-0.83,2.5,71.67,52.5,0.6525,-3.3752,0.7783,0.0,0.0,False
TRACK_F__FCS_MAX1,primary,fcs_max1,distinct_1,retrospective_current_panel,40,2.0152,3.4724,-1.4572,0.6348,2.9582,-2.3234,-8.4096,-9.97,1.5604,-1.67,0.0,63.33,27.5,0.58,-3.8178,0.1366,0.0,0.0,False
TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,secondary,parity_fallback,pure_top3,retrospective_current_panel,40,2.3513,3.4724,-1.1211,1.0101,2.9582,-1.9481,-12.1497,-9.97,-2.1796,1.67,5.0,77.5,60.0,0.6767,-3.5872,0.649,0.0,0.0,False
TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,secondary,confirmed_only,pure_top3,retrospective_current_panel,40,2.2944,3.4724,-1.178,0.4375,2.9582,-2.5208,-11.2551,-9.97,-1.2851,0.83,5.0,73.33,55.0,0.6142,-3.6369,0.6938,0.0,0.0,False
TRACK_F__FCS_MAX1_NO_IND,secondary,fcs_max1,pure_top3,retrospective_current_panel,40,2.3198,3.4724,-1.1526,0.6348,2.9582,-2.3234,-9.0819,-9.97,0.8881,0.0,2.5,64.17,27.5,0.5675,-4.0473,0.3737,0.0,0.0,False
