snapshot_date,policy_id,pick_count,selected_codes,composition_groups,setup_routes,industries,confirmed_non_pullback_count,confirmed_pullback_count,standard_count,incomplete_count,distinct_industry_count
2026-02-27,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,3,"[""EQIX"", ""TKO"", ""GMED""]","[""confirmed_non_pullback"", ""confirmed_pullback"", ""confirmed_non_pullback""]","[""non_pullback"", ""pullback"", ""non_pullback""]","[""Real Estate Investment Trusts"", ""Unknown"", ""Unknown""]",2,1,0,0,2
2026-02-27,TRACK_F__FCS_MAX1_NO_IND,2,"[""EQIX"", ""TKO""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Real Estate Investment Trusts"", ""Unknown""]",1,1,0,0,2
2026-03-06,B0_ORIGINAL,2,"[""FIGS"", ""RTX""]","[""confirmed_pullback"", ""confirmed_pullback""]","[""pullback"", ""pullback""]","[""Unknown"", ""Aerospace & Defense""]",0,2,0,0,2
2026-03-06,TRACK_F__CONFIRMED_PARITY_FALLBACK,2,"[""FIGS"", ""RTX""]","[""confirmed_pullback"", ""confirmed_pullback""]","[""pullback"", ""pullback""]","[""Unknown"", ""Aerospace & Defense""]",0,2,0,0,2
2026-03-06,TRACK_F__CONFIRMED_ONLY_TOP3,2,"[""FIGS"", ""RTX""]","[""confirmed_pullback"", ""confirmed_pullback""]","[""pullback"", ""pullback""]","[""Unknown"", ""Aerospace & Defense""]",0,2,0,0,2
2026-03-06,TRACK_F__FCS_MAX1,1,"[""FIGS""]","[""confirmed_pullback""]","[""pullback""]","[""Unknown""]",0,1,0,0,1
2026-03-06,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,2,"[""FIGS"", ""RTX""]","[""confirmed_pullback"", ""confirmed_pullback""]","[""pullback"", ""pullback""]","[""Unknown"", ""Aerospace & Defense""]",0,2,0,0,2
2026-03-06,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,2,"[""FIGS"", ""RTX""]","[""confirmed_pullback"", ""confirmed_pullback""]","[""pullback"", ""pullback""]","[""Unknown"", ""Aerospace & Defense""]",0,2,0,0,2
2026-03-06,TRACK_F__FCS_MAX1_NO_IND,1,"[""FIGS""]","[""confirmed_pullback""]","[""pullback""]","[""Unknown""]",0,1,0,0,1
2026-03-13,B0_ORIGINAL,1,"[""DOCN""]","[""standard""]","[""pullback""]","[""Packaged Software""]",0,0,1,0,1
2026-03-13,TRACK_F__CONFIRMED_PARITY_FALLBACK,1,"[""DOCN""]","[""standard""]","[""pullback""]","[""Packaged Software""]",0,0,1,0,1
2026-03-13,TRACK_F__CONFIRMED_ONLY_TOP3,0,[],[],[],[],0,0,0,0,0
2026-03-13,TRACK_F__FCS_MAX1,1,"[""DOCN""]","[""standard""]","[""pullback""]","[""Packaged Software""]",0,0,1,0,1
2026-03-13,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,1,"[""DOCN""]","[""standard""]","[""pullback""]","[""Packaged Software""]",0,0,1,0,1
2026-03-13,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,0,[],[],[],[],0,0,0,0,0
2026-03-13,TRACK_F__FCS_MAX1_NO_IND,1,"[""DOCN""]","[""standard""]","[""pullback""]","[""Packaged Software""]",0,0,1,0,1
2026-03-20,B0_ORIGINAL,1,"[""LMND""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2026-03-20,TRACK_F__CONFIRMED_PARITY_FALLBACK,1,"[""LMND""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2026-03-20,TRACK_F__CONFIRMED_ONLY_TOP3,1,"[""LMND""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2026-03-20,TRACK_F__FCS_MAX1,1,"[""LMND""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2026-03-20,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,1,"[""LMND""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2026-03-20,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,1,"[""LMND""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2026-03-20,TRACK_F__FCS_MAX1_NO_IND,1,"[""LMND""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2026-03-27,B0_ORIGINAL,2,"[""DELL"", ""CASY""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Computer Processing Hardware"", ""Specialty Stores""]",1,1,0,0,2
2026-03-27,TRACK_F__CONFIRMED_PARITY_FALLBACK,2,"[""DELL"", ""CASY""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Computer Processing Hardware"", ""Specialty Stores""]",1,1,0,0,2
2026-03-27,TRACK_F__CONFIRMED_ONLY_TOP3,2,"[""DELL"", ""CASY""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Computer Processing Hardware"", ""Specialty Stores""]",1,1,0,0,2
2026-03-27,TRACK_F__FCS_MAX1,2,"[""DELL"", ""CASY""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Computer Processing Hardware"", ""Specialty Stores""]",1,1,0,0,2
2026-03-27,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,2,"[""DELL"", ""CASY""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Computer Processing Hardware"", ""Specialty Stores""]",1,1,0,0,2
2026-03-27,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,2,"[""DELL"", ""CASY""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Computer Processing Hardware"", ""Specialty Stores""]",1,1,0,0,2
2026-03-27,TRACK_F__FCS_MAX1_NO_IND,2,"[""DELL"", ""CASY""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Computer Processing Hardware"", ""Specialty Stores""]",1,1,0,0,2
2026-04-02,B0_ORIGINAL,3,"[""MRVL"", ""INVA"", ""PFIS""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""non_pullback"", ""pullback""]","[""Semiconductors"", ""Unknown"", ""Regional Banks""]",2,1,0,0,3
2026-04-02,TRACK_F__CONFIRMED_PARITY_FALLBACK,3,"[""PFIS"", ""MRVL"", ""INVA""]","[""confirmed_pullback"", ""confirmed_non_pullback"", ""confirmed_non_pullback""]","[""pullback"", ""non_pullback"", ""non_pullback""]","[""Regional Banks"", ""Semiconductors"", ""Unknown""]",2,1,0,0,3
2026-04-02,TRACK_F__CONFIRMED_ONLY_TOP3,3,"[""PFIS"", ""MRVL"", ""INVA""]","[""confirmed_pullback"", ""confirmed_non_pullback"", ""confirmed_non_pullback""]","[""pullback"", ""non_pullback"", ""non_pullback""]","[""Regional Banks"", ""Semiconductors"", ""Unknown""]",2,1,0,0,3
2026-04-02,TRACK_F__FCS_MAX1,2,"[""PFIS"", ""MRVL""]","[""confirmed_pullback"", ""confirmed_non_pullback""]","[""pullback"", ""non_pullback""]","[""Regional Banks"", ""Semiconductors""]",1,1,0,0,2
2026-04-02,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,3,"[""PFIS"", ""MRVL"", ""INVA""]","[""confirmed_pullback"", ""confirmed_non_pullback"", ""confirmed_non_pullback""]","[""pullback"", ""non_pullback"", ""non_pullback""]","[""Regional Banks"", ""Semiconductors"", ""Unknown""]",2,1,0,0,3
2026-04-02,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,3,"[""PFIS"", ""MRVL"", ""INVA""]","[""confirmed_pullback"", ""confirmed_non_pullback"", ""confirmed_non_pullback""]","[""pullback"", ""non_pullback"", ""non_pullback""]","[""Regional Banks"", ""Semiconductors"", ""Unknown""]",2,1,0,0,3
2026-04-02,TRACK_F__FCS_MAX1_NO_IND,2,"[""PFIS"", ""MRVL""]","[""confirmed_pullback"", ""confirmed_non_pullback""]","[""pullback"", ""non_pullback""]","[""Regional Banks"", ""Semiconductors""]",1,1,0,0,2
2026-04-10,B0_ORIGINAL,3,"[""SPIR"", ""FRAF"", ""HLIO""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_non_pullback""]","[""non_pullback"", ""non_pullback"", ""non_pullback""]","[""Unknown"", ""Regional Banks"", ""Industrial Machinery""]",3,0,0,0,3
