ticker,code,close,SMA10|1W,SMA40|1W,sector,industry
NYSE:ELV,ELV,396.21,339.75900000000024,335.8822500000001,Health Services,Managed Health Care
NYSE:SLB,SLB,57.28,53.315,43.54525000000003,Industrial Services,Contract Drilling
NASDAQ:CSX,CSX,45.94,43.155,38.13549999999999,Transportation,Railroads
NYSE:EPD,EPD,39.39,38.02699999999997,34.131249999999994,Industrial Services,Oil & Gas Pipelines
NASDAQ:MNST,MNST,86.88,78.59400000000008,74.523,Consumer Non-Durables,Beverages: Non-Alcoholic
NYSE:USB,USB,54.5,54.266999999999996,52.17024999999999,Finance,Major Banks
NYSE:JCI,JCI,137.75,138.47099999999995,123.20975000000001,Producer Manufacturing,Industrial Machinery
NYSE:UPS,UPS,98.87,101.01499999999996,98.57349999999983,Transportation,Air Freight/Couriers
NYSE:NGG,NGG,84.72,85.72600000000003,80.54875000000006,Utilities,Electric Utilities
NYSE:ING,ING,30.36,28.04400000000001,26.946249999999992,Finance,Major Banks
NASDAQ:ABNB,ABNB,135.55,134.122,128.67750000000007,Consumer Services,Hotels/Resorts/Cruise lines
NYSE:AMX,AMX,26.68,26.074999999999996,22.832999999999974,Communications,Wireless Telecommunications
NYSE:E,E,54.4,54.91299999999999,42.756499999999974,Energy Minerals,Oil Refining/Marketing
NYSE:SU,SU,67.83,65.35399999999998,50.86649999999999,Energy Minerals,Integrated Oil
NYSE:BE,BE,282.31,213.45300000000003,136.01224999999997,Electronic Technology,Electronic Production Equipment
NASDAQ:MDLZ,MDLZ,61.84,59.10799999999999,58.93387500000002,Consumer Non-Durables,Food: Specialty/Candy
NYSE:CIEN,CIEN,554.76,495.01300000000003,281.66325,Electronic Technology,Telecommunications Equipment
NASDAQ:NXPI,NXPI,310.15,243.36600000000016,226.19662500000004,Electronic Technology,Semiconductors
NASDAQ:RKLB,RKLB,134.28,87.175,68.696875,Electronic Technology,Aerospace & Defense
NYSE:CP,CP,86.34,82.81500000000003,77.63349999999998,Transportation,Railroads
NASDAQ:MPWR,MPWR,1553.27,1398.2220000000002,1087.1531249999998,Electronic Technology,Semiconductors
NYSE:EOG,EOG,141.63,137.95499999999998,119.32574999999997,Energy Minerals,Integrated Oil
NYSE:MPC,MPC,258.37,239.1039999999999,200.98925000000006,Energy Minerals,Oil Refining/Marketing
NYSE:VLO,VLO,253.77,242.90299999999993,193.44349999999991,Energy Minerals,Oil Refining/Marketing
NASDAQ:DDOG,DDOG,212.24,148.22900000000013,142.645125,Technology Services,Packaged Software
NYSE:KMI,KMI,33.59,32.744,29.524999999999995,Industrial Services,Oil & Gas Pipelines
NYSE:NET,NET,210.13,202.64999999999992,202.30775,Technology Services,Information Technology Services
NYSE:HLT,HLT,323.87,316.709,291.98650000000004,Consumer Services,Hotels/Resorts/Cruise lines
NYSE:TRP,TRP,70.09,64.62899999999999,57.80999999999999,Industrial Services,Oil & Gas Pipelines
NYSE:CL,CL,90.35,86.26400000000007,84.32325000000007,Consumer Non-Durables,Household/Personal Care
NYSE:PSX,PSX,179.34,172.17199999999997,148.19399999999996,Energy Minerals,Oil Refining/Marketing
NYSE:CNI,CNI,114.8,108.91900000000001,101.19324999999998,Transportation,Railroads
NASDAQ:ROST,ROST,217.79,220.33999999999986,185.459,Retail Trade,Apparel/Footwear Retail
NYSE:COHR,COHR,358.5,314.959,202.189,Electronic Technology,Semiconductors
NASDAQ:AEP,AEP,128.87,131.42199999999997,121.88912500000006,Utilities,Electric Utilities
NYSE:NSC,NSC,311.84,302.6419999999997,294.39775000000003,Transportation,Railroads
NYSE:ET,ET,20.16,19.43300000000001,17.856999999999996,Industrial Services,Oil & Gas Pipelines
NASDAQ:WBD,WBD,27.42,27.226999999999986,24.465374999999987,Consumer Services,Cable/Satellite TV
NYSE:GM,GM,76.14,75.96900000000001,72.88024999999999,Consumer Durables,Motor Vehicles
NYSE:B,B,40.94,40.881000000000014,39.79875,Non-Energy Minerals,Precious Metals
NASDAQ:LITE,LITE,868.07,860.1469999999999,457.0690000000001,Producer Manufacturing,Electrical Products
NYSE:DLR,DLR,190.65,189.80700000000007,172.81500000000003,Finance,Real Estate Investment Trusts
NYSE:VALE,VALE,16.35,16.266,13.833000000000002,Non-Energy Minerals,Steel
NYSE:SPG,SPG,204.1,197.00200000000012,188.41849999999997,Finance,Real Estate Investment Trusts
NASDAQ:BKR,BKR,66.79,63.94200000000002,53.90300000000002,Industrial Services,Contract Drilling
NYSE:TRV,TRV,306.96,298.6139999999998,287.90475000000026,Finance,Property/Casualty Insurance
NYSE:ASX,ASX,31.69,28.18399999999999,18.938,Electronic Technology,Semiconductors
NYSE:MFC,MFC,38.7,37.18000000000002,34.99099999999998,Finance,Life/Health Insurance
AMEX:IMO,IMO,133.84,128.74200000000002,105.04100000000003,Energy Minerals,Integrated Oil
NYSE:FIX,FIX,1835.51,1675.7779999999998,1168.34025,Industrial Services,Engineering & Construction
NYSE:APD,APD,289.19,294.00800000000004,274.409,Process Industries,Chemicals: Specialty
NYSE:TFC,TFC,48.0,48.175,47.70375000000003,Finance,Regional Banks
NYSE:SRE,SRE,91.46,94.09300000000003,90.80624999999989,Utilities,Gas Distributors
NYSE:AFL,AFL,117.22,112.29600000000002,110.86125000000007,Finance,Multi-Line Insurance
NYSE:D,D,67.73,62.75499999999996,61.39850000000001,Utilities,Electric Utilities
NASDAQ:PCAR,PCAR,111.64,117.51199999999994,111.29175000000001,Producer Manufacturing,Trucks/Construction/Farm Machinery
NYSE:GWW,GWW,1244.05,1159.8319999999992,1056.0565,Distribution Services,Wholesale Distributors
NYSE:KEYS,KEYS,342.08,325.711,232.70249999999993,Electronic Technology,Electronic Equipment/Instruments
NYSE:OXY,OXY,58.87,58.81099999999998,48.39125000000002,Energy Minerals,Integrated Oil
NYSE:TRGP,TRGP,270.69,249.63899999999998,200.09775000000005,Utilities,Gas Distributors
NYSE:OKE,OKE,92.15,88.86800000000001,78.55200000000005,Industrial Services,Oil & Gas Pipelines
NYSE:O,O,62.24,62.51099999999999,60.64950000000003,Finance,Real Estate Investment Trusts
NYSE:WPM,WPM,127.16,133.38000000000005,122.31075000000001,Non-Energy Minerals,Precious Metals
NYSE:CVE,CVE,30.53,27.413,20.6155,Energy Minerals,Integrated Oil
NASDAQ:FANG,FANG,204.33,195.5764999999998,163.66037499999996,Energy Minerals,Oil & Gas Production
NYSE:ALL,ALL,221.98,212.44799999999995,206.81924999999995,Finance,Multi-Line Insurance
NYSE:MPLX,MPLX,55.44,56.02099999999998,54.135500000000036,Industrial Services,Oil & Gas Pipelines
NYSE:DVN,DVN,48.46,48.42999999999999,40.12125000000001,Energy Minerals,Integrated Oil
NYSE:TGT,TGT,122.33,123.05499999999988,105.35700000000001,Retail Trade,Specialty Stores
NASDAQ:CRWV,CRWV,101.28,100.92499999999998,98.42725,Technology Services,Packaged Software
NYSE:STM,STM,64.93,47.31500000000001,32.567499999999995,Electronic Technology,Semiconductors
NASDAQ:TER,TER,344.34,344.99099999999993,233.41387500000002,Electronic Technology,Electronic Production Equipment
NYSE:PSA,PSA,302.87,293.258,287.7604999999998,Finance,Real Estate Investment Trusts
NASDAQ:EBAY,EBAY,118.96,101.59399999999997,91.98599999999995,Retail Trade,Internet Retail
NYSE:CARR,CARR,63.59,61.636999999999986,59.34399999999998,Producer Manufacturing,Industrial Machinery
NYSE:CTVA,CTVA,78.8,81.17399999999998,72.40875000000003,Process Industries,Agricultural Commodities/Milling
NYSE:TAK,TAK,16.68,17.338000000000005,16.01850000000001,Health Technology,Pharmaceuticals: Major
NYSE:AME,AME,224.71,225.65100000000007,209.1124999999998,Producer Manufacturing,Electrical Products
NYSE:NUE,NUE,225.67,199.692,168.29875000000018,Non-Energy Minerals,Steel
NYSE:ETR,ETR,111.93,111.92899999999993,99.66324999999996,Utilities,Electric Utilities
NYSE:LNG,LNG,243.66,262.83299999999997,229.79874999999993,Industrial Services,Oil & Gas Pipelines
NASDAQ:MCHP,MCHP,94.02,81.124,69.98887500000009,Electronic Technology,Semiconductors
NASDAQ:EA,EA,201.59,202.01199999999997,197.82674999999998,Technology Services,Packaged Software
NASDAQ:XEL,XEL,79.86,79.79600000000005,78.27700000000006,Utilities,Electric Utilities
NASDAQ:ALAB,ALAB,287.48,180.42200000000005,170.75424999999996,Electronic Technology,Semiconductors
NYSE:DAL,DAL,74.12,68.96799999999999,65.13949999999997,Transportation,Airlines
NYSE:ROK,ROK,436.23,403.0829999999998,384.95025000000004,Producer Manufacturing,Electrical Products
NASDAQ:FER,FER,67.41,67.68999999999997,64.97874999999996,Industrial Services,Engineering & Construction
NASDAQ:FLEX,FLEX,131.52,94.82600000000005,69.42049999999999,Electronic Technology,Electronic Production Equipment
NASDAQ:NBIS,NBIS,191.82,151.983,110.66574999999997,Technology Services,Packaged Software
NYSE:AU,AU,92.8,97.29100000000003,87.30999999999999,Non-Energy Minerals,Precious Metals
NYSE:CAH,CAH,199.23,203.114,194.26750000000004,Distribution Services,Medical Distributors
NYSE:GRMN,GRMN,237.47,242.96000000000004,227.7224999999999,Electronic Technology,Telecommunications Equipment
NYSE:CCJ,CCJ,104.02,112.577,100.39925000000002,Non-Energy Minerals,Other Metals/Minerals
NYSE:HPE,HPE,33.8,27.65500000000001,24.13775000000001,Electronic Technology,Computer Processing Hardware
NYSE:UMC,UMC,17.56,12.357,9.260250000000001,Electronic Technology,Semiconductors
NASDAQ:FITB,FITB,48.86,48.11199999999999,46.88374999999998,Finance,Regional Banks
NYSE:MT,MT,63.16,57.490999999999985,48.154749999999986,Non-Energy Minerals,Steel
NYSE:VTR,VTR,88.6,85.269,78.56024999999998,Finance,Real Estate Investment Trusts
NYSE:WAB,WAB,259.13,258.24799999999993,226.33324999999996,Producer Manufacturing,Trucks/Construction/Farm Machinery
NASDAQ:ODFL,ODFL,209.83,203.3440000000002,170.309375,Transportation,Trucking
NYSE:WDS,WDS,22.75,23.310000000000002,18.511999999999993,Energy Minerals,Oil & Gas Production
NYSE:FNV,FNV,225.19,238.9729999999999,223.49950000000004,Non-Energy Minerals,Precious Metals
NASDAQ:ON,ON,110.21,85.94099999999993,62.71962500000003,Electronic Technology,Semiconductors
NYSE:STT,STT,154.07,141.72899999999998,126.48325,Finance,Investment Banks/Brokers
NYSE:KR,KR,68.68,69.029,67.02299999999994,Retail Trade,Food Retail
NASDAQ:CCEP,CCEP,93.28,94.14200000000001,92.91249999999998,Consumer Non-Durables,Beverages: Non-Alcoholic
NASDAQ:SATS,SATS,141.8,126.23900000000003,98.9105,Communications,Specialty Telecommunications
NYSE:SLF,SLF,73.02,68.146,63.20099999999998,Finance,Multi-Line Insurance
NYSE:CLS,CLS,346.48,350.12,297.99375,Electronic Technology,Electronic Components
NASDAQ:GFS,GFS,70.79,57.608999999999995,42.9015,Electronic Technology,Semiconductors
NYSE:TEVA,TEVA,34.32,32.07000000000001,27.746,Health Technology,Pharmaceuticals: Generic
NYSE:ED,ED,106.3,109.77900000000007,104.13274999999994,Utilities,Electric Utilities
NYSE:IX,IX,38.63,32.447000000000024,29.490500000000004,Finance,Finance/Rental/Leasing
NYSE:LYV,LYV,164.44,157.894,152.76875000000013,Consumer Services,Movies/Entertainment
NYSE:EME,EME,853.15,828.39,708.5210000000001,Industrial Services,Engineering & Construction
NYSE:PUK,PUK,31.25,30.048000000000037,29.399750000000004,Finance,Multi-Line Insurance
CBOE:CBOE,CBOE,360.92,314.6059999999999,271.67775000000006,Finance,Investment Banks/Brokers
NYSE:HIG,HIG,136.69,135.11199999999997,134.16825,Finance,Property/Casualty Insurance
NYSE:IRM,IRM,125.81,115.15900000000003,100.84500000000006,Finance,Real Estate Investment Trusts
NYSE:ADM,ADM,77.55,72.878,65.33674999999991,Process Industries,Agricultural Commodities/Milling
NYSE:VIK,VIK,83.12,78.71500000000002,69.79125000000002,Consumer Services,Hotels/Resorts/Cruise lines
NYSE:JBL,JBL,345.15,312.8709999999999,247.83550000000005,Producer Manufacturing,Industrial Machinery
NYSE:EQT,EQT,57.83,59.66600000000001,56.716499999999996,Energy Minerals,Integrated Oil
NASDAQ:ESLT,ESLT,768.84,843.1595,647.050375,Electronic Technology,Aerospace & Defense
NYSE:KB,KB,104.07,105.71599999999997,93.2605,Finance,Regional Banks
NYSE:HAL,HAL,42.3,39.576999999999984,31.109500000000004,Industrial Services,Oilfield Services/Equipment
NYSE:QSR,QSR,76.53,76.94699999999999,70.37724999999998,Consumer Services,Restaurants
NASDAQ:VOD,VOD,15.24,15.309999999999997,13.520999999999997,Communications,Wireless Telecommunications
NYSE:CHT,CHT,43.98,42.94099999999994,42.79399999999997,Communications,Major Telecommunications
NASDAQ:ASTS,ASTS,89.58,83.724,76.83912500000001,Communications,Specialty Telecommunications
NYSE:KGC,KGC,28.62,30.635,28.478500000000004,Non-Energy Minerals,Precious Metals
NASDAQ:ACGL,ACGL,96.84,95.06499999999993,93.62924999999996,Finance,Multi-Line Insurance
NASDAQ:CRDO,CRDO,182.98,150.3445,144.00475,Technology Services,Information Technology Services
NYSE:NTR,NTR,70.11,72.701,65.33200000000001,Process Industries,Chemicals: Agricultural
NASDAQ:STLD,STLD,228.3,205.481,173.35699999999997,Non-Energy Minerals,Steel
NYSE:TS,TS,60.69,59.998000000000005,45.74025000000003,Non-Energy Minerals,Steel
NASDAQ:RVMD,RVMD,150.33,124.50500000000002,86.8955,Health Technology,Pharmaceuticals: Other
NASDAQ:CASY,CASY,852.51,781.0399999999998,629.0032500000001,Retail Trade,Specialty Stores
NYSE:CQP,CQP,64.67,64.05199999999999,57.34625000000002,Utilities,Gas Distributors
NYSE:MTB,MTB,210.42,210.67700000000005,204.59725000000006,Finance,Regional Banks
NASDAQ:NTRS,NTRS,165.96,154.309,140.50649999999996,Finance,Investment Managers
NASDAQ:RPRX,RPRX,53.06,49.37299999999999,41.977999999999994,Health Technology,Pharmaceuticals: Major
NYSE:MTZ,MTZ,384.21,369.188,259.9185,Industrial Services,Engineering & Construction
NYSE:AEE,AEE,108.69,110.14200000000008,105.35800000000003,Utilities,Electric Utilities
NYSE:TECK,TECK,61.22,56.818,48.493500000000026,Non-Energy Minerals,Other Metals/Minerals
NYSE:DTE,DTE,142.77,144.95599999999996,139.39749999999998,Utilities,Electric Utilities
NASDAQ:TSEM,TSEM,264.48,213.142,128.4625,Electronic Technology,Semiconductors
NYSE:ATO,ATO,176.0,183.68900000000002,175.36774999999992,Utilities,Gas Distributors
NASDAQ:ZM,ZM,99.42,90.82000000000005,85.84200000000014,Technology Services,Packaged Software
NYSE:FTI,FTI,72.25,71.59299999999999,53.28425,Industrial Services,Oilfield Services/Equipment
NYSE:CNC,CNC,58.28,44.465000000000025,39.71124999999994,Health Services,Managed Health Care
NYSE:TWLO,TWLO,189.33,154.92600000000002,128.58025000000004,Technology Services,Packaged Software
NASDAQ:MTSI,MTSI,375.71,290.07900000000006,203.281625,Electronic Technology,Semiconductors
NYSE:SHG,SHG,64.22,65.275,57.48599999999999,Finance,Major Banks
NYSE:PBA,PBA,49.26,45.60300000000002,41.278499999999994,Industrial Services,Oil & Gas Pipelines
NYSE:TDY,TDY,614.2,625.5360000000001,581.7505000000003,Electronic Technology,Aerospace & Defense
NYSE:DOV,DOV,210.98,214.9689999999999,197.82274999999987,Producer Manufacturing,Industrial Machinery
NYSE:FTS,FTS,55.88,56.218999999999994,53.23049999999993,Utilities,Electric Utilities
NYSE:TPL,TPL,402.53,436.2379999999997,367.4019452115003,Miscellaneous,Investment Trusts/Mutual Funds
NYSE:CRCL,CRCL,111.62,104.25500000000004,100.71674999999999,Technology Services,Packaged Software
NASDAQ:BIIB,BIIB,187.8,183.86000000000024,171.1545,Health Technology,Pharmaceuticals: Major
NYSE:CNP,CNP,42.24,42.581,40.30675,Utilities,Electric Utilities
NASDAQ:VRSN,VRSN,303.0,271.23600000000033,256.41025,Technology Services,Internet Software/Services
NYSE:TPR,TPR,135.79,141.42900000000003,127.14399999999998,Retail Trade,Apparel/Footwear Retail
NYSE:CW,CW,726.65,709.0230000000003,613.4435000000002,Electronic Technology,Aerospace & Defense
NYSE:EIX,EIX,69.74,70.65700000000002,63.02225000000003,Utilities,Electric Utilities
NYSE:CFG,CFG,62.83,62.004000000000005,57.75949999999998,Finance,Major Banks
NYSE:BAP,BAP,333.27,329.11099999999993,298.6977500000001,Finance,Major Banks
NYSE:NVT,NVT,161.86,141.84,113.92425000000003,Electronic Technology,Electronic Components
NYSE:DOW,DOW,36.27,38.432,28.980249999999995,Process Industries,Chemicals: Specialty
NASDAQ:CINF,CINF,168.53,162.1460000000001,161.47025000000008,Finance,Multi-Line Insurance
NYSE:STZ,STZ,151.18,153.12099999999995,147.1224999999999,Consumer Non-Durables,Beverages: Alcoholic
