horizon,segment,rank_position,sample_weeks,mean_return_pct,median_return_pct,p25_return_pct,p75_return_pct,positive_return_rate_pct,stop8_before_p20_rate_pct,stop8_ever_rate_pct,gap_stop_rate_pct,profit20_hit_rate_pct,mean_max_gain_pct,median_max_gain_pct,mean_asof_return_pct,median_asof_return_pct,mean_asof_drawdown_pct,median_asof_drawdown_pct,horizon_status
W3,Late half,Rank2,11,-1.4385,-0.3405,-4.7225,1.6711,36.36,27.27,27.27,0.0,18.18,2.2194,3.969,1.7871,-1.0723,-7.6969,-6.6391,DIAGNOSTIC_ONLY
W3,Late half,Rank3,11,1.0787,-0.3221,-1.649,3.1661,45.45,27.27,27.27,0.0,27.27,5.2277,4.6162,2.4054,-0.203,-8.9065,-4.4286,DIAGNOSTIC_ONLY
W4,All common-support weeks,Rank1,23,3.3178,2.8094,-2.5495,9.5386,60.87,39.13,43.48,8.7,39.13,6.6971,4.3958,13.1611,10.456,-12.0079,-7.3537,PRIMARY
W4,All common-support weeks,Rank2,23,2.0222,0.917,-7.3841,3.1349,56.52,43.48,43.48,4.35,26.09,5.5846,3.5956,8.3316,1.7657,-13.3763,-7.5487,PRIMARY
W4,All common-support weeks,Rank3,23,2.3465,3.8111,-2.3136,7.6651,69.57,34.78,39.13,4.35,52.17,7.903,8.0396,16.9791,5.8776,-11.1586,-4.6984,PRIMARY
W4,Train-era weeks 1-30,Rank1,15,3.6094,2.6557,-3.5002,8.6973,60.0,46.67,53.33,6.67,46.67,6.5012,4.1503,18.3553,10.5853,-12.8319,-8.9744,PRIMARY
W4,Train-era weeks 1-30,Rank2,15,4.1516,0.917,-5.1813,3.1091,60.0,46.67,46.67,6.67,26.67,7.6749,4.4978,11.5819,1.7657,-15.9675,-7.5589,PRIMARY
W4,Train-era weeks 1-30,Rank3,15,4.029,4.2077,-1.0432,10.3754,73.33,33.33,40.0,6.67,73.33,9.1662,8.6383,27.0082,11.959,-11.196,-4.4283,PRIMARY
W4,Contaminated validation weeks 31-40,Rank1,8,2.7711,3.4986,-1.7833,13.5261,62.5,25.0,25.0,12.5,25.0,7.0642,7.3679,3.4221,0.7664,-10.4629,-6.3973,PRIMARY
W4,Contaminated validation weeks 31-40,Rank2,8,-1.9704,0.5779,-8.6623,3.3749,50.0,37.5,37.5,0.0,25.0,1.6655,1.792,2.2372,2.3014,-8.5178,-6.4125,PRIMARY
W4,Contaminated validation weeks 31-40,Rank3,8,-0.808,2.9802,-2.4125,4.3946,62.5,37.5,37.5,0.0,12.5,5.5345,6.5227,-1.8254,-0.645,-11.0886,-4.7082,PRIMARY
W4,Early half,Rank1,13,5.7651,3.6338,-1.3284,9.1932,69.23,38.46,46.15,7.69,53.85,8.1398,4.1503,22.9866,12.1438,-11.9263,-6.7509,PRIMARY
W4,Early half,Rank2,13,4.1354,0.3483,-7.9693,1.5779,53.85,53.85,53.85,7.69,30.77,8.0155,2.088,13.006,1.7657,-17.7006,-9.2331,PRIMARY
W4,Early half,Rank3,13,3.6048,4.2077,-3.5401,10.9901,69.23,38.46,46.15,7.69,69.23,9.1593,8.6383,27.9112,11.959,-12.3243,-7.9156,PRIMARY
W4,Late half,Rank1,10,0.1364,0.5209,-3.2561,11.0462,50.0,40.0,40.0,10.0,20.0,4.8214,5.0672,0.388,-1.1276,-12.114,-7.5425,PRIMARY
W4,Late half,Rank2,10,-0.725,2.497,-5.3673,4.4898,60.0,30.0,30.0,0.0,20.0,2.4246,4.0585,2.2548,2.3014,-7.7548,-6.3594,PRIMARY
W4,Late half,Rank3,10,0.7108,3.7888,-0.2668,4.5755,70.0,30.0,30.0,0.0,30.0,6.2697,6.5227,2.7675,1.5465,-9.6432,-4.5635,PRIMARY
