snapshot_date,total_candidates,n_draws,seed,valid_draw_pct,w1_valid_draw_pct,w2_valid_draw_pct,w3_valid_draw_pct,w4_valid_draw_pct,w1_mean_return_pct_p05,w1_mean_return_pct_p25,w1_mean_return_pct_p50,w1_mean_return_pct_p75,w1_mean_return_pct_p95,w1_mean_max_gain_pct_p05,w1_mean_max_gain_pct_p25,w1_mean_max_gain_pct_p50,w1_mean_max_gain_pct_p75,w1_mean_max_gain_pct_p95,w2_mean_return_pct_p05,w2_mean_return_pct_p25,w2_mean_return_pct_p50,w2_mean_return_pct_p75,w2_mean_return_pct_p95,w3_mean_return_pct_p05,w3_mean_return_pct_p25,w3_mean_return_pct_p50,w3_mean_return_pct_p75,w3_mean_return_pct_p95,w4_mean_return_pct_p05,w4_mean_return_pct_p25,w4_mean_return_pct_p50,w4_mean_return_pct_p75,w4_mean_return_pct_p95,asof_mean_return_pct_p05,asof_mean_return_pct_p25,asof_mean_return_pct_p50,asof_mean_return_pct_p75,asof_mean_return_pct_p95,asof_mean_exec_return_pct_p05,asof_mean_exec_return_pct_p25,asof_mean_exec_return_pct_p50,asof_mean_exec_return_pct_p75,asof_mean_exec_return_pct_p95,asof_mean_max_gain_pct_p05,asof_mean_max_gain_pct_p25,asof_mean_max_gain_pct_p50,asof_mean_max_gain_pct_p75,asof_mean_max_gain_pct_p95,asof_worst_return_pct_p05,asof_worst_return_pct_p25,asof_worst_return_pct_p50,asof_worst_return_pct_p75,asof_worst_return_pct_p95,asof_stop8_count_p05,asof_stop8_count_p25,asof_stop8_count_p50,asof_stop8_count_p75,asof_stop8_count_p95,b0_actual_asof_mean_return_pct,b0_actual_asof_mean_exec_return_pct,b0_actual_asof_mean_max_gain_pct,b0_actual_w1_mean_return_pct,b0_actual_stop8_count,b0_asof_return_percentile,b0_asof_exec_return_percentile,b0_w1_return_percentile
2026-03-13,10,1000,60355,100.0,100.0,100.0,100.0,100.0,-4.7266,-2.8625,-0.9032,2.9519,6.9359,1.1816,2.8105,6.5725,9.9725,14.4862,-10.4472,-4.9681,-1.7113,2.0082,6.0005,-7.6728,-3.0102,-0.5211,3.3436,10.7671,-7.735,-3.0649,0.7265,4.627,10.493,-22.5865,-10.4323,24.4344,35.4986,76.0786,-8.2323,-8.0,-2.4734,16.6758,22.4347,7.5567,15.3642,66.6057,90.2432,145.2438,-30.8346,-30.8346,-23.2253,-19.844,-13.6996,1.0,2.0,2.0,3.0,3.0,66.7243,66.7243,170.3287,19.1609,0.0,92.3,100.0,100.0
2026-03-20,8,1000,60362,100.0,100.0,100.0,100.0,100.0,-5.5291,-3.6391,-1.6104,0.9358,3.4837,4.1633,5.9267,7.0059,8.2442,10.1228,-3.7174,-0.2937,1.6197,4.2509,6.6469,-15.1065,-4.4159,3.7885,7.8865,18.7838,-10.7978,1.6236,7.6106,17.778,25.2272,-24.5759,-1.3225,11.9382,28.2641,46.7665,-8.7214,-8.7214,-8.0,-8.0,-8.0,33.1417,69.0665,84.825,106.3623,133.5489,-40.686,-40.686,-21.3863,-17.1823,-0.9039,3.0,3.0,3.0,3.0,3.0,-15.8594,-8.0,26.9219,-5.1562,1.0,12.4,100.0,8.8
2026-03-27,10,1000,60369,100.0,100.0,100.0,100.0,100.0,-0.5343,1.5097,3.1169,4.3639,5.8654,1.8345,3.1834,4.3073,5.6234,7.1701,2.3284,5.6194,8.0612,10.4136,13.6534,-0.41,4.9717,8.8052,12.7531,15.9825,3.8798,8.5785,11.658,17.0231,21.7507,5.4198,13.3103,21.1248,54.7983,70.2941,-2.2448,4.1096,11.3619,17.5658,25.3062,15.8124,24.8636,31.0674,76.7272,91.1927,-13.2822,-13.2822,-2.224,9.5902,26.1023,0.0,1.0,1.0,2.0,2.0,88.5593,6.0102,114.5965,2.6171,1.0,100.0,35.0,42.7
2026-04-02,45,1000,60444,92.8,92.8,92.8,92.8,92.8,-1.292,1.6637,3.5089,5.6706,9.3816,3.3861,5.1225,6.7285,8.8015,12.4145,-0.0307,3.92,6.8643,10.7635,15.7703,-1.6057,2.2045,5.0947,11.1184,20.5763,-2.2708,2.185,6.3636,12.6291,24.0545,-11.5367,1.6309,10.5646,19.3425,41.9523,-8.0,-0.5533,7.0328,15.9595,40.6163,14.6644,21.9565,28.684,42.9706,83.2095,-39.9499,-31.0869,-5.5114,4.5187,16.1462,0.0,1.0,1.0,2.0,3.0,46.2885,46.3438,81.5378,9.1259,1.0,96.44,98.28,93.97
2026-04-10,69,1000,60452,100.0,100.0,100.0,100.0,100.0,-1.8807,1.4366,3.2688,5.5533,10.0005,2.0509,3.5564,5.2578,7.7059,13.3492,-4.2072,0.6037,4.2537,8.2746,15.9366,-6.1371,-0.4694,4.9017,10.0758,21.6984,-7.1914,-0.3394,6.1088,15.4947,34.6428,-16.4542,-5.1436,3.4948,14.9686,34.0454,-8.98,-4.4992,0.5696,10.0189,31.8601,9.9323,19.2961,32.1697,54.7097,88.1046,-38.5272,-32.1006,-13.5372,-5.3083,10.8426,0.0,1.0,2.0,2.0,3.0,-6.3508,3.443,22.6577,-3.8814,1.0,21.9,60.2,1.3
2026-04-17,96,1000,60459,92.2,92.2,92.2,92.2,92.2,-5.1515,-2.6297,-0.5972,1.6046,5.7837,1.1671,2.3376,3.7418,5.7294,10.9088,-6.3449,-2.9299,0.0412,3.2109,10.4302,-8.9437,-2.649,1.3617,7.0266,20.601,-12.2333,-5.0007,-0.1294,6.7781,21.1231,-13.4857,-2.2002,5.3008,12.8172,34.638,-8.8171,-7.3705,-0.5282,4.2667,15.8597,8.8149,16.2392,23.4989,35.9108,60.2417,-33.5948,-23.839,-11.119,0.405,12.9445,1.0,1.0,2.0,2.0,3.0,33.0139,-0.7424,53.1875,-2.141,2.0,94.25,47.83,30.48
2026-04-24,80,1000,60466,84.0,84.0,84.0,84.0,84.0,-14.5336,-3.2375,-0.735,1.4832,4.7081,1.1127,2.3344,3.5269,5.1279,8.6019,-15.7824,-3.9787,0.6784,5.3819,22.7787,-15.763,-4.588,1.1955,9.7305,25.0394,-12.7945,-2.7799,3.4364,13.768,30.4115,-24.1512,-10.8444,-3.4094,4.5488,21.2908,-9.4786,-8.0,-3.1149,1.8748,11.1368,9.8449,17.8868,27.7974,46.7408,68.3052,-52.3441,-34.5015,-23.6593,-10.4729,2.9541,1.0,2.0,2.0,3.0,3.0,5.2937,4.6882,26.9095,5.3292,1.0,77.02,82.98,95.71
2026-05-01,105,1000,60543,91.2,91.2,91.2,91.2,91.2,-4.1528,-0.7724,1.2954,3.8264,7.9071,1.9926,3.4283,4.8077,6.6249,10.4012,-5.1347,-1.706,0.3564,2.9043,8.8283,-7.1962,-1.4364,1.2511,4.4325,13.1829,-8.794,-3.6898,-0.4058,3.1399,9.6396,-8.7483,0.0698,7.2258,14.7216,29.5063,-8.1829,-3.3315,2.0804,8.6223,22.3974,9.0428,14.6899,20.3554,27.1671,51.0229,-31.369,-13.1938,-5.3888,-0.7075,10.9713,0.0,1.0,2.0,2.0,3.0,7.7406,6.3363,15.5175,1.7055,1.0,51.43,69.96,55.15
2026-05-08,128,1000,60550,92.2,92.2,92.2,92.2,92.2,-9.7866,-4.4855,-2.1124,0.6106,6.7236,0.8843,2.2252,4.0909,6.6354,12.5703,-8.762,-3.3816,-0.3632,2.7403,10.4522,-9.6164,-3.0812,0.1219,4.2476,11.3821,-14.6389,-5.153,-0.8713,3.158,10.2546,-23.5499,-10.168,-0.7385,8.5646,22.8988,-8.5455,-8.0,-2.6487,2.0519,11.1089,11.0745,17.4295,22.7926,29.3701,48.8391,-61.2353,-36.4791,-17.6091,-6.8579,7.8589,1.0,2.0,2.0,3.0,3.0,13.3305,13.7758,29.9463,1.0008,1.0,86.01,97.18,77.77
2026-05-15,66,1000,60557,92.0,92.0,92.0,92.0,92.0,-9.8716,-2.7018,-0.767,0.8973,3.1583,1.0593,2.1056,3.0299,4.4666,6.935,-13.3935,-5.0085,-1.7165,1.9863,7.2396,-14.7391,-7.2349,-2.7642,1.2304,6.7871,-12.9219,-4.6998,0.3176,4.5032,11.236,-25.9374,-11.165,-1.5572,8.4916,24.4356,-8.0,-6.0658,-1.158,4.1634,12.9921,8.6308,14.1123,19.5146,26.1709,45.2461,-64.9977,-48.5688,-18.4204,-5.6423,8.2026,1.0,1.0,2.0,2.0,3.0,2.7539,2.7539,19.3921,-0.0998,0.0,61.52,68.7,60.0
2026-05-22,87,1000,60564,92.3,92.3,92.3,92.3,92.3,-3.5143,-0.8869,0.5806,2.3256,8.8301,1.3503,2.6554,4.0099,6.2249,14.0643,-8.2614,-2.8073,-0.2664,2.4005,7.6757,-6.7129,0.823,4.7789,8.4399,14.932,-8.4256,-0.706,4.228,8.5531,16.771,-17.2753,-5.6933,1.906,7.7372,14.5373,-8.0,-2.4716,1.5522,6.1131,13.3733,9.9628,14.4184,19.0087,25.5858,34.3941,-44.1238,-30.3155,-9.4779,-0.2512,7.2189,0.0,1.0,1.0,2.0,3.0,0.0101,2.1649,14.5372,-0.6715,1.0,43.88,53.09,27.74
