snapshot_date,b0_picks_count,l0_pool_size,l1_pool_size,l0_valid_draws_count,l0_valid_draws_pct,l0_is_low_confidence,l1_valid_draws_count,l1_valid_draws_pct,l1_is_low_confidence,l2_executed_ret,l2_w1_ret,l2_w2_ret,l2_w3_ret,l2_w4_ret,l2_stop8_before_p20,l2_stop8_ever,l0_executed_ret_med,l0_executed_ret_p25,l0_executed_ret_p75,l0_w1_ret_med,l0_w2_ret_med,l0_w4_ret_med,l0_stop8_before_p20_med,l1_executed_ret_med,l1_executed_ret_p25,l1_executed_ret_p75,l1_w1_ret_med,l1_w2_ret_med,l1_w4_ret_med,l1_stop8_before_p20_med,total_alpha_exec_w,screening_alpha_exec_w,ranking_alpha_exec_w,total_alpha_w1_w,screening_alpha_w1_w,ranking_alpha_w1_w,total_alpha_w2_w,screening_alpha_w2_w,ranking_alpha_w2_w,total_alpha_w4_w,screening_alpha_w4_w,ranking_alpha_w4_w,win_l2_gt_l0_exec,win_l2_gt_l1_exec,win_l1_gt_l0_exec,win_l2_gt_l0_w1,win_l2_gt_l1_w1,win_l1_gt_l0_w1,win_l2_gt_l0_w2,win_l2_gt_l1_w2,win_l1_gt_l0_w2,win_l2_gt_l0_w4,win_l2_gt_l1_w4,win_l1_gt_l0_w4
2026-03-27,2,10,2,1000,100.0,False,1000,100.0,False,6.010249999999999,-1.84815,-2.2163,-1.0556999999999999,2.0894500000000003,0.5,0.5,11.3619,5.436466666666668,17.624966666666666,2.1254000000000004,7.163766666666667,6.913583333333333,0.3333333333333333,6.010249999999999,6.010249999999999,6.010249999999999,-1.84815,-2.2163,2.0894500000000003,0.5,-5.351650000000001,-5.351650000000001,0.0,-3.9735500000000004,-3.9735500000000004,0.0,-9.380066666666666,-9.380066666666666,0.0,-4.824133333333333,-4.824133333333333,0.0,False,False,False,False,False,False,False,False,False,False,False,False
2026-04-02,3,45,3,931,93.1,False,1000,100.0,False,46.343766666666674,9.125866666666667,13.6653,18.964499999999997,18.650966666666665,0.3333333333333333,0.3333333333333333,7.520066666666666,-0.4920666666666668,16.867816666666666,3.317133333333333,5.6663,5.2296000000000005,0.3333333333333333,46.343766666666674,46.343766666666674,46.343766666666674,9.125866666666667,13.6653,18.650966666666665,0.3333333333333333,38.82370000000001,38.82370000000001,0.0,5.808733333333334,5.808733333333334,0.0,7.9990000000000006,7.9990000000000006,0.0,13.421366666666664,13.421366666666664,0.0,True,False,True,True,False,True,True,False,True,True,False,True
2026-04-10,3,69,6,1000,100.0,False,1000,100.0,False,3.4430333333333336,-2.6203333333333334,-4.3203000000000005,-4.0883666666666665,-2.6354333333333333,0.3333333333333333,0.3333333333333333,2.008366666666666,-3.672966666666667,11.491341666666667,3.0785,3.9959666666666664,6.427549999999999,0.3333333333333333,3.437,-1.848,3.4430333333333336,-0.9089666666666668,-2.5459333333333336,-2.6354333333333333,0.3333333333333333,1.4346666666666676,1.4286333333333339,0.006033333333333779,-5.698833333333333,-3.9874666666666667,-1.7113666666666667,-8.316266666666667,-6.5419,-1.7743666666666669,-9.062983333333332,-9.062983333333332,0.0,True,True,True,False,False,False,False,False,False,False,False,False
2026-04-17,3,96,5,942,94.2,False,1000,100.0,False,-0.7424333333333332,-2.141033333333333,-2.0818999999999996,-0.49826666666666686,-1.3135666666666665,0.6666666666666666,0.6666666666666666,-0.5281666666666668,-7.200399999999999,4.103933333333334,-1.0474333333333332,-1.1478833333333334,-1.0285833333333336,0.6666666666666666,4.149033333333334,0.7794000000000002,8.036966666666666,0.06553333333333351,-2.0818999999999996,-0.2835000000000001,0.3333333333333333,-0.21426666666666638,4.6772,-4.891466666666667,-1.0936,1.1129666666666667,-2.206566666666667,-0.9340166666666663,-0.9340166666666663,0.0,-0.2849833333333329,0.7450833333333335,-1.0300666666666665,False,False,True,False,False,True,False,False,False,False,False,True
2026-04-24,3,80,12,849,84.9,False,1000,100.0,False,4.6881666666666675,5.329233333333333,9.736500000000001,6.513866666666666,8.889566666666667,0.0,0.3333333333333333,-2.3432333333333335,-8.0,2.8587000000000002,-1.4245333333333334,-0.9024000000000001,-1.3998,0.6666666666666666,3.845,-1.2853999999999999,6.1668666666666665,0.5342333333333332,0.5874,-1.3838666666666664,0.3333333333333333,7.031400000000001,6.188233333333334,0.8431666666666673,6.7537666666666665,1.9587666666666665,4.795,10.638900000000001,1.4898000000000002,9.1491,10.289366666666666,0.015933333333333577,10.273433333333333,True,True,True,True,True,True,True,True,True,True,True,True
2026-05-01,3,105,22,923,92.3,False,1000,100.0,False,6.336266666666667,1.7055,0.048166666666666615,0.6569666666666666,1.3355333333333332,0.3333333333333333,0.3333333333333333,1.2592333333333332,-3.9362333333333335,7.88955,0.9200666666666665,-0.2867,-1.0822333333333332,0.6666666666666666,0.7840666666666666,-6.775833333333334,4.370875000000001,-1.5558666666666667,-1.9215166666666668,-3.061733333333333,0.6666666666666666,5.0770333333333335,-0.4751666666666666,5.5522,0.7854333333333335,-2.4759333333333333,3.2613666666666665,0.33486666666666665,-1.6348166666666668,1.9696833333333335,2.417766666666666,-1.9795,4.397266666666667,True,True,False,True,True,False,True,True,False,True,True,False
2026-05-08,3,128,20,903,90.3,False,1000,100.0,False,13.775833333333333,1.000766666666667,2.8592999999999997,5.096133333333333,6.223366666666667,0.3333333333333333,0.3333333333333333,-2.6486666666666667,-8.0,2.051933333333333,-2.436533333333333,-2.8456666666666663,-3.579433333333333,0.6666666666666666,5.2516333333333325,-1.3876333333333328,11.9718,-1.3684000000000005,-0.8277999999999999,1.669533333333333,0.3333333333333333,16.4245,7.9003,8.5242,3.4373000000000005,1.0681333333333327,2.3691666666666675,5.704966666666666,2.0178666666666665,3.6870999999999996,9.8028,5.248966666666666,4.553833333333334,True,True,True,True,True,True,True,True,True,True,True,True
2026-05-15,3,66,13,916,91.6,False,1000,100.0,False,2.7538666666666667,-0.09983333333333337,0.0364999999999999,2.0866333333333333,6.202166666666666,0.0,0.0,-1.1580000000000001,-5.8333,5.166716666666667,-2.1353166666666663,-2.9322,-1.3650666666666667,0.6666666666666666,0.8196999999999998,-3.8991333333333333,5.872466666666667,-3.0208,-2.3226333333333335,1.3555666666666664,0.3333333333333333,3.9118666666666666,1.9777,1.934166666666667,2.035483333333333,-0.8854833333333336,2.9209666666666667,2.9686999999999997,0.6095666666666664,2.3591333333333333,7.567233333333332,2.720633333333333,4.8466,True,True,True,True,True,False,True,True,True,True,True,True
2026-05-22,3,87,9,933,93.3,False,1000,100.0,False,2.164866666666667,-0.6715333333333334,-1.9273666666666667,-1.6924666666666666,-0.47429999999999994,0.3333333333333333,0.3333333333333333,1.11,-2.8247999999999998,6.425533333333334,0.24686666666666687,-0.10629999999999991,2.5837333333333334,0.3333333333333333,5.662566666666667,1.442066666666667,9.817133333333333,0.40153333333333335,0.36640000000000006,3.0115833333333333,0.3333333333333333,1.054866666666667,4.552566666666666,-3.4976999999999996,-0.9184000000000003,0.15466666666666648,-1.0730666666666668,-1.8210666666666668,0.47269999999999995,-2.2937666666666665,-3.0580333333333334,0.42784999999999984,-3.4858833333333332,True,False,True,False,False,True,False,False,True,False,False,True
2026-05-29,3,112,16,983,98.3,False,1000,100.0,False,8.144833333333333,2.1358,1.8800333333333334,0.5135333333333333,3.9257333333333335,0.3333333333333333,0.3333333333333333,-1.2870333333333335,-7.530483333333333,4.3577,-1.0919333333333334,2.1885,2.9720333333333335,0.6666666666666666,4.3577,-6.6552999999999995,9.747483333333333,-1.1105666666666667,0.8164333333333336,0.7670666666666666,0.6666666666666666,9.431866666666666,5.644733333333334,3.7871333333333324,3.2277333333333336,-0.01863333333333328,3.246366666666667,-0.30846666666666644,-1.3720666666666663,1.0635999999999999,0.9537,-2.204966666666667,3.158666666666667,True,True,True,True,True,False,False,True,False,True,True,False
