snapshot_date,is_train,is_contaminated_val,n_picks,is_3picks,r1_code,r2_code,r3_code,w1_common_valid,r1_w1_return_pct,r2_w1_return_pct,r3_w1_return_pct,k1_w1,k2_w1,k3_w1,mc2_w1,mc3_w1,r3_minus_r2_w1,r1_minus_r2_w1,r1_minus_r3_w1,r1_w1_max_gain_pct,r2_w1_max_gain_pct,r3_w1_max_gain_pct,w2_common_valid,r1_w2_return_pct,r2_w2_return_pct,r3_w2_return_pct,k1_w2,k2_w2,k3_w2,mc2_w2,mc3_w2,r3_minus_r2_w2,r1_minus_r2_w2,r1_minus_r3_w2,r1_w2_max_gain_pct,r2_w2_max_gain_pct,r3_w2_max_gain_pct,w3_common_valid,r1_w3_return_pct,r2_w3_return_pct,r3_w3_return_pct,k1_w3,k2_w3,k3_w3,mc2_w3,mc3_w3,r3_minus_r2_w3,r1_minus_r2_w3,r1_minus_r3_w3,r1_w3_max_gain_pct,r2_w3_max_gain_pct,r3_w3_max_gain_pct,w4_common_valid,r1_w4_return_pct,r2_w4_return_pct,r3_w4_return_pct,k1_w4,k2_w4,k3_w4,mc2_w4,mc3_w4,r3_minus_r2_w4,r1_minus_r2_w4,r1_minus_r3_w4,r1_w4_max_gain_pct,r2_w4_max_gain_pct,r3_w4_max_gain_pct,r1_stop8_before_p20,r1_stop8_ever,r1_gap_stop,r1_profit20,r1_asof_return_pct,r1_asof_max_gain_pct,r1_asof_drawdown_pct,r2_stop8_before_p20,r2_stop8_ever,r2_gap_stop,r2_profit20,r2_asof_return_pct,r2_asof_max_gain_pct,r2_asof_drawdown_pct,r3_stop8_before_p20,r3_stop8_ever,r3_gap_stop,r3_profit20,r3_asof_return_pct,r3_asof_max_gain_pct,r3_asof_drawdown_pct
2026-04-17,True,False,3,True,AMLX,ALB,CVEO,True,-6.1674,-3.913,3.6573,-6.1674,-5.0402,-2.141,1.1272,2.8992,7.5703,-2.2544,-9.8247,0.1652,2.8951,3.7891,True,-11.8392,-1.0793,2.8336,-11.8392,-6.4592,-3.3616,5.38,3.0976,3.9129,-10.7599,-14.6728,-1.4868,2.2046,14.6623,True,-18.8877,3.8363,2.6689,-18.8877,-7.5257,-4.1275,11.362,3.3982,-1.1674,-22.724,-21.5566,-6.7181,12.757,6.1614,True,-26.8722,-7.9693,12.0593,-26.8722,-17.4207,-7.5941,9.4515,9.8267,20.0286,-18.9029,-38.9315,-16.1344,11.7749,20.2636,True,True,False,True,112.8855,126.5419,-31.4978,True,True,False,False,-27.6164,12.757,-42.9412,False,False,False,True,13.7727,20.2636,-3.2949
2026-04-24,True,False,3,True,MCRI,NVTS,SANM,True,2.284,1.2768,12.9737,2.284,1.7804,5.5115,-0.5036,3.7311,11.6969,1.0072,-10.6897,4.8993,6.5583,16.6625,True,3.1383,5.6297,25.6641,3.1383,4.384,11.4774,1.2457,7.0934,20.0344,-2.4914,-22.5258,5.1434,5.6297,29.1403,True,2.5804,23.7377,19.0811,2.5804,13.1591,15.1331,10.5786,1.974,-4.6566,-21.1573,-16.5007,4.0275,38.2472,28.2548,True,1.5779,69.762,24.6977,1.5779,35.67,32.0125,34.0921,-3.6574,-45.0643,-68.1841,-23.1198,5.5531,71.213,24.8393,False,False,False,False,9.9207,18.4988,-2.9901,True,True,False,True,-29.0192,98.3169,-45.2699,False,True,False,True,-6.1833,46.0709,-17.8212
2026-05-01,True,False,3,True,RBB,IRM,BEN,True,-0.7887,1.5957,4.3095,-0.7887,0.4035,1.7055,1.1922,1.302,2.7138,-2.3844,-5.0982,1.9095,5.732,5.6328,True,-5.3964,-1.3814,6.9223,-5.3964,-3.3889,0.0482,2.0075,3.4371,8.3037,-4.015,-12.3187,-0.9963,3.7313,8.9922,True,-1.951,-0.2858,4.2077,-1.951,-1.1184,0.657,0.8326,1.7754,4.4935,-1.6652,-6.1587,-0.9963,1.1432,8.5511,True,-1.3284,1.1273,4.2077,-1.3284,-0.1006,1.3355,1.2279,1.4361,3.0804,-2.4557,-5.5361,0.0415,2.088,6.9223,False,False,False,False,10.5853,16.5214,-5.7285,True,True,False,False,-3.7869,6.9228,-9.2331,False,False,False,True,16.4235,23.1082,-1.6288
2026-05-08,True,False,3,True,FTNT,KRYS,CTS,True,9.5272,-0.6777,-5.8472,9.5272,4.4248,1.0008,-5.1025,-3.424,-5.1695,10.2049,15.3744,10.0178,3.5995,0.0646,True,19.4737,-2.8958,0.5976,19.4737,8.2889,5.7252,-11.1848,-2.5638,3.4934,22.3695,18.8761,19.7056,0.334,0.8076,True,23.0776,0.2108,3.6505,23.0776,11.6442,8.9796,-11.4334,-2.6646,3.4397,22.8668,19.4271,23.2025,2.3348,6.5256,True,29.0633,-2.3932,1.4537,29.0633,13.3351,9.3746,-15.7283,-3.9604,3.8469,31.4565,27.6096,33.8715,1.4365,8.6577,False,False,False,True,36.9402,53.5147,0.0,False,False,False,True,12.3873,24.0483,-7.5589,True,True,False,False,-9.3361,12.2759,-10.2891
2026-05-15,True,False,3,True,HLIO,CVS,AIZ,True,2.1464,-2.5444,0.0985,2.1464,-0.199,-0.0998,-2.3454,0.0992,2.6429,4.6908,2.0479,3.0515,0.7886,2.5148,True,7.2795,-4.9311,-2.2389,7.2795,1.1742,0.0365,-6.1053,-1.1377,2.6922,12.2106,9.5184,7.9131,-1.5876,1.0997,True,4.9263,0.2418,1.0918,4.9263,2.584,2.0866,-2.3423,-0.4974,0.85,4.6845,3.8345,11.986,0.9778,1.62,True,9.1932,6.5398,2.8735,9.1932,7.8665,6.2022,-1.3267,-1.6643,-3.6663,2.6534,6.3197,11.0034,7.3914,2.9168,False,False,False,True,-1.4999,22.7179,-3.9436,False,False,False,False,-2.1975,15.6556,-6.5608,False,False,False,False,11.959,19.8029,-3.5436
2026-05-22,True,False,3,True,CMPR,PDLB,CLBK,True,-3.6747,0.4255,-1.4069,-3.6747,-1.6246,-1.552,2.0501,0.0726,-1.8324,-4.1002,-2.2678,3.7236,1.8617,1.2987,True,-7.5938,1.0638,-0.7576,-7.5938,-3.265,-2.4292,4.3288,0.8358,-1.8214,-8.6576,-6.8362,-2.629,3.2979,-0.1082,True,-13.1353,3.2447,1.4069,-13.1353,-4.9453,-2.8279,8.19,2.1174,-1.8378,-16.38,-14.5422,-6.2256,4.0426,3.7879,True,-17.0739,2.766,-1.9481,-17.0739,-7.1539,-5.4187,9.92,1.7353,-4.7141,-19.8399,-15.1258,-12.6955,4.5213,1.9481,True,True,False,False,-14.4644,4.1634,-22.3417,False,False,False,False,8.617,12.234,-2.766,False,False,False,True,27.5974,29.8701,-4.2208
2026-05-29,False,True,3,True,BWA,NBIX,ILMN,True,2.6572,2.8363,0.9139,2.6572,2.7468,2.1358,0.0896,-0.6109,-1.9224,-0.1791,1.7433,11.4064,6.4069,10.1772,True,5.3145,0.251,0.0746,5.3145,2.7828,1.88,-2.5317,-0.9027,-0.1764,5.0635,5.2399,7.9293,6.2939,4.4451,True,1.5406,-0.6714,0.6714,1.5406,0.4346,0.5135,-1.106,0.0789,1.3428,2.212,0.8692,8.1272,1.4433,4.0846,True,-3.7314,5.748,9.7606,-3.7314,1.0083,3.9257,4.7397,2.9174,4.0126,-9.4794,-13.492,4.3958,6.4006,13.6711,True,True,False,False,-9.0318,11.4064,-15.0954,False,False,False,False,-3.9659,16.7922,-6.6391,False,False,False,True,36.4004,37.0407,-3.295
2026-06-05,False,True,3,True,TWIN,AMG,TBBB,True,-0.05,5.2005,6.8222,-0.05,2.5753,3.9909,2.6252,1.4156,1.6217,-5.2505,-6.8722,4.4522,5.4764,8.3185,True,9.1546,4.6903,6.7715,9.1546,6.9224,6.8721,-2.2322,-0.0503,2.0812,4.4643,2.3831,10.2551,7.9506,11.1083,True,20.7604,1.4507,6.4925,20.7604,11.1056,9.5679,-9.6548,-1.5377,5.0418,19.3097,14.2679,22.2111,6.497,9.054,True,14.1071,2.228,6.6954,14.1071,8.1676,7.6768,-5.9396,-0.4907,4.4674,11.8791,7.4117,22.3112,3.5956,8.0396,False,False,False,True,17.1586,27.5638,-7.3537,False,False,False,False,5.6752,16.5628,-2.6641,False,False,False,True,28.4809,29.4192,-2.5108
2026-06-12,False,True,3,True,MCS,CWBC,FDSB,True,6.9027,-2.7918,1.1385,6.9027,2.0555,1.7498,-4.8472,-0.3056,3.9303,9.6945,5.7642,9.0991,0.3102,2.024,True,11.5643,3.7999,2.0873,11.5643,7.6821,5.8172,-3.8822,-1.8649,-1.7126,7.7644,9.477,11.5643,5.7774,2.3403,True,3.9892,4.0713,5.1233,3.9892,4.0302,4.3946,0.041,0.3643,1.052,-0.0821,-1.1341,10.7575,7.0182,5.1233,True,-2.4204,4.1877,9.5509,-2.4204,0.8837,3.7727,3.3041,2.8891,5.3632,-6.6081,-11.9713,3.7651,5.7387,13.4725,False,False,False,True,32.5415,45.316,-3.1376,False,False,False,False,0.853,8.7243,-5.0019,False,False,False,False,15.8128,17.0145,-0.9488
2026-06-18,False,True,3,True,TER,ADI,GEV,True,-4.2268,-11.6139,-7.5104,-4.2268,-7.9203,-7.7837,-3.6935,0.1366,4.1035,7.3871,3.2836,3.5581,1.8641,1.0584,True,-19.0841,-13.8412,-1.4982,-19.0841,-16.4627,-11.4745,2.6214,4.9882,12.343,-5.2429,-17.5859,6.965,-8.2079,4.2618,True,-21.1646,-9.6174,-3.4043,-21.1646,-15.391,-11.3954,5.7736,3.9956,6.2131,-11.5472,-17.7603,-12.3515,-8.7721,5.8317,True,-29.3287,-14.2524,-6.3892,-29.3287,-21.7905,-16.6568,7.5382,5.1338,7.8632,-15.0763,-22.9395,-19.9807,-8.466,-3.6131,True,True,True,False,-17.6262,6.965,-34.9279,True,True,False,False,-14.771,1.8641,-19.422,True,True,False,False,-16.6313,5.8317,-20.5621
