comparison_name,comparison_type,var_a,var_b,horizon,horizon_status,segment,paired_weeks,paired_median_spread_pct,paired_mean_spread_pct,win_rate_pct,wilcoxon_p,boot_ci95_low,boot_ci95_high,mean_worst_pick_spread_pct,mean_stop8_rate_diff_pct,stop8_diff_wilcoxon_p,mean_all_stopped_rate_diff_pct,all_stopped_diff_wilcoxon_p,mean_profit20_rate_diff_pct,removed_gate,screening_gate_verdict
BuyPoint Proximity Gate (E0 vs NO_BUYPOINT),GATE_ABLATION,E0_BASE,E0_NO_BUYPOINT_GATE,W2,PRIMARY,Contaminated validation weeks 31-40,11,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,BuyPoint,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
BuyPoint Proximity Gate (E0 vs NO_BUYPOINT),GATE_ABLATION,E0_BASE,E0_NO_BUYPOINT_GATE,W3,DIAGNOSTIC_ONLY,Contaminated validation weeks 31-40,10,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,BuyPoint,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
BuyPoint Proximity Gate (E0 vs NO_BUYPOINT),GATE_ABLATION,E0_BASE,E0_NO_BUYPOINT_GATE,W4,PRIMARY,Contaminated validation weeks 31-40,9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,BuyPoint,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
Effective EPS Known Gate (E0 vs NO_EPS_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_EPS_KNOWN,W1,PRIMARY,All historical,40,0.0,0.4151,17.5,0.8926,-0.0714,1.2956,0.5366,0.24,0.4037,-0.38,0.1726,2.77,EPS_Known,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Effective EPS Known Gate (E0 vs NO_EPS_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_EPS_KNOWN,W2,PRIMARY,All historical,40,0.0,0.5744,20.0,1.0,-0.2149,1.9619,0.5742,0.24,0.4037,-0.38,0.1726,2.77,EPS_Known,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Effective EPS Known Gate (E0 vs NO_EPS_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_EPS_KNOWN,W3,DIAGNOSTIC_ONLY,All historical,39,0.0,0.6721,23.08,0.5995,-0.1409,2.1118,0.8019,0.25,0.4037,-0.39,0.1726,2.84,EPS_Known,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Effective EPS Known Gate (E0 vs NO_EPS_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_EPS_KNOWN,W4,PRIMARY,All historical,38,0.0,0.4062,23.68,0.7615,-0.6768,1.8385,0.2073,0.37,0.5245,-0.4,0.1726,2.92,EPS_Known,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Effective EPS Known Gate (E0 vs NO_EPS_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_EPS_KNOWN,W1,PRIMARY,Train-era weeks 1-30,29,0.0,0.609,13.79,0.4688,-0.0472,1.8302,0.7273,0.78,1.0,-0.06,0.4961,3.86,EPS_Known,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Effective EPS Known Gate (E0 vs NO_EPS_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_EPS_KNOWN,W2,PRIMARY,Train-era weeks 1-30,29,0.0,0.8013,13.79,0.9453,-0.2725,2.709,0.7692,0.78,1.0,-0.06,0.4961,3.86,EPS_Known,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Effective EPS Known Gate (E0 vs NO_EPS_KNOWN),GATE_ABLATION,E0_BASE,E0_NO_EPS_KNOWN,W3,DIAGNOSTIC_ONLY,Train-era weeks 1-30,29,0.0,0.9181,17.24,0.5469,-0.1403,2.8531,1.0337,0.78,1.0,-0.06,0.4961,3.86,EPS_Known,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
