snapshot_date,code,pick_order,entry_status,lane,industry,reason_codes,risk_codes,sort_key,raw_rank,ibd_candidate_rule,ibd_candidate_price,latest_close,current_vs_ibd_candidate_pct,ibd_entry_volume_ratio,ibd_entry_close_position,ibd_entry_breakout_range_ratio,dist_to_52w_high_pct,volume_ratio,eps_yoy_growth,effective_eps_yoy_growth,price_data_status
2026-03-20,LMND,1,ACTIONABLE,fresh_demand_alpha,Unknown,near_buy_point;volume_confirms_breakout;eps_acceleration_support,,"(0, 0, 0, -3, 0, 1, 0, 1, -2.176558941231044, 'LMND', 7)",1,ceiling,61.82,64.18,3.82,2.176558941231044,0.8396551724137943,0.8706896551724149,-35.75575575575575,1.2742858237399788,46.3157894737,46.3157894737,PENDING
2026-03-27,DELL,1,ACTIONABLE,fresh_demand_alpha,Computer Processing Hardware,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through,,"(0, 0, 0, -4, 0, 1, 0, 0, -1.8407157779114107, 'DELL', 0)",1,ceiling,167.21,171.81,2.75,1.8407157779114107,0.906291834002677,0.6492637215528775,-7.8223080637373155,1.4377013210574587,39.0243902439,39.0243902439,PENDING
2026-03-27,CASY,2,ACTIONABLE,constructive_pullback,Specialty Stores,near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high;pullback_structure,pullback_not_dry,"(0, 1, 0, -3, 1, 1, 0, 1, -1.7666946874451517, 'CASY', 8)",2,pivot,690.0,714.24,3.51,1.7666946874451517,0.7716708542713576,0.7609924623115576,-1.0062370062370096,1.2508548286900731,49.7854077253,49.7854077253,PENDING
2026-04-02,MRVL,1,ACTIONABLE,fresh_demand_alpha,Semiconductors,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 1, 0, 0, -2.406028542057799, 'MRVL', 10)",1,ceiling,102.7,107.11,4.29,2.406028542057799,0.8462585034013594,0.5455782312925151,-0.6769287833827908,1.7371101232727042,382.0512820513,382.0512820513,PENDING
2026-04-02,INVA,2,ACTIONABLE,fresh_demand_alpha,Unknown,geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support,,"(0, 0, 0, -3, 0, 0, 0, 1, -2.63418106516534, 'INVA', 21)",2,ceiling,22.76,22.99,1.01,2.63418106516534,0.7090909090909092,0.2727272727272697,-8.588469184890657,1.132556464137076,5300.0,5300.0,PENDING
2026-04-02,PFIS,3,ACTIONABLE,constructive_pullback,Regional Banks,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure,,"(0, 1, 0, -5, 0, 0, 0, 0, -2.377803335250144, 'PFIS', 37)",3,ma10_touch_confirm,53.87,54.62,1.39,2.377803335250144,0.9759036144578318,0.4518072289156636,-4.2929735412651215,1.6112822175393096,451.1627906977,451.1627906977,PENDING
2026-04-10,FRAF,1,ACTIONABLE,fresh_demand_alpha,Regional Banks,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 1, 0, 0, -4.251876779704893, 'FRAF', 49)",1,ceiling,55.3,56.6,2.35,4.251876779704893,0.9552238805970183,0.9701492537313492,-4.921888123635143,2.7358491151411664,25.2631578947,25.2631578947,PENDING
2026-04-10,SPIR,2,ACTIONABLE,fresh_demand_alpha,Unknown,near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -4, 0, 0, 1, 0, -6.768676828498409, 'SPIR', 10)",2,ceiling,21.3,21.56,1.22,6.768676828498409,1.0,0.0909090909090902,0.0,5.109620558509152,-22.0,-22.0,PENDING
2026-04-10,HLIO,3,ACTIONABLE,fresh_demand_alpha,Industrial Machinery,near_buy_point;volume_confirms_breakout;weekly_volume_follow_through,,"(0, 0, 0, -3, 0, 0, 1, 0, -1.592695559647192, 'HLIO', 14)",3,ceiling,70.68,71.13,0.64,1.592695559647192,0.8176638176638178,0.4871794871794846,-6.983130639466461,1.5830218061314325,-8.8235294118,-8.8235294118,PENDING
2026-04-17,AMLX,1,ACTIONABLE,fresh_demand_alpha,Pharmaceuticals: Major,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 1, 0, 0, -2.360510333377026, 'AMLX', 41)",1,ceiling,17.49,18.36,4.97,2.360510333377026,0.8317757009345798,0.2242990654205625,-1.2903225806451757,1.5855789043708044,65.4205607477,65.4205607477,PENDING
2026-04-17,ALB,2,ACTIONABLE,fresh_demand_alpha,Unknown,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through,,"(0, 0, 0, -4, 0, 1, 0, 0, -2.567567321473123, 'ALB', 71)",2,ceiling,191.5,197.75,3.26,2.567567321473123,0.996584440227704,0.9153700189753324,-8.325993231653616,1.780966540596577,81.7989417989,81.7989417989,PENDING
2026-04-17,CVEO,3,ACTIONABLE,constructive_pullback,Hotels/Resorts/Cruise lines,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure,,"(0, 1, 0, -5, 0, 0, 0, 0, -2.0475160848011815, 'CVEO', 36)",3,pivot,29.68,30.18,1.68,2.0475160848011815,0.846938775510205,0.5102040816326547,-0.4945598417408492,1.5602365191366427,88.8888888889,88.8888888889,PENDING
2026-04-24,WSFS,1,ACTIONABLE,fresh_demand_alpha,Savings Banks,near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high,,"(0, 0, 0, -4, 0, 0, 0, 1, -1.771831584566037, 'WSFS', 74)",1,ceiling,70.94,71.39,0.63,1.771831584566037,0.8888888888888883,0.17857142857143,-1.0533610533610571,1.1912837006896475,26.8518518519,26.8518518519,PENDING
2026-04-24,MCRI,2,ACTIONABLE,fresh_demand_alpha,Hotels/Resorts/Cruise lines,near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -4, 0, 0, 1, 0, -4.464522986978475, 'MCRI', 47)",2,ceiling,112.85,114.98,1.89,4.464522986978475,0.9973380656610468,0.1233362910381544,-2.5593220338983036,2.45215163225928,14.9659863946,14.9659863946,PENDING
2026-04-24,SANM,3,ACTIONABLE,fresh_demand_alpha,Electronic Production Equipment,near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -4, 0, 1, 1, 0, -1.8373951658499812, 'SANM', 36)",3,ceiling,185.29,192.16,3.71,1.8373951658499812,0.9023521026372056,0.4896650035637921,-0.7079005838888097,1.4695741775259672,-23.275862069,-23.275862069,PENDING
2026-05-01,RBB,1,ACTIONABLE,fresh_demand_alpha,Regional Banks,geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 0, 0, 0, -2.7977968377497056, 'RBB', 35)",1,ceiling,24.06,24.24,0.75,2.7977968377497056,0.7368421052631594,0.0789473684210554,-1.3029315960912058,1.826743663224219,51.2820512821,51.2820512821,PENDING
2026-05-01,IRM,2,ACTIONABLE,fresh_demand_alpha,Real Estate Investment Trusts,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 1, 0, 0, -3.3043550104652444, 'IRM', 29)",2,ceiling,123.89,127.19,2.66,3.3043550104652444,0.9559118236472934,0.210420841683366,-0.5862122870095354,1.558605159817288,860.0,860.0,PENDING
2026-05-01,BEN,3,ACTIONABLE,fresh_demand_alpha,Investment Managers,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 1, 0, 0, -2.2374398317650503, 'BEN', 16)",3,ceiling,28.88,29.84,3.32,2.2374398317650503,0.9946524064171134,0.310160427807488,-1.6803953871499244,1.5891886634704206,88.4615384615,88.4615384615,PENDING
2026-05-08,FTNT,1,ACTIONABLE,fresh_demand_alpha,Information Technology Services,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 0, 0, 0, -1.6252932081479756, 'FTNT', 63)",1,ceiling,112.37,114.07,1.51,1.6252932081479756,0.9261576971214012,0.2127659574468072,-0.5145648002790937,1.5112176203279293,28.5714285714,28.5714285714,PENDING
2026-05-08,KRYS,2,ACTIONABLE,fresh_demand_alpha,Biotechnology,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 1, 0, 0, -2.2218782021511085, 'KRYS', 103)",2,ceiling,295.98,305.71,3.29,2.2218782021511085,0.9560315670800434,0.0405862457722643,-0.1274093433518586,1.7335209859009408,52.5,52.5,PENDING
2026-05-08,CTS,3,ACTIONABLE,fresh_demand_alpha,Electronic Production Equipment,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 1, 0, 0, -1.8237927230624769, 'CTS', 41)",3,ceiling,59.61,61.75,3.59,1.8237927230624769,0.9738219895287972,0.2041884816753933,-0.435343437600777,1.4576885410108735,34.0909090909,34.0909090909,PENDING
2026-05-15,HLIO,1,ACTIONABLE,fresh_demand_alpha,Industrial Machinery,geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 0, 0, 0, -2.9419838945827235, 'HLIO', 52)",1,ceiling,75.95,77.03,1.42,2.9419838945827235,0.6733870967741925,0.2177419354838697,-3.712499999999997,1.547730540133989,168.1818181818,168.1818181818,PENDING
2026-05-15,CVS,2,ACTIONABLE,fresh_demand_alpha,Drugstore Chains,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 0, 0, 0, -1.622106648070288, 'CVS', 16)",2,ceiling,94.55,95.89,1.42,1.622106648070288,0.9455958549222814,0.1554404145077742,-2.5805140709133423,1.4053637483907049,63.1205673759,63.1205673759,PENDING
2026-05-15,AIZ,3,ACTIONABLE,fresh_demand_alpha,Property/Casualty Insurance,near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high,,"(0, 0, 0, -4, 0, 1, 0, 1, -1.6516204725145227, 'AIZ', 58)",3,ceiling,245.31,254.61,3.79,1.6516204725145227,0.6503067484662571,1.5153374233128782,-0.9954504802270892,1.2434106123342392,91.1660777385,91.1660777385,PENDING
2026-05-22,CMPR,1,ACTIONABLE,fresh_demand_alpha,Commercial Printing/Forms,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 0, 0, 0, -3.1105353555937234, 'CMPR', 18)",1,ceiling,102.22,102.39,0.17,3.1105353555937234,0.9773798303487268,0.0622054665409987,-2.4020589076351073,1.859649323537886,266.6666666667,266.6666666667,PENDING
2026-05-22,PDLB,2,ACTIONABLE,fresh_demand_alpha,Savings Banks,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 1, 0, 0, -3.3883323512080143, 'PDLB', 69)",2,ceiling,18.01,18.57,3.11,3.3883323512080143,0.9772727272727276,0.590909090909091,-1.0655301012253535,1.6603348261938484,44.0,44.0,PENDING
2026-05-22,ELMD,3,ACTIONABLE,constructive_pullback,Medical Specialties,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure,,"(0, 1, 0, -5, 0, 1, 0, 0, -2.6154458598726116, 'ELMD', 31)",4,ma10_touch_confirm,37.45,38.22,2.06,2.6154458598726116,0.843853820598007,0.2624584717607972,-3.60655737704918,1.532339168361295,66.6666666667,66.6666666667,PENDING
2026-05-29,BWA,1,ACTIONABLE,fresh_demand_alpha,Trucks/Construction/Farm Machinery,geometry_caution_not_failure;near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -5, 0, 1, 0, 0, -2.5996567820196277, 'BWA', 61)",1,ceiling,69.87,71.82,2.79,2.5996567820196277,0.7142857142857151,0.3706563706563698,-2.7883053600433194,1.6832475907798377,61.1111111111,61.1111111111,PENDING
