rule_id,description,complexity,train_w1_ret_med,train_w2_ret_med,train_w4_ret_med,train_paired_w1_spread_med,train_paired_w2_spread_med,train_paired_w4_spread_med,train_paired_win_rate_vs_b0,train_act_opp_w1_spread_med,train_act_opp_w1_ret_med,train_act_w1_win_vs_l1_pct,train_act_rank_win_vs_l1_pct,train_act_w2_win_vs_l1_pct,train_act_w4_win_vs_l1_pct,train_act_exec_win_vs_l1_pct,train_temporal_block_stability_score,train_temporal_min_block_ret,train_valid_portfolio_rate,train_valid_weeks,train_total_weeks,train_full3_weeks,train_ranking_opportunity_weeks,train_stop8_before_p20_pct,train_exec_ret_med,train_paired_exec_spread_med,train_act_rank_exec_med,train_win_vs_l1_pct,train_win_vs_l1_exec_pct,full_w1_ret_med,full_w2_ret_med,full_w4_ret_med,full_exec_ret_med,full_stop8_before_p20_pct,full_win_vs_l0_pct,full_win_vs_l1_pct,full_active_weeks,full_full3_weeks,hist_val_w1_ret_med,hist_val_exec_ret_med,hist_val_stop8_before_p20_pct,hist_val_win_vs_l1_pct
COMPOSITE_F1_V2_P1_D0_52W1,"Linear Composite (Fresh:1, Vol:2, Pos:1, Dry:0, 52W:1)",3,0.42926666666666663,-0.05042500000000005,-0.20212499999999986,0.0,0.0,0.0,23.333333333333332,0.0,0.1584333333333333,63.63636363636363,63.63636363636363,54.54545454545454,54.54545454545454,27.27272727272727,-2.3404,-4.600099999999999,100.0,30,30,15,11,53.8888888888889,-0.45168333333333344,0.0,2.3582666666666667,30.0,13.333333333333334,-0.12573333333333334,-0.597275,-0.20212499999999986,-0.09936666666666683,52.91666666666666,45.0,30.0,40,25,-1.0964,-0.09936666666666683,50.0,30.0
COMPOSITE_F1_V2_P1_D1_52W0,"Linear Composite (Fresh:1, Vol:2, Pos:1, Dry:1, 52W:0)",3,-0.61715,-1.3505749999999999,-1.267,0.0,0.0,0.0,20.0,-0.4004,-1.0719333333333334,27.27272727272727,27.27272727272727,36.36363636363637,27.27272727272727,36.36363636363637,-2.7702,-4.600099999999999,100.0,30,30,15,11,57.22222222222223,-1.1998666666666666,0.0,1.0976,16.666666666666664,16.666666666666664,0.015716666666666632,0.43790833333333334,-0.8140166666666667,-0.6927666666666665,52.91666666666666,42.5,32.5,40,25,0.6141833333333334,-0.2164833333333333,40.0,80.0
COMPOSITE_F1_V2_P2_D0_52W1,"Linear Composite (Fresh:1, Vol:2, Pos:2, Dry:0, 52W:1)",3,0.7585500000000001,0.2777583333333334,-0.20212499999999986,0.0,0.0,0.0,26.666666666666668,0.0,0.7001,63.63636363636363,63.63636363636363,63.63636363636363,54.54545454545454,36.36363636363637,-2.2595,-4.600099999999999,100.0,30,30,15,11,54.44444444444444,-0.45168333333333344,0.0,2.3582666666666667,33.33333333333333,16.666666666666664,-0.2954166666666667,-0.56125,-0.20212499999999986,0.0076166666666665495,52.5,42.5,32.5,40,25,-1.4631,0.0076166666666665495,46.666666666666664,30.0
COMPOSITE_F1_V2_P2_D1_52W0,"Linear Composite (Fresh:1, Vol:2, Pos:2, Dry:1, 52W:0)",3,-0.7231166666666665,0.0015333333333332338,-0.20798333333333327,0.0,0.0,0.0,23.333333333333332,-0.4004,-0.7533,45.45454545454545,45.45454545454545,54.54545454545454,45.45454545454545,54.54545454545454,-2.5986,-4.600099999999999,100.0,30,30,15,11,55.00000000000001,-0.6582500000000001,0.0,5.6129999999999995,23.333333333333332,23.333333333333332,-0.48140000000000005,0.2693166666666667,-0.20798333333333327,0.2754666666666665,51.24999999999999,45.0,35.0,40,25,-0.12415000000000005,0.3242666666666668,40.0,70.0
COMPOSITE_F1_V3_P1_D0_52W1,"Linear Composite (Fresh:1, Vol:3, Pos:1, Dry:0, 52W:1)",3,-0.007166666666666682,0.10283333333333333,-1.1545666666666667,0.0,0.0,0.0,23.333333333333332,0.0,-0.17276666666666665,45.45454545454545,45.45454545454545,45.45454545454545,36.36363636363637,27.27272727272727,-2.3696,-4.600099999999999,100.0,30,30,15,11,56.11111111111112,-1.7311,0.0,-1.2441666666666666,23.333333333333332,13.333333333333334,-0.7564833333333332,-0.56125,-1.1545666666666667,-1.4507333333333334,53.75,40.0,25.0,40,25,-1.621233333333333,0.42416666666666664,46.666666666666664,30.0
COMPOSITE_F1_V3_P1_D1_52W0,"Linear Composite (Fresh:1, Vol:3, Pos:1, Dry:1, 52W:0)",3,-0.001966666666666672,-1.3505749999999999,-1.267,0.0,0.0,0.0,20.0,-0.4004,-0.16236666666666663,36.36363636363637,36.36363636363637,36.36363636363637,27.27272727272727,36.36363636363637,-2.491,-4.600099999999999,100.0,30,30,15,11,56.111111111111114,-1.1998666666666666,0.0,1.0976,20.0,16.666666666666664,0.32735,-0.5832250000000001,-0.6764500000000001,-0.15115000000000006,52.08333333333333,47.5,35.0,40,25,0.84245,2.4309166666666666,40.0,80.0
COMPOSITE_F1_V3_P2_D0_52W1,"Linear Composite (Fresh:1, Vol:3, Pos:2, Dry:0, 52W:1)",3,-0.007166666666666682,0.10283333333333333,-1.1545666666666667,0.0,0.0,0.0,23.333333333333332,0.0,-0.17276666666666665,45.45454545454545,45.45454545454545,45.45454545454545,36.36363636363637,27.27272727272727,-2.3696,-4.600099999999999,100.0,30,30,15,11,56.11111111111112,-1.6667666666666667,0.0,-1.2441666666666666,23.333333333333332,13.333333333333334,-0.7291333333333332,-0.5640000000000001,-1.267,-1.4507333333333334,53.75,35.0,22.5,40,25,-1.25335,-0.6919166666666668,46.666666666666664,20.0
COMPOSITE_F1_V3_P2_D1_52W0,"Linear Composite (Fresh:1, Vol:3, Pos:2, Dry:1, 52W:0)",3,-0.99045,-2.1491,-1.267,0.0,0.0,0.0,20.0,-0.4004,-1.0719333333333334,27.27272727272727,27.27272727272727,36.36363636363637,27.27272727272727,36.36363636363637,-2.7702,-4.600099999999999,100.0,30,30,15,11,57.22222222222223,-1.1998666666666666,0.0,1.0976,16.666666666666664,16.666666666666664,-0.48140000000000005,-1.6684166666666667,-0.8140166666666667,0.2754666666666665,52.91666666666666,42.5,32.5,40,25,0.7720999999999999,0.984266666666667,40.0,80.0
COMPOSITE_F2_V1_P1_D0_52W1,"Linear Composite (Fresh:2, Vol:1, Pos:1, Dry:0, 52W:1)",3,0.47070000000000006,0.39807500000000007,0.563825,0.0,0.0,0.0,23.333333333333332,-0.21780000000000022,0.1584333333333333,54.54545454545454,54.54545454545454,54.54545454545454,54.54545454545454,45.45454545454545,-2.3866,-4.600099999999999,100.0,30,30,15,11,54.44444444444444,1.1322999999999999,0.0,3.330833333333333,30.0,20.0,-0.00021666666666667056,0.07659999999999989,-0.0861249999999999,0.38960000000000006,51.66666666666666,42.5,30.0,40,25,-0.276,0.11030000000000015,43.33333333333333,30.0
COMPOSITE_F2_V1_P1_D1_52W0,"Linear Composite (Fresh:2, Vol:1, Pos:1, Dry:1, 52W:0)",3,0.48771666666666674,0.2693166666666667,-0.12660833333333332,0.0,0.0,0.0,23.333333333333332,-0.4004,0.1584333333333333,45.45454545454545,45.45454545454545,54.54545454545454,45.45454545454545,54.54545454545454,-2.447,-4.600099999999999,100.0,30,30,15,11,53.8888888888889,0.7191999999999995,0.0,5.6129999999999995,23.333333333333332,20.0,0.7362500000000001,0.2693166666666667,-0.12660833333333332,0.3895999999999997,51.24999999999999,42.5,32.5,40,25,0.8817166666666666,-0.41559999999999986,43.33333333333333,60.0
