comparison_name,comparison_type,var_a,var_b,horizon,horizon_status,segment,paired_weeks,paired_median_spread_pct,paired_mean_spread_pct,win_rate_pct,wilcoxon_p,boot_ci95_low,boot_ci95_high,mean_worst_pick_spread_pct,mean_stop8_rate_diff_pct,mean_all_stopped_rate_diff_pct,mean_profit20_rate_diff_pct,probe_name,probe_condition,probe_verdict
Probe: Entry Vol >= 1.5x (T_ENTRY_VOLUME_15 vs E0),TIGHTENING_PROBE,T_ENTRY_VOLUME_15,E0_BASE,W3,DIAGNOSTIC_ONLY,Train-era weeks 1-30,30,0.0,-0.6979,16.67,0.7695,-2.2298,0.1086,0.0585,-0.0016,-0.0011,0.0006,T_ENTRY_VOLUME_15,entry_volume_ratio >= 1.5,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Entry Vol >= 1.5x (T_ENTRY_VOLUME_15 vs E0),TIGHTENING_PROBE,T_ENTRY_VOLUME_15,E0_BASE,W4,PRIMARY,Train-era weeks 1-30,30,0.0,-1.2002,26.67,0.123,-4.1282,0.3732,0.0523,-0.0016,-0.0011,0.0006,T_ENTRY_VOLUME_15,entry_volume_ratio >= 1.5,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Entry Vol >= 1.5x (T_ENTRY_VOLUME_15 vs E0),TIGHTENING_PROBE,T_ENTRY_VOLUME_15,E0_BASE,W1,PRIMARY,Contaminated validation weeks 31-40,10,-0.0067,0.1014,50.0,0.8457,-0.1329,0.4297,0.0343,-0.0017,-0.0023,-0.0046,T_ENTRY_VOLUME_15,entry_volume_ratio >= 1.5,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Entry Vol >= 1.5x (T_ENTRY_VOLUME_15 vs E0),TIGHTENING_PROBE,T_ENTRY_VOLUME_15,E0_BASE,W2,PRIMARY,Contaminated validation weeks 31-40,10,0.0036,0.031,50.0,0.8457,-0.0519,0.1247,0.0165,-0.0017,-0.0023,-0.0046,T_ENTRY_VOLUME_15,entry_volume_ratio >= 1.5,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Entry Vol >= 1.5x (T_ENTRY_VOLUME_15 vs E0),TIGHTENING_PROBE,T_ENTRY_VOLUME_15,E0_BASE,W3,DIAGNOSTIC_ONLY,Contaminated validation weeks 31-40,9,-0.0146,0.0367,44.44,0.9102,-0.0869,0.18,0.0465,-0.0043,-0.0027,-0.0051,T_ENTRY_VOLUME_15,entry_volume_ratio >= 1.5,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Entry Vol >= 1.5x (T_ENTRY_VOLUME_15 vs E0),TIGHTENING_PROBE,T_ENTRY_VOLUME_15,E0_BASE,W4,PRIMARY,Contaminated validation weeks 31-40,8,0.1219,0.1632,75.0,0.0547,0.0227,0.3551,0.1068,-0.0043,-0.003,-0.0057,T_ENTRY_VOLUME_15,entry_volume_ratio >= 1.5,NOT DEMONSTRATED (100% SUBSET OF BASELINE)
Probe: Weekly Vol >= 1.3x (T_WEEKLY_VOLUME_13 vs E0),TIGHTENING_PROBE,T_WEEKLY_VOLUME_13,E0_BASE,W1,PRIMARY,All historical,30,0.0,-0.6907,23.33,0.9632,-2.2116,0.1517,-0.2214,0.012,0.0045,-0.0027,T_WEEKLY_VOLUME_13,volume_ratio >= 1.3,MIXED
Probe: Weekly Vol >= 1.3x (T_WEEKLY_VOLUME_13 vs E0),TIGHTENING_PROBE,T_WEEKLY_VOLUME_13,E0_BASE,W2,PRIMARY,All historical,30,0.0,-0.7072,33.33,0.8596,-2.4443,0.2958,-0.3545,0.012,0.0045,-0.0027,T_WEEKLY_VOLUME_13,volume_ratio >= 1.3,MIXED
Probe: Weekly Vol >= 1.3x (T_WEEKLY_VOLUME_13 vs E0),TIGHTENING_PROBE,T_WEEKLY_VOLUME_13,E0_BASE,W3,DIAGNOSTIC_ONLY,All historical,29,0.0,-0.6666,34.48,0.6705,-2.3942,0.3729,-0.1053,0.0073,0.0039,-0.0028,T_WEEKLY_VOLUME_13,volume_ratio >= 1.3,UNFAVORABLE COVERAGE TRADEOFF
Probe: Weekly Vol >= 1.3x (T_WEEKLY_VOLUME_13 vs E0),TIGHTENING_PROBE,T_WEEKLY_VOLUME_13,E0_BASE,W4,PRIMARY,All historical,28,0.0,-1.2333,39.29,0.3927,-4.574,0.7363,-0.0156,0.0094,0.0041,-0.0029,T_WEEKLY_VOLUME_13,volume_ratio >= 1.3,UNFAVORABLE COVERAGE TRADEOFF
Probe: Weekly Vol >= 1.3x (T_WEEKLY_VOLUME_13 vs E0),TIGHTENING_PROBE,T_WEEKLY_VOLUME_13,E0_BASE,W1,PRIMARY,Train-era weeks 1-30,21,0.0,-1.0061,14.29,0.8438,-3.1415,0.1532,-0.1803,0.0162,0.0071,0.0066,T_WEEKLY_VOLUME_13,volume_ratio >= 1.3,UNFAVORABLE COVERAGE TRADEOFF
Probe: Weekly Vol >= 1.3x (T_WEEKLY_VOLUME_13 vs E0),TIGHTENING_PROBE,T_WEEKLY_VOLUME_13,E0_BASE,W2,PRIMARY,Train-era weeks 1-30,21,0.0,-1.0494,28.57,1.0,-3.4371,0.2666,-0.2707,0.0162,0.0071,0.0066,T_WEEKLY_VOLUME_13,volume_ratio >= 1.3,UNFAVORABLE COVERAGE TRADEOFF
Probe: Weekly Vol >= 1.3x (T_WEEKLY_VOLUME_13 vs E0),TIGHTENING_PROBE,T_WEEKLY_VOLUME_13,E0_BASE,W3,DIAGNOSTIC_ONLY,Train-era weeks 1-30,21,0.0,-1.0694,28.57,0.9219,-3.3675,0.2489,-0.228,0.0162,0.0071,0.0066,T_WEEKLY_VOLUME_13,volume_ratio >= 1.3,UNFAVORABLE COVERAGE TRADEOFF
Probe: Weekly Vol >= 1.3x (T_WEEKLY_VOLUME_13 vs E0),TIGHTENING_PROBE,T_WEEKLY_VOLUME_13,E0_BASE,W4,PRIMARY,Train-era weeks 1-30,21,0.0,-1.7773,38.1,0.6377,-6.1895,0.8125,-0.2021,0.0162,0.0071,0.0066,T_WEEKLY_VOLUME_13,volume_ratio >= 1.3,UNFAVORABLE COVERAGE TRADEOFF
Probe: Weekly Vol >= 1.3x (T_WEEKLY_VOLUME_13 vs E0),TIGHTENING_PROBE,T_WEEKLY_VOLUME_13,E0_BASE,W1,PRIMARY,Contaminated validation weeks 31-40,9,-0.0219,0.0451,44.44,0.9102,-0.3233,0.4117,-0.3174,0.0023,-0.0017,-0.0243,T_WEEKLY_VOLUME_13,volume_ratio >= 1.3,UNFAVORABLE COVERAGE TRADEOFF
Probe: Weekly Vol >= 1.3x (T_WEEKLY_VOLUME_13 vs E0),TIGHTENING_PROBE,T_WEEKLY_VOLUME_13,E0_BASE,W2,PRIMARY,Contaminated validation weeks 31-40,9,-0.3242,0.0913,44.44,0.7344,-0.5224,0.8779,-0.5503,0.0023,-0.0017,-0.0243,T_WEEKLY_VOLUME_13,volume_ratio >= 1.3,UNFAVORABLE COVERAGE TRADEOFF
Probe: Weekly Vol >= 1.3x (T_WEEKLY_VOLUME_13 vs E0),TIGHTENING_PROBE,T_WEEKLY_VOLUME_13,E0_BASE,W3,DIAGNOSTIC_ONLY,Contaminated validation weeks 31-40,8,0.1113,0.3908,50.0,0.4609,-0.383,1.2314,0.2169,-0.0158,-0.0045,-0.0274,T_WEEKLY_VOLUME_13,volume_ratio >= 1.3,UNFAVORABLE COVERAGE TRADEOFF
Probe: Weekly Vol >= 1.3x (T_WEEKLY_VOLUME_13 vs E0),TIGHTENING_PROBE,T_WEEKLY_VOLUME_13,E0_BASE,W4,PRIMARY,Contaminated validation weeks 31-40,7,-0.0153,0.3989,42.86,1.0,-0.4649,1.6585,0.544,-0.011,-0.0051,-0.0313,T_WEEKLY_VOLUME_13,volume_ratio >= 1.3,UNFAVORABLE COVERAGE TRADEOFF
