original_code,resolved_code,action,bars_count,first_price_date,last_price_date,status,source
BDL,BDL,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BE,BE,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BELFA,BELFA,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BEN,BEN,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BFC,BFC,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BFH,BFH,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BFS,BFS,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
BFST,BFST,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BHB,BHB,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BHE,BHE,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BIDU,BIDU,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
BIIB,BIIB,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BILI,BILI,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
BIOA,BIOA,CACHE_HIT,478,2024-09-26,2026-08-24,OK,yahoo_download
BIP,BIP,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
BJRI,BJRI,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BKR,BKR,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
BKSY,BKSY,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
BLBD,BLBD,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BLFS,BLFS,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BLK,BLK,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
BLX,BLX,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BLZE,BLZE,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BMRC,BMRC,CACHE_HIT,500,2024-08-26,2026-08-24,OK,yahoo_download
BMY,BMY,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BNL,BNL,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BNY,BNY,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BOH,BOH,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BOKF,BOKF,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BOTJ,BOTJ,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BPOP,BPOP,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BPRN,BPRN,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BRX,BRX,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
BSET,BSET,CACHE_HIT,501,2024-08-22,2026-08-21,OK,results_pkl
