snapshot_date,total_picks,valid_picks,picked_codes,w1_mean_close_return_pct,w1_median_close_return_pct,w1_portfolio_win_rate_pct,w1_mean_max_gain_pct,w2_mean_close_return_pct,w3_mean_close_return_pct,w4_mean_close_return_pct,asof_mean_current_return_pct,asof_median_current_return_pct,asof_mean_exec_return_pct,asof_median_exec_return_pct,asof_mean_max_gain_pct,asof_stop8_count,has_profit20_winner,all_three_stopped
2026-02-27,3,3,"EQIX,GMED,EXPE",3.1929,-2.3401,33.33,7.7308,0.1032,1.3448,-0.896,18.2452,11.0281,19.3634,11.0281,27.2968,1,True,False
2026-03-06,2,2,"FIGS,RTX",-5.0099,-5.0099,0.0,1.5504,-8.526,-8.9787,-7.57,-2.234,-2.234,-8.0,-8.0,8.7037,2,False,False
2026-03-13,1,1,DOCN,19.1609,19.1609,100.0,24.7116,17.3875,29.7722,8.9821,66.7243,66.7243,66.7243,66.7243,170.3287,0,True,False
2026-03-20,1,1,LMND,-5.1562,-5.1562,0.0,8.2812,-3.9531,-14.9219,10.8437,-15.8594,-15.8594,-8.0,-8.0,26.9219,1,True,False
2026-03-27,2,2,"DELL,CASY",2.6171,2.6171,100.0,2.8377,3.2405,9.8271,18.8199,88.5593,88.5593,6.0102,6.0102,114.5965,1,True,False
2026-04-02,3,3,"MRVL,INVA,PFIS",9.1259,6.1676,100.0,10.9912,13.6653,18.9645,18.651,46.2885,30.2991,46.3438,30.2991,81.5378,1,True,False
2026-04-10,3,3,"SPIR,FRAF,HLIO",-3.8814,-2.8179,33.33,3.8342,-10.1412,-7.3961,-5.4767,-6.3508,7.8731,3.443,7.8731,22.6577,1,True,False
2026-04-17,3,3,"AMLX,ALB,CVEO",-2.141,-3.913,33.33,2.2831,-3.3616,-4.1275,-7.5941,33.0139,13.7727,-0.7424,-8.0,53.1875,2,True,False
2026-04-24,3,3,"MCRI,NVTS,SANM",5.5115,2.284,100.0,9.3734,11.4774,15.1331,32.0125,-8.4273,-6.1833,-2.0264,-8.0,54.2955,2,True,False
2026-05-01,3,3,"RBB,IRM,BEN",1.7055,1.5957,66.67,4.4248,0.0482,0.657,1.3355,7.7406,10.5853,6.3363,10.5853,15.5175,1,True,False
2026-05-08,3,3,"FTNT,KRYS,CTS",1.0008,-0.6777,33.33,4.5606,5.7252,8.9796,9.3746,13.3305,12.3873,13.7758,12.3873,29.9463,1,True,False
2026-05-15,3,3,"HLIO,CVS,AIZ",-0.0998,0.0985,66.67,2.1183,0.0365,2.0866,6.2022,2.7539,-1.4999,2.7539,-1.4999,19.3921,0,True,False
2026-05-22,3,3,"CMPR,PDLB,CLBK",-1.552,-1.4069,33.33,2.2947,-2.4292,-2.8279,-5.4187,7.25,8.617,9.4048,8.617,15.4225,1,True,False
2026-05-29,3,3,"BWA,NBIX,ILMN",2.1358,2.6572,100.0,9.3302,1.88,0.5135,3.9257,7.8009,-3.9659,8.1448,-3.9659,21.7464,1,True,False
2026-06-05,3,3,"TWIN,AMG,TBBB",3.9909,5.2005,66.67,6.0824,6.8721,9.5679,7.6768,17.1049,17.1586,17.1049,17.1586,24.5153,0,True,False
2026-06-12,3,3,"MCS,CWBC,FDSB",1.7498,1.1385,66.67,3.8111,5.8172,4.3946,3.7727,16.4024,15.8128,16.4024,15.8128,23.6849,0,True,False
2026-06-18,3,3,"TER,ADI,GEV",-7.7837,-7.5104,0.0,2.1602,-11.4745,-11.3954,-16.6568,-16.3428,-16.6313,-8.6927,-8.0,4.8869,3,False,True
2026-06-26,3,3,"EGBN,ADPT,QCRH",-2.0633,-1.3776,0.0,3.4511,-3.1475,1.0899,1.8037,7.6517,3.2959,5.9634,3.2959,11.5368,1,True,False
2026-07-02,3,3,"BMRC,BSET,PACS",0.0919,0.3201,66.67,2.9529,4.0324,0.9384,-0.0744,-3.3327,-3.5917,-6.5306,-8.0,9.9807,2,False,False
2026-07-10,3,3,"BSVN,RAPP,LASR",0.1818,-1.0101,33.33,3.9118,-2.0122,-1.8001,-3.918,-6.547,0.6799,3.3317,0.6799,14.0779,1,True,False
2026-07-17,3,3,"CZFS,BIIB,IRM",1.883,2.8148,66.67,3.7322,1.6008,3.4186,6.9386,5.4682,6.223,5.4682,6.223,10.7066,0,False,False
2026-07-24,3,3,"BLFS,IMAX,PKG",3.459,4.7205,66.67,7.9129,9.0572,12.7895,14.5972,14.5972,20.6589,14.5972,20.6589,17.9932,0,True,False
2026-07-31,3,3,"SHOO,NBBK,GSAT",0.1805,0.3369,66.67,2.7311,-0.665,-2.8627,-2.0528,-2.2008,-2.4968,-2.2008,-2.4968,2.7311,0,False,False
2026-08-07,3,3,"CFFI,MTUS,SWK",0.6892,0.0459,66.67,2.8159,-4.7047,-14.0826,,-6.0197,-2.4005,-4.353,-2.4005,3.7429,1,False,False
