comparison_name,comparison_type,var_a,var_b,horizon,horizon_status,segment,paired_weeks,paired_median_spread_pct,paired_mean_spread_pct,win_rate_pct,wilcoxon_p,boot_ci95_low,boot_ci95_high,mean_worst_pick_spread_pct,mean_stop8_rate_diff_pct,mean_all_stopped_rate_diff_pct,mean_profit20_rate_diff_pct
Ranking Alpha (B0 - E1),ALPHA_DECOMPOSITION,B0_REFERENCE,E1_INDUSTRY_DIVERSE,W3,DIAGNOSTIC_ONLY,Contaminated validation weeks 31-40,9,0.0,0.9996,44.44,0.5469,-0.6622,2.8987,0.1089,-0.095,-0.0398,0.0819
Ranking Alpha (B0 - E1),ALPHA_DECOMPOSITION,B0_REFERENCE,E1_INDUSTRY_DIVERSE,W4,PRIMARY,Contaminated validation weeks 31-40,8,0.917,1.6475,62.5,0.2188,-0.6562,3.8356,0.1847,-0.0968,-0.0448,0.0921
Combined Diversity + Ranking Alpha (B0 - E0),ALPHA_DECOMPOSITION,B0_REFERENCE,E0_BASE,W1,PRIMARY,All historical,40,0.0,0.4138,27.5,0.3118,-0.1434,1.0758,0.9825,-0.0476,-0.0105,0.0698
Combined Diversity + Ranking Alpha (B0 - E0),ALPHA_DECOMPOSITION,B0_REFERENCE,E0_BASE,W2,PRIMARY,All historical,40,0.0,0.6075,27.5,0.3377,-0.1609,1.4923,0.8106,-0.0476,-0.0105,0.0698
Combined Diversity + Ranking Alpha (B0 - E0),ALPHA_DECOMPOSITION,B0_REFERENCE,E0_BASE,W3,DIAGNOSTIC_ONLY,All historical,39,0.0,0.6644,28.21,0.1815,-0.2183,1.592,0.7376,-0.0516,-0.0106,0.0716
Combined Diversity + Ranking Alpha (B0 - E0),ALPHA_DECOMPOSITION,B0_REFERENCE,E0_BASE,W4,PRIMARY,All historical,38,0.0,1.0799,34.21,0.0446,0.1235,2.1279,1.0053,-0.0517,-0.0109,0.0735
Combined Diversity + Ranking Alpha (B0 - E0),ALPHA_DECOMPOSITION,B0_REFERENCE,E0_BASE,W1,PRIMARY,Train-era weeks 1-30,30,0.0,0.5358,20.0,0.2402,-0.1008,1.3175,1.1506,-0.0469,-0.004,0.0495
Combined Diversity + Ranking Alpha (B0 - E0),ALPHA_DECOMPOSITION,B0_REFERENCE,E0_BASE,W2,PRIMARY,Train-era weeks 1-30,30,0.0,0.7288,23.33,0.2402,-0.1037,1.7661,0.7121,-0.0469,-0.004,0.0495
Combined Diversity + Ranking Alpha (B0 - E0),ALPHA_DECOMPOSITION,B0_REFERENCE,E0_BASE,W3,DIAGNOSTIC_ONLY,Train-era weeks 1-30,30,0.0,0.5833,23.33,0.2754,-0.4751,1.7003,1.0741,-0.0469,-0.004,0.0495
Combined Diversity + Ranking Alpha (B0 - E0),ALPHA_DECOMPOSITION,B0_REFERENCE,E0_BASE,W4,PRIMARY,Train-era weeks 1-30,30,0.0,0.9077,23.33,0.1748,-0.1597,2.0823,1.3072,-0.0469,-0.004,0.0495
Combined Diversity + Ranking Alpha (B0 - E0),ALPHA_DECOMPOSITION,B0_REFERENCE,E0_BASE,W1,PRIMARY,Contaminated validation weeks 31-40,10,0.0595,0.0478,50.0,1.0,-1.0231,1.1375,0.4781,-0.0496,-0.0298,0.1308
Combined Diversity + Ranking Alpha (B0 - E0),ALPHA_DECOMPOSITION,B0_REFERENCE,E0_BASE,W2,PRIMARY,Contaminated validation weeks 31-40,10,-0.5782,0.2434,40.0,0.9219,-1.2497,1.9605,1.106,-0.0496,-0.0298,0.1308
Combined Diversity + Ranking Alpha (B0 - E0),ALPHA_DECOMPOSITION,B0_REFERENCE,E0_BASE,W3,DIAGNOSTIC_ONLY,Contaminated validation weeks 31-40,9,0.0,0.9348,44.44,0.4609,-0.4883,2.5341,-0.3839,-0.0674,-0.0326,0.1453
Combined Diversity + Ranking Alpha (B0 - E0),ALPHA_DECOMPOSITION,B0_REFERENCE,E0_BASE,W4,PRIMARY,Contaminated validation weeks 31-40,8,1.5398,1.7255,75.0,0.1094,-0.4194,3.6717,-0.1269,-0.0697,-0.0366,0.1635
Total Strategy Alpha (B0 - L0),ALPHA_DECOMPOSITION,B0_REFERENCE,L0_SIGNAL,W1,PRIMARY,All historical,40,0.2076,1.2032,57.5,0.2479,-0.3179,2.8756,1.7589,-0.0701,-0.0428,0.0823
Total Strategy Alpha (B0 - L0),ALPHA_DECOMPOSITION,B0_REFERENCE,L0_SIGNAL,W2,PRIMARY,All historical,40,1.6522,2.2221,57.5,0.0972,0.0252,4.5599,2.7722,-0.0701,-0.0428,0.0823
Total Strategy Alpha (B0 - L0),ALPHA_DECOMPOSITION,B0_REFERENCE,L0_SIGNAL,W3,DIAGNOSTIC_ONLY,All historical,39,3.6262,2.9889,58.97,0.1139,0.2302,6.0139,3.3292,-0.0729,-0.0434,0.0867
Total Strategy Alpha (B0 - L0),ALPHA_DECOMPOSITION,B0_REFERENCE,L0_SIGNAL,W4,PRIMARY,All historical,38,3.0427,2.8774,63.16,0.0653,0.2749,5.4948,2.5031,-0.0694,-0.0441,0.0939
Total Strategy Alpha (B0 - L0),ALPHA_DECOMPOSITION,B0_REFERENCE,L0_SIGNAL,W1,PRIMARY,Train-era weeks 1-30,30,0.4036,1.7307,60.0,0.1909,-0.2077,3.8771,1.9494,-0.066,-0.0662,0.0904
Total Strategy Alpha (B0 - L0),ALPHA_DECOMPOSITION,B0_REFERENCE,L0_SIGNAL,W2,PRIMARY,Train-era weeks 1-30,30,1.7213,3.0676,63.33,0.0523,0.2915,5.9555,2.9027,-0.066,-0.0662,0.0904
Total Strategy Alpha (B0 - L0),ALPHA_DECOMPOSITION,B0_REFERENCE,L0_SIGNAL,W3,DIAGNOSTIC_ONLY,Train-era weeks 1-30,30,3.968,3.7367,63.33,0.1142,0.1198,7.5987,3.7163,-0.066,-0.0662,0.0904
Total Strategy Alpha (B0 - L0),ALPHA_DECOMPOSITION,B0_REFERENCE,L0_SIGNAL,W4,PRIMARY,Train-era weeks 1-30,30,4.7824,3.6027,63.33,0.0506,0.4453,6.7233,2.9367,-0.066,-0.0662,0.0904
Total Strategy Alpha (B0 - L0),ALPHA_DECOMPOSITION,B0_REFERENCE,L0_SIGNAL,W1,PRIMARY,Contaminated validation weeks 31-40,10,0.0119,-0.3793,50.0,0.9219,-1.9603,0.9368,1.1872,-0.0823,0.0272,0.0579
Total Strategy Alpha (B0 - L0),ALPHA_DECOMPOSITION,B0_REFERENCE,L0_SIGNAL,W2,PRIMARY,Contaminated validation weeks 31-40,10,-1.6743,-0.3144,40.0,1.0,-2.7731,2.1114,2.3809,-0.0823,0.0272,0.0579
Total Strategy Alpha (B0 - L0),ALPHA_DECOMPOSITION,B0_REFERENCE,L0_SIGNAL,W3,DIAGNOSTIC_ONLY,Contaminated validation weeks 31-40,9,-0.0482,0.4965,44.44,0.7344,-2.0181,2.7319,2.0389,-0.096,0.0327,0.0743
Total Strategy Alpha (B0 - L0),ALPHA_DECOMPOSITION,B0_REFERENCE,L0_SIGNAL,W4,PRIMARY,Contaminated validation weeks 31-40,8,1.7441,0.1576,62.5,0.9453,-3.4657,3.2798,0.8772,-0.0822,0.0386,0.1069
