variant,date,code,event,signal_date,price
allow_zero_strict,2025-11-07,COLL,entry_missing,2025-11-07,
allow_zero_strict,2025-11-17,ALL,entry,2025-11-14,211.99
allow_zero_strict,2026-01-13,ALL,stop_loss,2025-11-14,196.09075
allow_zero_strict,2025-11-14,LYFT,entry_missing,2025-11-14,
allow_zero_strict,2025-11-17,LH,entry,2025-11-14,263.62
allow_zero_strict,2026-01-05,LH,stop_loss,2025-11-14,243.84850000000003
allow_zero_strict,2025-11-21,WMT,entry_missing,2025-11-21,
allow_zero_strict,2025-12-01,ROST,entry,2025-11-28,174.38
allow_zero_strict,2026-03-04,ROST,profit_take,2025-11-28,213.6155
allow_zero_strict,2025-11-28,MNST,entry_missing,2025-11-28,
allow_zero_strict,2025-11-28,WFC,entry_missing,2025-11-28,
allow_zero_strict,2025-12-05,DASH,entry_missing,2025-12-05,
allow_zero_strict,2025-12-22,MU,entry,2025-12-19,276.88
allow_zero_strict,2026-01-02,MU,power_trigger,2025-12-19,308.484
allow_zero_strict,2025-12-22,SCHW,entry,2025-12-19,98.58
allow_zero_strict,2026-02-23,SCHW,stop_loss,2025-12-19,91.18650000000001
allow_zero_strict,2025-12-22,HLT,entry,2025-12-19,292.26
allow_zero_strict,2025-12-26,HUT,entry_missing,2025-12-26,
allow_zero_strict,2025-12-29,HEI,entry,2025-12-26,333.96
allow_zero_strict,2026-02-26,HEI,stop_loss,2025-12-26,308.913
allow_zero_strict,2026-01-02,FTAI,entry_missing,2026-01-02,
allow_zero_strict,2026-01-05,ASML,entry,2026-01-02,1205.43
allow_zero_strict,2026-01-16,ASML,power_trigger,2026-01-02,1361.016
allow_zero_strict,2026-01-09,NU,entry_missing,2026-01-09,
allow_zero_strict,2026-01-12,GH,entry,2026-01-09,113.0
allow_zero_strict,2026-01-12,GH,stop_loss,2026-01-09,104.525
allow_zero_strict,2026-01-16,FE,entry_missing,2026-01-16,
allow_zero_strict,2026-01-16,BKR,entry_missing,2026-01-16,
allow_zero_strict,2026-01-16,SHEL,entry_missing,2026-01-16,
allow_zero_strict,2026-01-26,MTB,entry,2026-01-23,210.87
allow_zero_strict,2026-03-13,MTB,stop_loss,2026-01-23,195.05475
allow_zero_strict,2026-01-23,NU,entry_missing,2026-01-23,
allow_zero_strict,2026-01-30,AAOI,entry_missing,2026-01-30,
allow_zero_strict,2026-01-30,HON,entry_missing,2026-01-30,
allow_zero_strict,2026-01-30,ZM,entry_missing,2026-01-30,
allow_zero_strict,2026-02-13,WULF,entry_missing,2026-02-13,
allow_zero_strict,2026-02-23,FANG,entry,2026-02-20,173.31
allow_zero_strict,2026-08-19,FANG,profit_take,2026-02-20,212.30475
allow_zero_strict,2026-02-20,HEI,repeat_signal_ignored,2026-02-20,
allow_zero_strict,2026-02-27,TKO,entry_missing,2026-02-27,
allow_zero_strict,2026-03-02,JNJ,entry,2026-02-27,247.77
