code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type
CSX,2026-06-12,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,47.25,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-06-08"", ""ma10_prior_week"": 44.431, ""pending_high"": 47.25, ""touch_date"": ""2026-06-01""}",0.0,,,,,,,,,daily_volume_not_confirmed,47.57,0.68,UNCONFIRMED,0.8418346997821792,30.7,2026-01-19,32.1,4,1,36.02,2024-11-25,-28.5,5,60,28.5,3.0167910447761197,121.0,3,4.0,-2.2,3.9,True,False,26.4705882353,48.03,-0.9577347491151356,Transportation,Railroads,SEC,resolved,,GROWTH
ALGM,2026-06-12,True,pivot,False,pivot,49.19,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 49.19, ""resistance_date"": ""2026-06-08""}, {""box_type"": ""S_BOX"", ""price"": 49.19, ""resistance_date"": ""2026-06-08""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,50.4,2.46,UNCONFIRMED,0.7621906583478808,9.7,2026-05-18,14.9,1,0,43.86,2026-02-09,-37.0,2,14,37.0,3.0167910447761193,122.0,1,3.0,-12.9,-4.5,True,False,0.0,54.4,-7.352941176470584,Electronic Technology,Semiconductors,SEC,resolved,,LOSS_NARROWING
FXNC,2026-06-12,True,ceiling_breakout,False,ceiling_pullback,29.17,ceiling_breakout,"{""abandon_line"": 25.401600000000002, ""atr_zone_width"": 0.5584744231704251, ""ceiling"": 25.92, ""confirm_close"": 30.19, ""confirm_date"": ""2026-06-08"", ""max_zone_width"": 1.2960000000000003, ""pending_high"": 29.17, ""touch_atr14"": 1.8615814105680835, ""touch_date"": ""2026-05-11"", ""touch_high"": 27.97, ""touch_low"": 26.2, ""zone_cap_applied"": false, ""zone_pct"": 2.15460811408343, ""zone_upper"": 26.478474423170425, ""zone_width"": 0.5584744231704251}",0.0,,,,,,,,,daily_volume_not_confirmed,30.19,3.5,UNCONFIRMED,0.9106363800881516,15.1,2026-03-23,16.5,2,1,25.92,2025-02-03,-31.9,5,59,31.9,3.014925373134328,123.0,1,9.0,-11.7,1.8,True,False,200.0,30.51,-1.0488364470665368,Finance,Regional Banks,SEC,resolved,,GROWTH
ROST,2026-06-12,True,pivot,False,pivot,235.34,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 235.34, ""resistance_date"": ""2026-06-08""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,240.13,2.04,UNCONFIRMED,1.056895263435505,54.2,2025-10-20,54.3,5,0,155.6,2024-07-08,-22.5,4,67,22.5,3.0130597014925375,124.0,7,4.0,-5.9,2.0,True,False,37.4149659864,242.81,-1.103743667888479,Retail Trade,Apparel/Footwear Retail,SEC,resolved,,GROWTH
EXEL,2026-06-12,True,10_wk_ema_touch_confirm,,ma10_touch_confirm,52.98,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-06-08"", ""ma10_prior_week"": 47.328, ""pending_high"": 52.98, ""touch_date"": ""2026-06-01""}",0.0,,,,,,,,,daily_volume_not_confirmed,53.13,0.28,UNCONFIRMED,0.8025170722513139,6.0,2026-05-11,8.8,1,0,48.85,2025-05-12,-30.9,5,52,30.9,3.003731343283582,125.0,0,,,,True,False,43.6363636364,53.93,-1.48340441312812,Health Technology,Pharmaceuticals: Major,SEC,resolved,,GROWTH
GRDN,2026-06-12,True,pivot,False,pivot,41.36,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 41.36, ""resistance_date"": ""2026-06-08""}, {""box_type"": ""S_BOX"", ""price"": 41.36, ""resistance_date"": ""2026-06-08""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,43.09,4.18,UNCONFIRMED,0.81094112556286,32.2,2026-03-09,35.2,2,1,31.86,2025-09-08,-27.4,3,26,27.4,2.989738805970149,126.0,2,9.0,-22.0,4.2,True,False,,43.85,-1.7331812998859664,Retail Trade,Drugstore Chains,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,
MET,2026-06-12,True,ceiling_breakout,,ceiling,85.27,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,88.84,4.19,UNCONFIRMED,1.0318939699373888,0.0,2026-06-08,4.2,0,0,85.27,2024-11-25,-26.3,8,80,26.3,2.987873134328358,127.0,0,,,,True,False,35.9375,89.44,-0.670840787119853,Finance,Multi-Line Insurance,SEC,resolved,,GROWTH
CTRN,2026-06-12,True,ceiling_breakout,,ceiling,49.01,ceiling_breakout,,1.0,2026-06-12,49.01,49.01,1.5898820445609436,0.0332585186696592,0.6931034482758617,0.5620689655172425,ceiling,,50.64,3.33,ACTIONABLE,1.1087296768372188,0.0,2026-06-08,3.3,0,0,49.01,2026-01-05,-26.4,3,22,26.4,2.9794776119402986,128.0,0,,,,True,False,727.2727272727,56.78,-10.8136667840789,Retail Trade,Apparel/Footwear Retail,SEC,resolved,,GROWTH
BDL,2026-06-12,True,ceiling_breakout,,ceiling,34.61,ceiling_breakout,,1.0,2026-06-09,34.91,34.61,3.1328320802005014,0.0436290089569488,0.9453124999999998,1.1796874999999971,ceiling,,35.47,2.48,ACTIONABLE,1.8004428452809298,0.0,2026-06-08,2.5,0,0,34.61,2025-06-23,-25.2,4,50,25.2,2.958022388059702,129.0,0,,,,True,True,6.8965517241,37.69,-5.890156540196334,Consumer Services,Restaurants,SEC,resolved,,GROWTH
WEYS,2026-06-12,True,ceiling_breakout,False,ceiling_pullback,35.85,ceiling_breakout,"{""abandon_line"": 33.574799999999996, ""atr_zone_width"": 0.7045910333099765, ""ceiling"": 34.26, ""confirm_close"": 37.0, ""confirm_date"": ""2026-06-08"", ""max_zone_width"": 1.713, ""pending_high"": 35.85, ""touch_atr14"": 2.3486367776999217, ""touch_date"": ""2026-06-01"", ""touch_high"": 35.85, ""touch_low"": 33.74, ""zone_cap_applied"": false, ""zone_pct"": 2.0565996302100893, ""zone_upper"": 34.96459103330997, ""zone_width"": 0.7045910333099765}",1.0,2026-06-09,35.85,35.85,1.9076305220883536,0.001952580195258,0.6234567901234582,0.0432098765432099,ceiling_pullback,,37.0,3.21,ACTIONABLE,1.5243177131691892,7.1,2026-05-11,8.0,1,0,34.26,2024-12-16,-32.7,7,73,32.7,2.946828358208955,130.0,2,3.0,-7.8,1.1,True,True,12.2807017544,37.0,0.0,Consumer Non-Durables,Apparel/Footwear,SEC,resolved,,GROWTH
