selector_id,classification,train_oof_w4_med_spread,train_oof_w4_cvar_delta,train_oof_w4_stop_delta,val_w4_med_spread,val_w4_mean_spread,val_w4_cvar_delta,val_w4_stop_delta,val_support_weeks
actionable_agent_lgbm_w1_pure_rank,INFERIOR,0.9708000000000001,0.869766666666667,5.555555555555555,-1.796266666666667,-0.8118619047619047,12.884766666666666,9.523809523809522,7
signal_agent_ridge_w1_pure_rank,INFERIOR,-2.3164999999999996,-2.3164999999999996,23.80952380952381,-2.1476166666666674,-6.9329874999999985,-14.264733333333329,29.166666666666664,8
signal_agent_ridge_w1_distinct_industry,UNSTABLE,8.0312,2.9119,14.285714285714285,-2.1476166666666674,-7.297662499999999,-14.264733333333329,29.166666666666664,8
signal_agent_ridge_w1_portfolio_aware,UNSTABLE,8.0312,2.9119,14.285714285714285,-2.1476166666666674,-7.297662499999999,-14.264733333333329,29.166666666666664,8
actionable_f1_lgbm_w2_distinct_industry,UNSTABLE,0.1305000000000014,-8.819033333333334,1.586032892321652e-15,-2.4106333333333336,-1.7528925925925927,4.274733333333332,14.814814814814813,9
actionable_f1_lgbm_w2_portfolio_aware,UNSTABLE,0.869766666666667,0.869766666666667,-4.761904761904762,-2.4106333333333336,-2.0313925925925926,4.274733333333332,14.814814814814813,9
actionable_agent_lgbm_w2_pure_rank,UNSTABLE,0.1305000000000014,-8.81903333333333,4.761904761904763,-2.867633333333333,-1.4255814814814816,11.282366666666665,7.407407407407406,9
actionable_f1_ridge_w1_portfolio_aware,INFERIOR,-0.2021833333333336,-0.852266666666667,16.666666666666664,-3.4074499999999994,-5.273355555555555,0.3907999999999987,27.777777777777775,6
actionable_agent_ridge_w2_distinct_industry,INFERIOR,-0.7678833333333334,-8.819033333333334,11.111111111111112,-3.7058999999999997,-4.597892592592593,3.0118666666666662,25.925925925925924,9
actionable_agent_ridge_w2_portfolio_aware,INFERIOR,-2.4890833333333338,-8.819033333333334,16.666666666666664,-3.7058999999999997,-4.597892592592593,3.0118666666666662,25.925925925925924,9
