snapshot_date,code,industry,current_vs_ibd_candidate_pct,rv_20,w1_return_pct,w2_return_pct,w4_return_pct,w3_return_pct,w1_stop8,w2_stop8,w4_stop8,w3_stop8,score,universe,feature_mode,model_type,target_horizon,model_id,segment,fold,model_pick_order,selector_id,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type,b0_eligible,is_valid_entry,entry_status,entry_date,entry_open,stop_8_hit_ever,gap_stop,profit20_hit,max_drawdown_to_asof_pct,px_vs_ma10,px_vs_ma20,px_vs_ma50,ma10_slope_5,ma20_slope_5,ma50_slope_10,mom_5,mom_10,mom_20,mom_60,atr_14_pct,vol_ratio_5_20,up_day_ratio_20,drawdown_20,rel_spy_20,rel_spy_60,trigger_pos,eps_known,is_actionable,rule_ceiling,rule_pivot,rule_ma10_touch_confirm,rule_ceiling_pullback,rule_three_weeks_tight,pick_order,is_b0,period,agent_factor_vol_confirmed_mom_20,agent_factor_prox_52w_high,agent_factor_risk_adj_mom_10,agent_factor_risk_adj_mom_20,agent_factor_risk_adj_mom_60
2026-07-24,NWFL,Regional Banks,2.67,0.020955683621600427,3.125,2.6396,2.4575,4.642,False,False,False,False,4.872931725619617,actionable,agent,ridge,W2,actionable_agent_ridge_w2,contaminated_validation,-1.0,2.0,actionable_agent_ridge_w2_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,SBLK,Marine Shipping,3.72,0.023069944498974572,4.4961,5.0206,14.275,5.5826,False,False,False,False,4.695973083307127,actionable,agent,ridge,W2,actionable_agent_ridge_w2,contaminated_validation,-1.0,3.0,actionable_agent_ridge_w2_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-31,MSBI,Regional Banks,3.57,0.01886223372074962,-2.2117,-1.563,,-3.1259,False,False,,False,5.582703090362898,actionable,agent,ridge,W2,actionable_agent_ridge_w2,contaminated_validation,-1.0,1.0,actionable_agent_ridge_w2_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-31,RCKY,Apparel/Footwear,1.08,0.036309083729108876,-0.5455,-3.9798,,-5.4747,False,False,,True,3.7290753412384587,actionable,agent,ridge,W2,actionable_agent_ridge_w2,contaminated_validation,-1.0,2.0,actionable_agent_ridge_w2_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-31,GSAT,Wireless Telecommunications,1.96,0.011291147099276788,0.3369,-0.8782,,-0.9143,False,False,,False,3.5796518068416505,actionable,agent,ridge,W2,actionable_agent_ridge_w2,contaminated_validation,-1.0,3.0,actionable_agent_ridge_w2_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,CFFI,Regional Banks,1.76,0.02076401547611641,2.4218,-1.5759,,,False,False,,,15.962217303569732,actionable,agent,ridge,W2,actionable_agent_ridge_w2,contaminated_validation,-1.0,1.0,actionable_agent_ridge_w2_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,TWLO,Packaged Software,1.17,0.06188582027185329,-2.5767,-7.8528,,,False,True,,,15.215416069289393,actionable,agent,ridge,W2,actionable_agent_ridge_w2,contaminated_validation,-1.0,2.0,actionable_agent_ridge_w2_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-07,ALX,Real Estate Investment Trusts,0.69,0.020380469698413294,-0.4502,-2.1921,,,False,False,,,8.746969255565643,actionable,agent,ridge,W2,actionable_agent_ridge_w2,contaminated_validation,-1.0,3.0,actionable_agent_ridge_w2_portfolio_aware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13,MAS,Building Products,0.38,0.027962259651261978,-1.0102,-5.6626,-18.9685,-16.1505,False,False,True,True,-0.6298829522332231,actionable,agent,ridge,W2,actionable_agent_ridge_w2,train_oof,0.0,1.0,actionable_agent_ridge_w2_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13,NATL,Computer Processing Hardware,4.58,0.02762675626911787,-0.4251,4.582,4.086,7.3689,False,False,False,False,-1.0240400230735385,actionable,agent,ridge,W2,actionable_agent_ridge_w2,train_oof,0.0,2.0,actionable_agent_ridge_w2_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
