eps_mode,variant,rule,entry_status,universe_top5,picks,top5_picks,gain5_picks,bottom5_picks,stop_picks
no_eps,grid_act_noeps_ind_prox_nogeom_relaxed,pivot,ACTIONABLE,13,16,3,3,2,3
no_eps,grid_act_noeps_ind_prox_nogeom_relaxed,pivot,EXTENDED,22,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nogeom_relaxed,pivot,UNCONFIRMED,43,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nogeom_relaxed,three_weeks_tight,ACTIONABLE,1,2,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nogeom_relaxed,three_weeks_tight,EXTENDED,1,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_nogeom_relaxed,three_weeks_tight,UNCONFIRMED,1,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_strict,ceiling,ACTIONABLE,16,64,5,7,9,10
no_eps,grid_act_noeps_ind_prox_clean_strict,ceiling,EXTENDED,28,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_strict,ceiling,UNCONFIRMED,21,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_strict,ceiling_pullback,ACTIONABLE,2,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_strict,ceiling_pullback,EXTENDED,3,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_strict,ceiling_pullback,UNCONFIRMED,4,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_strict,ma10_touch_confirm,ACTIONABLE,8,9,2,2,0,1
no_eps,grid_act_noeps_ind_prox_clean_strict,ma10_touch_confirm,EXTENDED,10,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_strict,ma10_touch_confirm,UNCONFIRMED,32,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_strict,pivot,ACTIONABLE,13,9,2,2,1,0
no_eps,grid_act_noeps_ind_prox_clean_strict,pivot,EXTENDED,22,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_strict,pivot,UNCONFIRMED,43,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_strict,three_weeks_tight,ACTIONABLE,1,1,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_strict,three_weeks_tight,EXTENDED,1,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_strict,three_weeks_tight,UNCONFIRMED,1,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_relaxed,ceiling,ACTIONABLE,16,68,5,7,10,11
no_eps,grid_act_noeps_ind_prox_clean_relaxed,ceiling,EXTENDED,28,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_relaxed,ceiling,UNCONFIRMED,21,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_relaxed,ceiling_pullback,ACTIONABLE,2,4,1,1,2,1
no_eps,grid_act_noeps_ind_prox_clean_relaxed,ceiling_pullback,EXTENDED,3,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_relaxed,ceiling_pullback,UNCONFIRMED,4,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_relaxed,ma10_touch_confirm,ACTIONABLE,8,14,3,3,2,4
no_eps,grid_act_noeps_ind_prox_clean_relaxed,ma10_touch_confirm,EXTENDED,10,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_relaxed,ma10_touch_confirm,UNCONFIRMED,32,0,0,0,0,0
no_eps,grid_act_noeps_ind_prox_clean_relaxed,pivot,ACTIONABLE,13,14,3,3,2,2
