eps_mode,variant,backtest_engine,initial_capital,stop_loss_pct,input_picks,requested_symbols,loaded_symbols,final_value,total_return_pct,max_drawdown_pct,trade_events,stop_events,rebalance_events,start_date,end_date
with_eps,grid_act_noeps_ind_prox_clean_relaxed,backtrader,10000.0,8.0,101,98,61,14913.032799999997,49.13032799999997,-16.901371762076632,121,5,40,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_def_keep_strict,backtrader,10000.0,8.0,106,103,65,14632.386800000004,46.32386800000003,-16.901371762076632,111,6,40,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_def_keep_relaxed,backtrader,10000.0,8.0,106,103,65,14632.386800000004,46.32386800000003,-16.901371762076632,111,6,40,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_def_nodry_strict,backtrader,10000.0,8.0,89,88,56,15146.439600000002,51.464396000000015,-10.02067430911211,88,1,37,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_def_nodry_relaxed,backtrader,10000.0,8.0,106,103,65,14632.386800000004,46.32386800000003,-16.901371762076632,111,6,40,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_def_nogeom_strict,backtrader,10000.0,8.0,100,97,60,14349.7376,43.49737600000001,-17.01299486456068,115,6,40,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_def_nogeom_relaxed,backtrader,10000.0,8.0,106,103,62,14941.2304,49.412304000000006,-16.901371762076632,121,6,40,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_def_clean_strict,backtrader,10000.0,8.0,86,85,53,15475.142800000001,54.75142800000001,-10.012803087239009,93,1,36,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_def_clean_relaxed,backtrader,10000.0,8.0,106,103,63,15585.050399999998,55.85050399999998,-16.901371762076632,116,6,40,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_prox_keep_strict,backtrader,10000.0,8.0,106,102,64,15119.518,51.19518000000001,-16.992765770444652,113,5,40,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_prox_keep_relaxed,backtrader,10000.0,8.0,106,102,64,15119.518,51.19518000000001,-16.992765770444652,113,5,40,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_prox_nodry_strict,backtrader,10000.0,8.0,89,87,55,16412.9712,64.129712,-10.022539156470934,95,1,37,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_prox_nodry_relaxed,backtrader,10000.0,8.0,106,102,64,16133.087999999996,61.33087999999995,-16.992765770444652,113,5,40,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_prox_nogeom_strict,backtrader,10000.0,8.0,100,96,61,14009.49,40.0949,-16.80077824250369,119,6,40,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_prox_nogeom_relaxed,backtrader,10000.0,8.0,106,102,63,15799.471599999993,57.994715999999926,-16.992765770444652,121,5,40,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_prox_clean_strict,backtrader,10000.0,8.0,86,84,53,14042.824799999999,40.428247999999975,-14.749838526393589,93,1,36,2025-10-24,2026-08-21
with_eps,grid_act_noeps_noind_prox_clean_relaxed,backtrader,10000.0,8.0,106,102,63,16122.011599999994,61.22011599999995,-16.992765770444652,119,5,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_ind_def_keep_strict,backtrader,10000.0,8.0,101,98,61,15470.502799999998,54.70502799999999,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_ind_def_keep_relaxed,backtrader,10000.0,8.0,101,98,61,15470.502799999998,54.70502799999999,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_ind_def_nodry_strict,backtrader,10000.0,8.0,87,85,54,15808.909600000003,58.089096000000026,-10.02067430911211,87,1,37,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_ind_def_nodry_relaxed,backtrader,10000.0,8.0,101,98,62,15077.632799999998,50.77632799999998,-16.901371762076632,116,5,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_ind_def_nogeom_strict,backtrader,10000.0,8.0,96,93,59,14501.843599999997,45.01843599999997,-17.01299486456068,111,5,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_ind_def_nogeom_relaxed,backtrader,10000.0,8.0,101,98,61,16362.662799999996,63.62662799999996,-16.901371762076632,117,3,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_ind_def_clean_strict,backtrader,10000.0,8.0,82,80,51,15523.5628,55.23562799999999,-10.012803087239009,93,1,36,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_ind_def_clean_relaxed,backtrader,10000.0,8.0,101,98,62,16488.0628,64.880628,-16.901371762076632,117,3,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_ind_prox_keep_strict,backtrader,10000.0,8.0,101,98,62,15309.675599999999,53.09675599999999,-16.901371762076632,115,5,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_ind_prox_keep_relaxed,backtrader,10000.0,8.0,101,98,62,15309.675599999999,53.09675599999999,-16.901371762076632,115,5,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_ind_prox_nodry_strict,backtrader,10000.0,8.0,87,85,54,15254.139599999997,52.54139599999996,-10.02067430911211,87,1,37,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_ind_prox_nodry_relaxed,backtrader,10000.0,8.0,101,98,62,15309.675599999999,53.09675599999999,-16.901371762076632,115,5,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_ind_prox_nogeom_strict,backtrader,10000.0,8.0,96,93,60,13585.684399999995,35.85684399999995,-17.01299486456068,115,6,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_ind_prox_nogeom_relaxed,backtrader,10000.0,8.0,101,98,62,14308.695199999998,43.08695199999999,-16.901371762076632,119,6,40,2025-10-24,2026-08-21
with_eps,grid_act_epsknown_ind_prox_clean_strict,backtrader,10000.0,8.0,82,80,51,15492.812799999996,54.92812799999995,-10.012803087239009,93,1,36,2025-10-24,2026-08-21
